comparable_rental_3_year_built,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_address,comparable_rental_3_expense_per_sqft,staten_island_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_3_address,staten_island_condominiums_comparable_properties_building_classification,staten_island_condominiums_comparable_properties_net_operating_income,comparable_rental_1_gross_sqft,comparable_rental_3_gross_income_per_sqft
1965,11.94,650 VICTORY BOULEVARD,7.6,12.21,0.74,285 ST MARK'S PLACE,R4-CONDOMINIUM,776434,72860,13.15
 ,12.98,105 FREEDOM AVENUE, ,13.35, , ,R4-CONDOMINIUM,247540,29200, 
 ,11.91,26 EBBITTS STREET, ,11.93, , ,R4-CONDOMINIUM,1035137,246848, 
 ,12.98,105 FREEDOM AVENUE, ,13.35, , ,R4-CONDOMINIUM,453519,29200, 
 ,12.04,4 CHESTER PLACE, ,12.0, , ,R4-CONDOMINIUM,112307,32000, 
