agency_capital_expenditures_by_purpose,fy_2012,fy_1985,fy_1997,fy_2008,fy_2015,fy_2011,category,fy_1991,fy_1990,fy_2009,fy_1996
Queens Borough Public Library,16397603.0,913108.0,19314279.0,7247966.0,"14,778,745",25684321.0,,2465159.0,4504063.0,14793728.0,7040319.0
TOTAL PUBLIC SAFETY AND JUDICIAL,373444807.0,141777673.0,221615607.0,282627143.0,"302,855,612",387086756.0,,266221006.0,315803410.0,336505625.0,150723986.0
Department of Homeless Services,22449615.0,0.0,3472880.0,24907688.0,"20,989,482",36205789.0,,0.0,0.0,49901073.0,5169572.0
Department of Small Business Services,39443860.0,6925900.0,16309715.0,12510396.0,"55,031,818",32499351.0,Industrial Parks,3585701.0,5934860.0,19112879.0,20520756.0
Department of Small Business Services,196066454.0,28528338.0,180333776.0,276059966.0,"126,082,311",199461590.0,Commercial Development,40586543.0,148084915.0,285265747.0,134658971.0
Dept. of Housing Preservation and Development,348759824.0,31374390.0,269001559.0,502616732.0,"560,549,700",330398645.0,,688904597.0,572359193.0,412989808.0,246355960.0
Department of Sanitation,123812253.0,76703328.0,136759064.0,10574995.0,"74,750,571",106548888.0,Waste Disposal Facilities,57438281.0,100834024.0,4929221.0,75643870.0
Environmental Protection and Sanitation,1195170589.0,356499516.0,403288236.0,1094743184.0,"687,002,478",1303130966.0,Sewage Collection and Treatment,639502160.0,455579594.0,1342826997.0,363907447.0
Human Resources Administration,16301165.0,6472228.0,53291581.0,25089328.0,"162,325,978",16020803.0,,62296694.0,89731016.0,15808353.0,53778617.0
Brooklyn Public Library,11352703.0,1791216.0,4514861.0,9801411.0,"5,801,235",12089573.0,,2268246.0,3226670.0,6741524.0,2299295.0
Dept. of Citywide Administrative Services,0.0,2269293.0,0.0,0.0,- 0,0.0,WNYC,1734622.0,2281485.0,0.0,13162.0
Environmental Protection and Sanitation,1041481264.0,139084929.0,398125916.0,1155019868.0,"605,262,585",1280909413.0,Water Supply and Distribution,165373668.0,169262689.0,1267593992.0,445796304.0
Research Libraries,982759.0,0.0,3085594.0,1341516.0,"1,063,739",7260083.0,,-13956.0,5684659.0,11869568.0,8418099.0
