peer_0_of_range_17,peer_100_of_range_10,peer_percent_of_range_11,peer_100_of_range_17,peer_percent_of_range_14,school,environment_grade,peer_percent_of_range_7,ela_nysaa_level_3_4,peer_100_of_range_7,peer_percent_of_range_1,math_level_2,peer_100_of_range_15,ela_unadjusted_growth_1,peer_0_of_range_7,peer_0_of_range,peer_0_of_range_4
0.931,0.054,0.392,1.0,1.0,P.S. K369 - Coy L. Cox School,A,0.111,0.864,0.036,66.7%,0.114,7.9,43,0.0,18.0,-0.019
0.987,0.212,0.757,1.0,1.0,P.S. 372 -The Children's School,A,1.0,0.875,0.198,.,0.474,8.5,.,0.0,22.8,-0.013
0.947,0.124,0.164,1.0,1.0,P.S. 723,B,0.05,0.985,0.08,37.4%,0.062,8.6,23.5,0.0,11.8,-0.026
0.941,0.068,0.525,1.0,0.909,P.S. 36,D,0.214,0.93,0.042,60.4%,0.147,8.6,32,0.0,16.2,-0.026
0.949,0.118,0.626,1.0,0.955,P.S. X010,C,0.447,0.979,0.076,53.6%,0.239,8.7,35,0.0,13.2,-0.026
