peer_100_of_range_16,peer_percent_of_range_2,ela_level_3_4,performance_score,math_unadjusted_growth_1,school_type,peer_0_of_range_5,peer_0_of_range_10,communications,peer_percent_of_range_9,peer_0_of_range_14,peer_100_of_range_13,peer_100_of_range_11,peer_100_of_range_5,peer_0_of_range_12,peer_100_of_range
8.1,0.525,0.004,7.6,29.5,D75,0.009,0.0,8.3,0.379,6.7,8.2,0.272,0.115,0.863,51.2
9.0,0.46,0.009,10.2,7.5,D75,0.0,0.0,9.2,0.924,6.5,8.8,0.374,0.136,0.962,59.7
8.1,0.663,0.0,14.2,39.0,D75,0.014,0.0,8.5,0.741,6.6,8.2,0.257,0.126,0.854,44.3
8.9,0.477,0.016,5.8,49.0,D75,0.0,0.0,8.1,0.54,6.8,8.9,0.56,0.16,0.975,65.1
8.1,0.494,0.0,6.0,36.0,D75,0.014,0.0,8.4,0.79,6.6,8.2,0.263,0.122,0.861,43.6
