peer_percent_of_range_13,peer_100_of_range_6,environment_score,academic_expectations,peer_percent_of_range_6,peer_0_of_range_2,peer_0_of_range_11,movement_to_lre,peer_100_of_range_12,peer_percent_of_range_5,peer_0_of_range_13,peer_0_of_range_9,peer_percent_of_range_8
1.0,0.137,13.7,8.3,0.375,12.0,0.012,0.086,1.0,0.726,7.2,0.781,0.509
0.75,0.146,12.7,8.4,0.301,19.2,0.0,0.066,1.0,0.524,7.2,0.84,0.342
0.9,0.136,14.4,8.1,0.407,16.3,0.018,0.045,1.0,0.261,7.2,0.766,0.554
0.8,0.137,11.0,7.9,0.118,16.3,0.033,0.05,1.0,0.344,7.1,0.755,0.13
0.786,0.165,13.4,8.2,0.247,13.0,0.0,0.042,1.0,0.375,7.1,0.864,0.192
0.5,0.142,11.2,8.1,0.049,24.9,0.0,0.108,1.0,0.74,7.4,0.823,1.0
