math_unadjusted_growth,peer_0_of_range_15,peer_100_of_range_2,safety_and_respect,peer_0_of_range_6,peer_0_of_range_3,average_change_attendance,integration_into_gen_ed,maintaining_a_safe_school,math_nysaa_level_3_4,progress_score,progress_grade,peer_100_of_range_4,principal,performance_grade,peer_percent_of_range_12,peer_percent_of_range_3
39.0,6.9,63.4,7.9,0.025,11.3,-0.01,0.067,0.988,0.891,32.0,B,0.003,Rudy Giuliani,C,0.204,39.6%
46.0,6.7,50.6,8.0,0.0,1.0,-0.001,0.052,1.0,1.0,41.2,A,0.012,Lourdes Mendez,C,1.0,80.4%
39.5,7.2,50.1,8.7,0.0,1.0,0.0,0.066,1.0,1.0,31.9,B,0.004,Marcy Berger,B,1.0,33.3%
47.0,6.7,62.5,7.9,0.013,9.0,-0.007,0.065,0.985,0.964,28.0,B,0.01,Robert Wojnarowski,A,0.705,49.8%
29.0,6.7,46.1,7.6,0.037,12.9,-0.044,0.091,0.921,1.0,28.6,B,0.015,James Mckeon,A,1.0,39.7%
45.0,7.0,61.3,8.3,0.018,16.1,-0.005,0.05,0.98,0.987,31.0,B,0.006,Denise Danna,A,0.906,.
