est_incometax,est_housing,schl,nycgov_pov_stat,nycgov_threshold,wgtp
-1615.32233531,0.0,8.0,2,30053.0529711553,132
0.0,0.0,11.0,1,26978.9997496069,173
37980.7855927,0.0,11.0,2,17630.3152665703,91
20922.42765016,0.0,9.0,2,26978.9997496069,69
23354.002337014,10299.4284550667,11.0,2,30053.0529711553,70
6339.78850844,0.0,9.0,2,35833.5409198588,77
-7690.25664844,0.0,12.0,2,32997.6460477441,104
30570.57450232,0.0,1.0,2,23746.4652200438,70
17753.051461984,0.0,11.0,2,17630.3152665703,91
7870.951033887,199.939562564099,9.0,2,17630.3152665703,219
7011.1226644,0.0,13.0,2,17630.3152665703,111
2156.654279184,6860.37890710411,4.0,2,30053.0529711553,92
119886.91267802,0.0,13.0,2,17630.3152665703,93
-2708.20463337,12197.3377945978,6.0,2,30053.0529711553,68
-145.0,0.0,11.0,1,12503.769692603,79
-10443.337331312,0.0,9.0,2,30053.0529711553,179
-196.0,570.73727841426,4.0,2,12503.769692603,95
4913.5941011,0.0,4.0,2,26978.9997496069,71
274081.793830684,0.0,9.0,2,35833.5409198588,76
5743.9487248,0.0,2.0,2,26978.9997496069,67
0.0,0.0,14.0,1,26978.9997496069,75
5839.29907601178,0.0,13.0,2,17630.3152665703,74
-290.0,12046.1634744249,9.0,2,23746.4652200438,107
0.0,5790.73727841426,5.0,2,12503.769692603,249
-4136.329952,13474.8975798231,2.0,2,26978.9997496069,216
57453.151852,0.0,,2,23746.4652200438,150
31871.80177793,12874.999854,14.0,2,26978.9997496069,105
13321.4232603,0.0,2.0,2,23746.4652200438,67
7408.982581035,0.0,6.0,2,26978.9997496069,79
7402.87272882356,0.0,9.0,2,17630.3152665703,84
649.57190434,0.0,7.0,2,18868.2542340739,69
20225.08739638,6982.10950415947,11.0,2,32997.6460477441,108
150880.989562198,0.0,7.0,2,23746.4652200438,114
542.720376600002,2134.14709035266,,2,30053.0529711553,146
67753.285827892,0.0,14.0,2,12503.769692603,96
6760.142779,0.0,13.0,2,17630.3152665703,199
29042.1164038,0.0,12.0,2,30053.0529711553,83
16163.0410442182,0.0,11.0,2,17630.3152665703,66
152556.548165647,0.0,13.0,2,17630.3152665703,119
-145.0,0.0,14.0,2,12503.769692603,258
9302.2468402,5263.9395625641,11.0,2,17630.3152665703,76
150880.989562198,0.0,15.0,2,23746.4652200438,114
0.0,9969.18811836225,9.0,2,26978.9997496069,72
-23.8405272450001,3991.9395625641,12.0,2,17630.3152665703,67
57149.56121496,0.0,13.0,2,17630.3152665703,33
-290.0,0.0,5.0,1,32997.6460477441,70
9147.0424536,0.0,1.0,2,26978.9997496069,99
10851.85578872,3307.78536611891,12.0,2,32997.6460477441,244
12949.81222164,0.0,9.0,2,30053.0529711553,229
127889.366489207,0.0,6.0,2,26978.9997496069,177
3111.8834016,0.0,16.0,2,12503.769692603,102
20220.26774376,0.0,14.0,2,12503.769692603,78
-204.0,5010.73727841426,3.0,1,12503.769692603,86
303535.59869722,0.0,13.0,2,26978.9997496069,211
-9672.0442985,17507.4737515291,9.0,2,43827.514395825,344
9725.16889479733,0.0,10.0,2,35833.5409198588,189
8780.68218226,0.0,14.0,2,17630.3152665703,98
-290.0,0.0,10.0,1,32997.6460477441,70
2683.02325283,0.0,4.0,2,25707.0112577017,110
57669.256016764,0.0,15.0,2,12503.769692603,84
-1875.787269008,0.0,9.0,2,30053.0529711553,246
70.1444,0.0,9.0,2,12503.769692603,218
-195.348187056,0.0,9.0,1,12503.769692603,240
16249.9382019,0.0,11.0,2,12503.769692603,120
913.70896853,1639.9395625641,15.0,2,17630.3152665703,85
0.0,11225.539785312,,1,35833.5409198588,97
0.0,0.0,9.0,1,26978.9997496069,173
1302.0208032,0.0,16.0,2,17630.3152665703,238
13326.3043848185,0.0,9.0,2,30053.0529711553,81
31871.80177793,12874.999854,15.0,2,26978.9997496069,105
-992.92,0.0,9.0,1,38576.2465599412,70
23354.002337014,10299.4284550667,7.0,2,30053.0529711553,70
37630.750080112,0.0,,2,23746.4652200438,65
