address,:@computed_region_yeji_bk3q,corner,boro,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer
42-27 35 AVENUE,3,NW,Queens,33,39
1860 BROADWAY,4,NE,Manhattan,10,20
2095 BROADWAY,4,SW,Manhattan,19,20
1380 ST. NICHOLAS AVENUE,4,NE,Manhattan,39,47
34-02 BROADWAY,3,SE,Queens,4,39
166 WEST 125 STREET,4,SE,Manhattan,36,18
19 SEAVIEW AVENUE,1,NE,Staten Island,14,30
20 EAST 60 STREET,4,SE,Manhattan,51,23
82-37 KEW GARDENS ROAD,3,NE,Queens,28,46
320 ST. NICHOLAS AVENUE,4,SE,Manhattan,36,18
107-09 70 ROAD,3,SE,Queens,28,40
197 AMSTERDAM AVENUE,4,SE,Manhattan,19,20
1981 BROADWAY,4,NW,Manhattan,19,20
1398 ST. NICHOLAS AVENUE,4,SE,Manhattan,39,47
43-02 30 AfENUE,3,SE,Queens,4,39
94-03 63 DRIVE,3,NW,Queens,28,40
2565 BROADWAY,4,NW,Manhattan,19,20
51-04 VERNON BOULEVARD,3,SW,Queens,33,53
48-18 NORTHERN BOULEVARD,3,SE,Queens,33,39
11 NAGLE AVENUE,4,NE,Manhattan,39,47
1881 AMSTERDAM AVENUE,4,NE,Manhattan,23,37
96-70 QUEENS BOULEVARD,3,SW,Queens,28,40
28-11 ASTORIA BOULEVARD,3,MIDBLOCK,Queens,4,39
40-02 QUEENS BOULEVARD,3,SW,Queens,33,53
215 WEST 75 STREET,4,NE,Manhattan,19,20
105-24 JAMAICA AVENUE,3,MIDBLOCK,Queens,41,46
115-09 JAMAICA AVENUE,3,NE,Queens,28,46
580 WEST 156 STREET,4,SE,Manhattan,23,47
111-18 MERRICK BOULEVARD,3,,Queens,6,41
1284 1 AVENUE,4,SE,Manhattan,1,23
37-20 30 AVENUE,3,SW,Queens,4,39
21 EAST 66 STREET&,4,NW,Manhattan,51,23
817 AMSTERDAM AVENUE,4,SE,Manhattan,23,20
2518 BROADWAY,4,SE,Manhattan,19,20
1622 ST. NICHOLAS AVENUE,4,NE,Manhattan,39,47
37-99 84 STREET,3,NE,Queens,21,65
551 WEST 138 STREET,4,NE,Manhattan,23,37
1970 VICTORY B OULEVARD,1,MIDBLOCK,Staten Island,14,4
47-43 VERNON BOULEVARD,3,NE,Queens,33,53
166-01 JAMAICA AVENUE,3,NE,Queens,6,41
204-01 JAMAICA AVENUE&,3,,Queens,16,41
2430 ADAM CLAYTON POWELL JR. BOULEVARD,4,NW,Manhattan,36,18
2288 FREDERICK DOUGLASS BOULEVARD,4,SE,Manhattan,36,18
1244 AMSTERDAM AVENUE,4,NW,Manhattan,23,37
1001 1 AVENUE,4,NW,Manhattan,1,71
36-02 30 AVENUE,3,SE,Queens,4,39
106-20 71 AVENUE,3,SE,Queens,28,40
48-15 11 STREET,3,SW,Queens,33,53
2926 FREDERICK DOUGLASS BOULEVARD,4,SE,Manhattan,36,18
2163 BROADWAY,4,NW,Manhattan,19,20
1351 HYLAN BOULEVARD,1,SW,Staten Island,14,30
1175 3 AVENUE,4,NE,Manhattan,51,23
2800 BROADWAY,4,NE,Manhattan,23,20
39 -27 31 STREET,3,SE,Queens,33,39
163-08 JAMAICA AVENUE,3,SE,Queens,6,41
2781 BROADWAY,4,NW,Manhattan,19,20
150-05 LIBERTY AVENUE,3,NE,Queens,6,41
45 VICTORY BOULEVARD,1,NE,Staten Island,13,4
69-02 QUEENS BOULEVARD,3,MIDBLOCK,Queens,34,53
100-26 QUEENS BOULEVARD,3,SW,Queens,28,40
1331 1 AVENUE,4,NW,Manhattan,1,23
852 AMSTERDAM AVENUE,4,SW,Manhattan,23,20
3359 BROADWAY,4,SW,Manhattan,23,37
2361 ADAM CLAYTON POWELL JR. BOULEVARD,4,NE,Manhattan,36,18
106-17 153rd STREET,3,SE,Queens,46,41
401 West 203rd Street,4,N,Manhattan,39,47
1580 AMSTERDAM AVENUE,4,NW,Manhattan,23,37
88-03 ROOSEVELT AVENUE,3,NE,Queens,21,65
2079 FREDERICK DOUGLASS BOULEVARD,4,SW,Manhattan,36,18
2060 BROADWAY,4,NE,Manhattan,19,20
1172 3 AVENUE,4,NW,Manhattan,51,23
73-02 ROOSEVELT AVENUE,3,SE,Queens,5,66
1330 3 AVENUE,4,NW,Manhattan,51,23
1644 3 AVENUE,4,NW,Manhattan,1,23
3779 BROADWAY,4,SW,Manhattan,23,47
200 EAST 71 STREET,4,SE,Manhattan,51,23
