pop_asian_pac_female,assault_black,assault_black_female,assault_hispanic_male,assault_white
20230,124,86,23,114
2931,111,81,1,4
1993,21,12,14,14
2148,178,132,16,14
11475,13,9,2,29
6824,167,121,53,24
539,180,130,47,7
6865,16,11,28,64
1956,56,45,11,17
3814,4,3,1,35
782,245,184,9,10
20621,19,15,29,10
