dbn,q11_i_trust_the_principal,q28_how_satisfied_are_you,q10_my_child_feels_like_they,q39_if_you_are_a_parent,q36_if_you_are_a_parent_1,q23_i_am_satisfied_with_my_1,q14_the_principal_school_1,q18_the_principal_school_1,q6_my_child_s_school,q1_school_staff_regularly_1,q15_the_principal_school_1,q30_during_the_school_year_1,q10_my_child_feels_like_they_1,q23_i_am_satisfied_with_my,q15_the_principal_school,q41_if_you_are_a_parent_1,q27_how_satisfied_are_you_1,q34_if_you_are_a_parent,q36_if_you_are_a_parent,q27_how_satisfied_are_you,q41_if_you_are_a_parent,q4_i_feel_respected_by_my,q25_how_satisfied_are_you
20K445,94%,,93%,0%,17%,5%,6%,6%,95%,13%,7%,41%,7%,95%,93%,0%,,90%,83%,,0%,98%,87%
07X224,100%,,100%,0%,0%,4%,0%,0%,100%,0%,0%,44%,0%,96%,100%,0%,,0%,100%,,0%,100%,100%
10X368,91%,,91%,0%,10%,,12%,16%,96%,15%,12%,11%,9%,,88%,0%,,88%,90%,,0%,89%,84%
12X134,94%,,94%,100%,18%,14%,4%,4%,96%,11%,7%,14%,6%,86%,93%,0%,,0%,82%,,100%,97%,92%
10X433,98%,,91%,0%,44%,0%,7%,5%,98%,5%,7%,14%,9%,100%,93%,0%,,98%,56%,,0%,95%,95%
19K346,97%,,97%,86%,0%,9%,3%,3%,98%,9%,2%,10%,3%,91%,98%,14%,,0%,100%,,86%,99%,94%
02M089,99%,,100%,,25%,,5%,13%,99%,7%,12%,1%,0%,,88%,,,0%,75%,,,99%,85%
06M153,96%,,98%,96%,2%,11%,6%,5%,98%,6%,6%,6%,2%,89%,94%,5%,,0%,98%,,95%,99%,94%
07X043,94%,,96%,96%,10%,9%,9%,7%,97%,10%,7%,12%,4%,91%,93%,16%,,0%,90%,,84%,98%,92%
01M064,100%,,86%,0%,,,0%,0%,86%,0%,0%,29%,14%,,100%,0%,,0%,,,0%,100%,100%
12X446,,,,0%,,,,,,,,,,,,0%,,,,,0%,,
10X206,100%,,99%,0%,0%,0%,0%,0%,100%,1%,0%,11%,1%,100%,100%,0%,,0%,100%,,0%,98%,99%
01M361,91%,,95%,83%,0%,17%,18%,12%,98%,18%,16%,5%,5%,83%,84%,33%,,0%,100%,,67%,95%,98%
01M450,99%,,96%,0%,7%,4%,3%,2%,99%,6%,3%,3%,4%,96%,97%,0%,,97%,93%,,0%,98%,94%
13K483,96%,,89%,0%,6%,18%,5%,5%,95%,10%,4%,14%,11%,82%,96%,0%,,93%,94%,,0%,96%,94%
05M161,95%,,97%,0%,8%,10%,6%,8%,99%,10%,10%,12%,3%,90%,90%,0%,,0%,92%,,0%,97%,90%
21K253,98%,,98%,0%,3%,10%,3%,2%,96%,5%,4%,9%,2%,90%,96%,0%,,0%,97%,,0%,98%,95%
07X495,90%,,97%,0%,0%,33%,10%,14%,94%,19%,16%,22%,3%,67%,84%,0%,,94%,100%,,0%,97%,94%
06M178,98%,,98%,0%,10%,10%,4%,2%,99%,5%,4%,6%,2%,90%,96%,0%,,0%,90%,,0%,99%,96%
01M142,98%,,98%,97%,3%,4%,2%,1%,98%,3%,3%,6%,2%,96%,97%,0%,,0%,97%,,100%,99%,97%
02M135,98%,,97%,0%,0%,10%,5%,7%,97%,3%,5%,15%,3%,90%,95%,0%,,97%,100%,,0%,98%,95%
16K040,100%,,100%,,17%,,4%,4%,100%,4%,4%,7%,0%,,96%,,,0%,83%,,,96%,96%
10X268,100%,,100%,0%,0%,,0%,7%,100%,0%,0%,25%,0%,,100%,0%,,100%,0%,,0%,100%,94%
01M188,100%,,98%,,0%,0%,1%,1%,99%,0%,0%,2%,2%,100%,100%,,,0%,100%,,,99%,100%
17K161,100%,,100%,100%,0%,0%,0%,0%,100%,4%,0%,8%,0%,100%,100%,17%,,0%,100%,,83%,98%,100%
05M046,100%,,100%,0%,,0%,0%,0%,100%,0%,29%,10%,0%,0%,71%,0%,,0%,,,0%,100%,80%
06M328,98%,,99%,0%,2%,0%,1%,2%,99%,1%,2%,37%,1%,100%,98%,0%,,0%,98%,,0%,99%,100%
15K024,99%,,99%,100%,2%,0%,1%,1%,100%,2%,1%,2%,1%,100%,99%,0%,,0%,98%,,100%,99%,97%
09X055,100%,,100%,95%,11%,33%,1%,1%,96%,3%,0%,13%,0%,67%,100%,5%,,0%,89%,,95%,99%,97%
30Q280,98%,,97%,0%,9%,15%,3%,3%,97%,6%,3%,5%,3%,85%,97%,0%,,0%,91%,,0%,97%,93%
13K056,97%,,95%,100%,20%,,5%,2%,97%,12%,4%,5%,5%,,96%,0%,,0%,80%,,100%,95%,88%
02M449,100%,,92%,0%,,,8%,9%,85%,0%,18%,23%,8%,,82%,0%,,92%,,,0%,100%,91%
02M006,98%,,100%,87%,27%,40%,9%,14%,100%,12%,13%,1%,0%,60%,87%,13%,,0%,73%,,87%,99%,80%
