dbn,_13_expulsions,_11_expulsions,_13_principal,_14_expulsions,_16_superintendent,_19_principal,_8_superintendent,_12_expulsions,_16_removals,_17_principal,_15_removals,_5_removals,administrative_district,_20_superintendent,_14_removals,_18_expulsions,_9_superintendent,_7_principal,sy1718_total_removals,_17_superintendent,_21_removals,_13_superintendent,_12_removals
02M529,R,R,R,R,6,R,R,R,R,8,R,R,2,R,R,R,R,R,60,6,R,R,R
02M391,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,0,R,R,R,R
03M075,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R
12X318,R,R,11,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,61,R,R,16,7
05M367,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,22,R,R,R,R
16K262,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,0,R,R,R,R
03M299,R,R,R,R,R,R,R,R,R,20,R,R,3,R,R,R,R,R,83,7,R,R,R
17K181,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,11,R,R,R,R
11X265,R,R,R,R,R,R,R,R,R,18,R,R,11,R,R,R,R,R,102,R,R,R,R
09X126,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,0,R,R,R,R
13K499,R,R,R,R,8,R,R,R,R,R,R,R,13,R,R,R,R,R,17,R,R,R,R
05M133,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,20,R,R,R,R
18K629,R,R,R,R,R,R,R,R,6,14,R,R,18,R,R,R,R,R,80,R,R,R,R
12X388,R,R,R,R,R,R,R,R,R,7,R,R,12,R,R,R,R,R,17,R,R,R,R
17K289,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R
17K770,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,13,R,R,R,R
02M392,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,48,R,R,R,R
12X511,R,R,R,R,7,R,R,R,R,11,R,R,12,R,R,R,R,R,81,R,R,R,R
01M363,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,0,R,R,R,R
10X205,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,8,R,R,R,R
18K567,R,R,R,R,R,R,R,R,R,8,R,R,18,R,R,R,R,R,45,R,R,R,R
02M489,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,14,R,R,R,R
10X254,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,34,R,R,9,R
02M519,R,R,R,R,R,R,R,R,R,11,R,R,2,R,R,R,R,R,28,R,R,R,R
02M183,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R
02M550,R,R,R,R,R,R,R,R,R,7,R,R,2,R,R,R,R,R,21,R,R,R,R
15K032,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,44,R,R,R,R
13K305,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R
11X169,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,31,R,R,R,R
13K595,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,16,R,R,R,R
17K546,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,28,R,R,R,R
13K419,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,20,R,R,R,R
02M560,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R
07X221,R,R,8,R,R,R,R,R,R,6,R,R,7,R,R,R,R,R,41,R,R,R,R
09X443,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,17,R,R,R,R
10X141,R,R,16,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,112,R,R,R,R
20K201,R,R,6,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,26,R,R,R,R
14K488,R,R,R,R,R,R,R,R,R,9,R,R,14,R,R,R,R,R,40,R,R,R,R
15K107,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,0,R,R,R,R
09X260,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,11,R,R,R,R
07X001,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R
02M042,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R
05M362,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,R,R,R,R,R
10X438,R,R,R,R,R,R,R,R,12,R,7,R,10,R,R,R,R,R,58,R,R,R,R
08X537,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,15,R,R,R,R
12X196,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,104,R,R,R,R
08X377,R,R,R,R,8,R,R,R,R,R,R,R,8,R,R,R,R,R,41,R,R,R,R
05M517,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,18,R,R,R,R
09X022,R,R,8,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,44,R,R,10,R
08X530,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,7,R,R,R,R
15K136,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,20,R,R,7,R
01M064,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,0,R,R,R,R
12X372,R,R,22,R,R,R,R,R,R,14,R,R,12,R,R,R,R,R,213,R,R,R,R
12X006,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,44,R,R,R,R
20K187,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,10,R,R,R,R
17K547,R,R,R,R,8,R,R,R,R,22,R,R,17,R,R,R,R,R,87,9,R,R,R
11X355,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,12,R,R,R,R
04M146,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,18,R,R,R,R
09X063,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,25,R,R,R,R
04M435,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,18,R,R,R,R
04M406,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,32,R,R,11,R
06M209,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,0,R,R,R,R
20K200,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,39,R,R,R,R
02M280,R,R,R,R,R,R,R,R,6,R,20,R,2,R,17,R,R,R,94,R,R,R,R
14K478,R,R,R,R,R,R,R,R,R,16,R,R,14,R,R,R,R,R,111,R,R,R,R
12X691,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,0,R,R,R,R
15K010,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R
07X548,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,13,R,R,R,R
09X218,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R
08X408,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,0,R,R,R,R
02M198,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,36,R,R,R,R
09X454,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R
01M034,R,R,R,R,R,R,R,R,R,R,R,R,1,R,7,R,R,R,43,R,R,7,R
17K375,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,37,R,R,R,R
06M368,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,0,R,R,R,R
06M293,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
03M243,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,0,R,R,R,R
02M615,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,6,R,R,R,R
02M217,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,25,R,R,R,R
18K576,R,R,R,R,7,R,R,R,R,6,R,R,18,R,R,R,R,R,50,R,R,R,R
09X163,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R
08X519,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,11,R,R,R,R
11X127,R,R,11,R,R,R,R,R,R,R,R,R,11,R,13,R,R,R,189,R,R,R,56
15K497,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,7,R,R,R,R
18K233,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,0,R,R,R,R
15K442,R,R,8,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,30,R,R,R,6
11X542,R,R,R,R,R,R,R,R,R,11,R,R,11,R,R,R,R,R,51,R,R,R,R
17K537,R,R,R,R,9,R,R,R,R,R,6,R,17,R,8,R,R,R,85,R,R,R,R
17K340,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,15,R,R,R,R
13K287,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,6,R,R,R,R
02M312,R,R,12,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,36,R,R,R,R
06M513,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,0,R,R,R,R
09X110,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,6,R,R,R,R
10X159,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,0,R,R,R,R
19K660,R,R,R,R,R,R,R,R,R,11,R,R,19,R,R,R,R,R,53,R,R,R,R
03M417,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,35,R,R,R,R
12X129,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,37,R,R,R,R
06M103,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,0,R,R,R,R
10X237,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,47,R,R,R,R
20K160,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R
10X228,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,33,R,R,R,R
02M605,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,7,R,R,R,R
02M305,R,R,R,R,R,R,R,R,R,12,R,R,2,R,R,R,R,R,101,R,R,R,R
