code,program,end13,audgrp13,_10seats,ela,end04,date08,date04,_10ap,audgrp11,end11,start12,start09,cte_program_detail,end10,audgrp07,req4,date14,audgrp14,math,audgrp12,start08
M19C,The Academy of the Humanities,,,,4-Mar,,,,,,,,,,,,,,,80-100,,
K61T,Liberal Arts and Arts Technology,,,5,,,,,8,,,,,,,,,,,,,
Y61A,The Bronx Compass High School,,,,,,,,,,,,,,,,,,,,,
K86A,Legal Studies,,,10,,,,,22,,,,,,,,,,,,,
K85D,Science and Health Institute,,,10,,,,,16,,,,,,,,,,,,,
K69L,Transit Industrial Electrician,,,5,4-Feb,,,,4,,,,,,,,,,,70-100,,
M42J,Musical Theatre,,,5,,,,"Sunday, 11/17/2013",20,,,,,Students may receive CTE endorsement in the following areas: Drama,,,,,,,,
M87A,Baruch College,,,New Program,4-Feb,,,,New Program,,,,,,,,,,,85-100,,
L62A,The Urban Assembly School for Criminal Justice,,,New Program,,,,,New Program,,,,,,,,,,,,,
Q98A,Newcomers High School,,,,,,,,,,,,,,,,,,,,,
M68A,"Fashion Design, Related Arts & Business Fields",,,30,,11:00 AM,,"Saturday, 1/4/2014",140,,,,,,,,,,,,,
M83A,School of the Future,,,,4-Mar,,,,,,,,,,,,,,,85-100,,
R17C,Air Force Junior Reserve Officers' Training Corps,,,,,,,,,,,,,,,,,,,,,
X10E,Business Enterprise,,,,,,,,,,,,,,,,,,,,,
X63X,Frederick Douglass Academy III Secondary School,,,,,,,,,,,,,,,,,,,,,
Q10A,Environmental and Science Research Institute,,,10,,,,,16,,,,,,,,,,,,,
Q45A,Veterinary Science Institute,,,,,,,,,,,,,,,,,,,,,
K24L,Professional Photography,,,10,,,,,19,,,,,,,,,,,,,
K42B,Vocal Music,,,5,,7:00 PM,,"Friday, 11/15/2013",6,,,,,,,,,,,,,
Y45A,Mott Hall V High School,,,,,,,,,,,,,,,,,,,,,
K01J,Math/Science Leadership,,,5,,,,,6,,,,,,,,,,,,,
A14A,The Business of Sports School,,,8,,,,,65,,,,,,,,,,,,,
X94A,Banana Kelly High School,,,5,,,,,7,,,,,,,,,,,,,
X19A,Bronx Collaborative High School,,,New Program,,,,,New Program,,,,,,,,,,,,,
,Brooklyn Latin,,,20,,,,,802,,,,,,,,,,,,,
R10Z,Zoned,,,,,,,,,,,,,,,,,,,,,
M57C,Bilingual Spanish Pre-Engineering,,,,4-Feb,,,,,,,,,,,,Interview,,,80-100,,
A54A,Academy for Software Engineering (AFSE),,,,,,,,,,,,,,,,,,,,,
M20X,Theatre Arts,,,10,4-Feb,,,,38,,,,,,,,,,,75-100,,
K56T,Theatre Arts and Dance,,,10,,,,,3,,,,,,,,,,,,,
Y43A,Bronx Career and College Preparatory High School,,,10,,,,,37,,,,,,,,,,,,,
Q12F,International & Cultural Relations,,,,,6:00 PM,"Saturday, 1/4/2014","Saturday, 11/16/2013",,,,,,,,Last name M-Z for single audition & Last name A-Z for multiple auditions,,,,,,11:30 AM
L57A,Brooklyn Academy of Global Finance,,,,,,,,,,,,,,,,,,,,,
X30A,Bronx Aerospace High School,,,10,,,,,29,,,,,,,,,,,,,
K20B,Teachers Preparatory High School for Current Students,,,,,,,,,,,,,,,,,,,,,
M04A,Urban Assembly School for the Performing Arts,,,10,,,,,43,,,,,,,,,,,,,
X10A,Health Professions,,,,,,,,,,,,,,,,,,,,,
Q40N,Drama,,,5,,,,"Sunday, 11/24/2013",63,,,,,,,,,,,,,
A15A,Columbia Secondary School,,,,4-Mar,,,,,,,,,,,,,,,90-100,,
K67E,Information Technology,,,20,,,,,8,,,,,,,,,,,,,
Q67I,Commercial Art/Graphic Communications/Web Design,,,7,4-Mar,,,,104,,,,,,,,Review of Attendance & Punctuality,,,75-100,,
M57B,Bilingual Spanish Information Technology and Computer Science,,,,,,,,,,,,,,,,Review of Attendance & Punctuality,,,75-100,,
K08X,Urban Assembly School for Law and Justice,,,10,,,,,53,,,,,,,,,,,,,
Q67M,CAD/Mechanical Technology,,,7,4-Mar,,,,99,,,,,,,,,,,75-100,,
Q33A,High School for Community Leadership,,,,,,,,,,,,,,,,,,,,,
