hispanic,grade_10,grade_5,grade_k,white,grade_3,black_1,total_enrollment,grade_9,male,english_language_learners,white_1
275,112,0,0,45,0,0.219,452,118,367,29,0.1
52,0,49,61,197,41,0.113,336,0,175,12,0.586
91,0,0,0,13,0,0.253,154,0,88,22,0.084
90,66,0,0,30,0,0.218,307,166,176,261,0.098
215,0,0,0,393,0,0.075,1134,0,605,47,0.347
43,0,53,89,303,64,0.01,414,0,210,19,0.732
183,77,0,0,10,0,0.336,324,125,135,13,0.031
81,39,0,0,1,0,0.37,138,23,73,9,0.007
243,0,52,44,52,47,0.335,508,0,266,21,0.102
42,0,0,0,84,0,0.042,284,0,159,14,0.296
45,0,54,50,240,58,0.025,522,0,282,0,0.46
195,94,0,0,15,0,0.258,302,67,188,31,0.05
232,92,0,0,8,0,0.354,381,14,205,35,0.021
400,0,53,42,6,56,0.233,558,0,272,86,0.011
60,0,51,100,249,68,0.041,468,0,217,8,0.532
107,57,0,0,5,1,0.285,165,38,42,13,0.03
43,0,83,82,23,91,0.014,574,0,297,187,0.04
277,105,0,0,22,0,0.182,423,148,127,25,0.052
155,0,0,0,77,0,0.142,358,0,179,6,0.215
156,0,46,68,73,48,0.48,513,0,278,51,0.142
40,0,40,50,206,52,0.023,342,0,167,8,0.602
73,0,22,24,8,18,0.532,216,0,105,27,0.037
228,118,0,0,84,0,0.21,457,113,189,11,0.184
138,44,0,0,12,0,0.232,302,102,138,33,0.04
217,103,0,0,19,0,0.271,354,83,155,37,0.054
176,161,110,100,644,112,0.054,1640,104,803,26,0.393
126,118,0,0,218,0,0.123,489,131,205,6,0.446
110,76,0,0,8,0,0.498,271,65,133,23,0.03
114,98,0,0,252,0,0.208,558,119,156,1,0.452
239,0,76,61,22,67,0.137,481,0,242,63,0.046
249,117,0,0,29,0,0.251,427,115,207,13,0.068
160,89,0,0,59,0,0.27,370,104,157,10,0.159
223,0,183,140,437,131,0.062,923,0,460,30,0.473
251,123,0,0,30,0,0.317,483,180,157,18,0.062
63,127,0,0,202,0,0.036,475,119,210,5,0.425
103,0,78,96,390,90,0.062,600,0,309,19,0.65
107,0,97,103,331,85,0.025,596,0,309,10,0.555
44,0,63,0,137,0,0.104,241,0,117,0,0.568
12,0,101,94,13,84,0.002,595,0,318,141,0.022
96,0,19,29,9,33,0.295,190,0,96,17,0.047
162,71,0,0,8,0,0.276,290,101,102,20,0.028
149,101,0,0,70,0,0.261,353,88,159,8,0.198
245,0,50,49,96,46,0.303,565,0,311,39,0.17
195,82,0,0,8,0,0.333,330,74,154,18,0.024
156,99,0,0,10,0,0.251,267,68,185,16,0.037
180,0,0,0,583,0,0.07,1150,0,584,40,0.507
756,296,0,0,79,0,0.164,1194,299,586,101,0.066
101,62,0,0,7,0,0.443,210,27,104,19,0.033
136,67,0,0,15,0,0.209,239,44,113,25,0.063
66,129,0,0,276,0,0.044,498,124,242,4,0.554
184,106,0,0,38,0,0.205,351,75,221,273,0.108
234,0,63,47,12,46,0.156,333,0,165,45,0.036
911,447,0,0,85,0,0.304,1589,513,165,51,0.053
146,0,50,28,6,35,0.265,245,0,129,18,0.024
56,0,75,97,350,82,0.018,541,0,273,51,0.647
133,116,0,0,89,0,0.157,452,116,180,5,0.197
50,0,54,101,316,75,0.022,454,0,237,5,0.696
274,128,0,0,16,0,0.204,451,149,333,18,0.035
232,138,0,0,57,0,0.316,510,149,356,27,0.112
166,80,0,0,9,0,0.295,281,91,142,14,0.032
42,0,151,110,21,121,0.004,796,0,418,127,0.026
504,0,69,55,15,67,0.161,646,0,340,67,0.023
54,0,0,0,7,0,0.143,252,0,140,68,0.028
210,0,0,0,5,0,0.014,220,0,105,55,0.023
105,0,89,78,292,84,0.047,514,0,256,21,0.568
46,0,0,0,8,0,0.06,436,0,247,142,0.018
60,0,49,89,208,47,0.128,376,0,204,17,0.553
258,112,0,0,87,0,0.256,581,128,333,19,0.15
207,0,0,0,354,0,0.072,1101,0,589,23,0.322
159,76,0,0,5,0,0.23,222,46,70,15,0.023
148,120,0,0,126,0,0.123,454,112,220,1,0.278
485,669,0,0,1261,0,0.1,2809,807,679,6,0.449
40,0,54,50,229,58,0.027,511,0,274,0,0.448
239,0,87,63,31,76,0.125,464,0,231,61,0.067
60,29,0,0,42,0,0.306,160,11,60,0,0.262
130,0,42,23,17,38,0.193,212,0,113,9,0.08
100,118,0,0,349,0,0.071,534,99,234,0,0.654
232,0,72,84,101,62,0.148,432,0,215,37,0.234
194,0,0,0,9,0,0.01,207,0,98,46,0.043
890,399,0,0,83,0,0.311,1577,531,134,51,0.053
250,0,39,29,9,33,0.314,398,0,217,39,0.023
107,0,40,26,67,36,0.113,239,0,133,8,0.28
143,0,76,70,100,84,0.194,510,0,261,31,0.196
56,0,97,127,372,91,0.016,638,0,302,40,0.583
32,0,22,6,7,27,0.546,97,0,50,15,0.072
62,145,0,0,296,0,0.046,539,127,225,3,0.549
171,81,0,0,8,0,0.306,291,93,113,22,0.027
63,0,88,117,452,93,0.013,668,0,344,11,0.677
61,110,0,0,179,0,0.046,460,124,191,2,0.389
305,0,29,30,9,26,0.14,385,0,197,43,0.023
87,0,58,66,307,57,0.034,561,0,302,15,0.547
182,69,0,0,14,0,0.343,315,57,170,28,0.044
64,0,97,118,377,101,0.013,614,0,301,23,0.614
249,0,55,24,15,49,0.329,407,0,226,30,0.037
47,0,72,99,371,78,0.027,554,0,285,34,0.67
134,0,0,0,444,0,0.091,825,0,399,14,0.538
148,97,0,0,59,0,0.159,301,83,156,215,0.196
118,0,40,51,97,38,0.099,304,0,155,12,0.319
86,0,0,0,16,0,0.163,129,0,72,21,0.124
245,134,0,0,7,0,0.34,426,123,175,23,0.016
88,0,9,19,35,10,0.209,182,0,93,30,0.192
204,111,0,0,44,0,0.292,435,139,293,22,0.101
116,76,0,0,7,0,0.616,362,83,223,37,0.019
56,0,30,15,3,26,0.6,170,0,90,6,0.018
230,0,92,84,148,81,0.173,543,0,270,43,0.273
156,0,48,51,89,48,0.106,330,0,176,7,0.27
167,39,0,0,5,0,0.077,194,66,89,115,0.026
61,0,54,82,250,69,0.039,431,0,212,17,0.58
112,0,68,61,299,71,0.138,579,0,290,12,0.516
190,93,0,0,29,0,0.308,334,40,170,27,0.087
194,0,61,57,93,53,0.157,381,0,187,25,0.244
338,229,0,0,20,0,0.272,500,11,261,59,0.04
116,0,55,31,39,56,0.092,677,0,357,84,0.058
95,0,96,127,415,96,0.015,673,0,327,21,0.617
73,42,0,0,3,0,0.505,182,57,83,11,0.016
133,0,0,0,21,0,0.198,207,0,129,8,0.101
150,0,24,49,22,40,0.196,230,0,126,4,0.096
192,118,0,0,42,0,0.274,390,116,272,15,0.108
463,891,0,0,1121,0,0.089,2717,440,698,8,0.413
408,0,49,37,19,53,0.195,543,0,294,66,0.035
116,0,82,67,255,72,0.151,515,0,264,20,0.495
192,102,0,0,22,0,0.232,332,113,175,36,0.066
340,192,0,0,57,0,0.221,738,210,401,33,0.077
225,0,55,68,91,65,0.165,467,0,245,40,0.195
308,121,0,0,33,0,0.154,460,113,181,8,0.072
152,0,51,44,78,55,0.139,330,0,179,27,0.236
120,0,62,84,230,76,0.133,475,0,234,19,0.484
168,0,57,59,96,52,0.099,372,0,204,8,0.258
72,0,107,119,479,90,0.013,694,0,318,11,0.69
167,97,0,0,147,0,0.099,406,116,190,6,0.362
192,0,0,0,4,0,0.01,198,0,89,48,0.02
137,92,0,0,15,0,0.199,327,48,151,46,0.046
204,0,36,25,9,47,0.318,333,0,183,25,0.027
128,0,0,0,19,0,0.351,239,0,122,11,0.079
60,103,0,0,246,0,0.031,484,119,252,0,0.508
197,69,0,0,16,0,0.201,314,104,211,22,0.051
127,120,0,0,242,0,0.192,563,139,159,3,0.43
193,97,0,0,9,0,0.434,394,99,119,16,0.023
159,89,0,0,61,0,0.15,313,86,172,224,0.195
326,186,0,0,59,0,0.244,741,236,433,44,0.08
170,0,53,46,14,56,0.286,318,0,169,34,0.044
236,131,0,0,7,0,0.276,380,118,128,35,0.018
272,138,0,0,16,0,0.285,459,133,306,34,0.035
35,14,0,0,5,0,0.267,60,21,27,3,0.083
122,0,61,53,47,55,0.087,712,0,374,105,0.066
188,0,58,58,67,51,0.149,395,0,218,49,0.17
73,122,0,0,210,0,0.035,487,120,192,4,0.431
350,107,0,0,10,0,0.185,464,131,240,60,0.022
98,0,61,103,226,85,0.095,620,0,286,96,0.365
230,116,0,0,77,0,0.233,486,124,123,5,0.158
22,0,57,50,181,64,0.003,358,0,184,0,0.506
95,0,84,82,221,72,0.084,500,0,237,40,0.442
28,0,21,16,10,11,0.588,102,0,58,15,0.098
92,0,58,97,237,89,0.114,616,0,302,101,0.385
100,0,39,47,126,38,0.143,343,0,173,4,0.367
121,0,44,19,9,40,0.346,243,0,139,28,0.037
260,115,0,0,17,0,0.221,430,149,300,17,0.04
72,0,60,99,261,78,0.063,480,0,240,16,0.544
262,0,69,44,11,62,0.162,371,0,177,25,0.03
75,33,0,0,4,0,0.259,112,0,66,14,0.036
194,0,58,69,81,73,0.136,413,0,223,41,0.196
48,0,175,119,24,119,0.008,858,0,453,137,0.028
146,115,0,0,83,0,0.158,442,110,192,2,0.188
287,119,0,0,8,0,0.319,457,147,332,41,0.018
163,0,52,61,102,63,0.107,373,0,213,7,0.273
209,136,0,0,28,0,0.315,375,80,227,341,0.075
169,0,54,43,9,45,0.26,281,0,155,24,0.032
269,93,0,0,17,0,0.23,404,114,234,41,0.042
161,0,57,41,59,51,0.516,545,0,275,38,0.108
219,99,0,0,34,0,0.249,434,118,357,29,0.078
180,0,50,68,101,52,0.096,396,0,223,10,0.255
50,0,66,0,142,0,0.149,255,0,126,3,0.557
148,0,42,25,19,45,0.208,236,0,126,8,0.081
168,0,73,64,99,48,0.098,379,0,213,14,0.261
59,0,0,0,115,0,0.12,233,0,117,4,0.494
94,0,0,0,17,0,0.298,178,0,98,12,0.096
389,459,0,0,916,0,0.093,2372,437,613,9,0.386
213,0,0,0,69,0,0.257,428,0,230,16,0.161
61,0,41,34,14,30,0.256,219,0,117,38,0.064
53,0,98,122,465,101,0.022,667,0,344,46,0.697
46,0,0,0,7,0,0.086,304,0,180,70,0.023
97,40,0,0,8,0,0.251,171,72,90,23,0.047
251,0,42,52,15,42,0.164,330,0,175,18,0.045
64,0,0,0,106,0,0.109,385,0,182,24,0.275
229,0,81,68,90,73,0.176,432,0,230,62,0.208
121,0,97,94,439,97,0.131,757,0,374,16,0.58
82,0,120,88,5,79,0.053,552,0,291,180,0.009
246,0,22,27,14,25,0.197,340,0,183,27,0.041
56,0,86,72,347,88,0.013,533,0,278,10,0.651
37,0,24,15,10,15,0.5,114,0,64,15,0.088
20,0,27,29,109,30,0.011,187,0,99,5,0.583
200,104,0,0,10,0,0.301,346,118,130,22,0.029
60,0,106,139,571,132,0.028,793,0,413,38,0.72
162,95,0,0,8,0,0.401,307,101,141,17,0.026
232,113,0,0,30,0,0.335,468,135,137,10,0.064
389,434,0,0,23,0,0.31,714,0,413,399,0.032
110,0,26,28,6,23,0.274,190,0,91,8,0.032
290,145,0,0,14,0,0.304,490,129,160,20,0.029
77,204,0,0,202,0,0.03,674,151,285,1,0.3
297,190,0,0,11,0,0.311,454,10,244,45,0.024
256,124,0,0,48,0,0.203,459,118,369,19,0.105
52,0,85,102,400,84,0.024,588,0,302,28,0.68
113,0,89,98,391,91,0.04,624,0,312,19,0.627
144,0,0,0,78,0,0.137,373,0,175,8,0.209
973,507,0,0,85,0,0.308,1705,469,198,73,0.05
249,0,32,34,13,29,0.255,368,0,195,47,0.035
83,0,96,50,113,64,0.12,600,0,306,8,0.188
234,0,82,96,312,107,0.081,656,0,293,47,0.476
232,117,0,0,27,0,0.332,449,143,143,8,0.06
200,50,0,0,5,0,0.014,210,70,106,137,0.024
347,183,0,0,58,0,0.179,714,192,385,32,0.081
972,529,0,0,137,0,0.161,1819,515,525,99,0.075
121,0,0,0,10,0,0.245,204,0,115,17,0.049
120,0,31,35,14,34,0.373,241,0,113,11,0.058
238,116,0,0,38,0,0.242,447,113,369,21,0.085
263,115,0,0,13,0,0.329,429,131,271,35,0.03
245,76,0,0,10,0,0.101,464,170,273,327,0.022
221,104,0,0,83,0,0.198,440,116,188,14,0.189
253,0,66,51,13,54,0.14,349,0,167,28,0.037
110,0,0,0,191,0,0.12,400,0,190,8,0.477
163,70,0,0,9,0,0.223,238,44,166,17,0.038
215,0,81,110,336,90,0.071,663,0,302,46,0.507
97,103,0,0,28,0,0.175,315,139,175,255,0.089
49,135,0,0,357,0,0.028,541,137,222,0,0.66
235,112,0,0,16,0,0.321,417,137,182,19,0.038
150,55,0,0,5,0,0.45,313,81,106,13,0.016
131,112,0,0,96,0,0.176,455,120,181,2,0.211
135,112,0,0,92,0,0.163,441,111,184,0,0.209
62,123,0,0,226,0,0.03,492,124,220,3,0.459
32,12,0,0,5,0,0.339,59,3,26,1,0.085
207,60,0,0,20,0,0.173,324,88,182,283,0.062
100,136,0,0,230,0,0.136,588,168,217,1,0.391
125,811,0,0,598,0,0.016,3319,803,1860,2,0.18
275,98,0,0,18,0,0.217,406,102,226,25,0.044
217,89,0,0,15,0,0.255,361,79,158,14,0.042
271,121,0,0,6,0,0.246,382,93,208,57,0.016
66,136,0,0,347,0,0.033,541,133,214,0,0.641
160,116,0,0,96,0,0.129,449,125,189,4,0.214
41,0,99,104,488,90,0.024,671,0,328,22,0.727
178,91,0,0,10,0,0.331,341,99,139,17,0.029
