female,economic_need_index,grade_11,students_with_disabilities_1,hispanic_1,students_with_disabilities,grade_12
85,70.2%,105,0.263,0.608,119,117
161,25.4%,0,0.196,0.155,66,0
66,82.1%,0,0.305,0.591,47,0
131,Above 95%,37,0.0,0.293,0,38
529,42.6%,0,0.175,0.19,198,0
204,9.1%,0,0.147,0.104,61,0
189,85.0%,67,0.207,0.565,67,55
65,92.4%,39,0.341,0.587,47,37
242,76.1%,0,0.266,0.478,135,0
125,48.0%,0,0.229,0.148,65,0
240,14.9%,0,0.096,0.086,50,0
114,87.7%,66,0.272,0.646,82,75
176,90.6%,130,0.425,0.609,162,145
286,93.8%,0,0.281,0.717,157,0
251,11.1%,0,0.19,0.128,89,0
123,83.6%,32,0.327,0.648,54,37
277,79.9%,0,0.185,0.075,106,0
296,85.3%,95,0.177,0.655,75,75
179,64.2%,0,0.277,0.433,99,0
235,71.6%,0,0.207,0.304,106,0
175,15.7%,0,0.135,0.117,46,0
111,93.8%,0,0.25,0.338,54,0
268,63.5%,116,0.252,0.499,115,110
164,83.7%,69,0.175,0.457,53,87
199,85.4%,107,0.251,0.613,89,61
837,25.6%,196,0.127,0.107,208,150
284,41.7%,124,0.215,0.258,105,116
138,81.1%,65,0.255,0.406,69,65
402,38.0%,117,0.152,0.204,85,101
239,75.4%,0,0.243,0.497,117,0
220,76.3%,107,0.246,0.583,105,88
213,65.2%,83,0.262,0.432,97,94
463,34.4%,0,0.148,0.242,137,0
326,79.0%,108,0.213,0.52,103,72
265,39.9%,116,0.118,0.133,56,113
291,22.4%,0,0.197,0.172,118,0
287,18.3%,0,0.166,0.18,99,0
124,21.0%,0,0.187,0.183,45,0
277,55.2%,0,0.145,0.02,86,0
94,86.7%,0,0.242,0.505,46,0
188,81.8%,65,0.366,0.559,106,53
194,62.5%,81,0.263,0.422,93,83
254,66.7%,0,0.25,0.434,141,0
176,82.7%,86,0.224,0.591,74,88
82,87.2%,54,0.202,0.584,54,46
566,26.5%,0,0.163,0.157,187,0
608,79.7%,285,0.183,0.633,219,314
106,88.6%,61,0.338,0.481,71,60
126,83.0%,76,0.192,0.569,46,52
256,32.4%,118,0.201,0.133,100,127
324,15.2%,0,0.089,0.168,57,0
323,65.4%,91,0.275,0.538,187,90
204,84.7%,97,0.203,0.655,84,91
156,82.3%,0,0.231,0.324,84,0
275,50.9%,0,0.188,0.425,106,0
406,11.6%,0,0.187,0.092,154,0
184,Above 95%,109,0.1,0.455,48,156
185,93.7%,0,0.275,0.622,112,0
216,62.9%,79,0.304,0.427,178,65
243,35.6%,0,0.204,0.222,100,0
321,17.6%,133,0.159,0.068,87,134
152,91.1%,0,0.374,0.826,127,0
318,74.6%,202,0.278,0.409,169,366
390,10.9%,0,0.158,0.082,127,0
269,83.1%,87,0.195,0.592,91,105
207,36.1%,0,0.208,0.28,84,0
218,9.5%,0,0.162,0.118,74,0
213,88.0%,66,0.258,0.685,87,68
114,68.7%,0,0.41,0.627,102,0
126,91.0%,102,0.429,0.612,126,70
199,61.7%,61,0.174,0.475,42,65
343,70.8%,253,0.203,0.421,127,289
221,42.7%,114,0.223,0.248,99,104
108,Above 95%,48,0.124,0.948,29,61
177,55.8%,132,0.247,0.415,129,122
85,77.1%,0,0.355,0.507,54,0
95,90.3%,0,0.244,0.528,44,0
87,57.2%,0,0.208,0.281,37,0
199,87.2%,69,0.253,0.622,93,77
243,13.3%,0,0.103,0.077,53,0
980,57.6%,326,0.22,0.515,323,344
212,86.6%,103,0.219,0.739,92,102
76,75.3%,0,0.296,0.494,48,0
175,86.0%,86,0.284,0.68,95,59
321,77.7%,119,0.217,0.493,127,155
280,92.0%,133,0.073,0.989,39,65
229,38.4%,0,0.164,0.065,91,0
259,79.7%,88,0.246,0.569,105,100
101,86.4%,0,0.228,0.528,44,0
225,19.1%,0,0.201,0.156,84,0
148,43.8%,0,0.182,0.295,55,0
188,84.0%,104,0.164,0.64,61,95
252,34.7%,101,0.165,0.212,77,109
632,29.8%,0,0.17,0.159,227,0
78,86.6%,0,0.366,0.432,67,0
151,94.2%,81,0.03,0.537,10,76
160,31.8%,41,0.108,0.15,34,45
168,82.2%,0,0.281,0.614,80,0
215,35.1%,0,0.216,0.306,84,0
314,18.7%,0,0.114,0.162,74,0
235,22.2%,0,0.204,0.157,91,0
100,94.2%,0,0.433,0.604,94,0
216,92.8%,0,0.317,0.583,149,0
256,59.4%,115,0.195,0.293,85,109
155,83.5%,108,0.264,0.623,110,85
1006,54.3%,416,0.218,0.472,329,286
145,46.0%,0,0.235,0.376,72,0
242,36.8%,71,0.196,0.211,96,68
143,29.7%,43,0.144,0.168,43,45
273,35.3%,0,0.178,0.202,96,0
101,87.8%,65,0.288,0.562,65,32
96,87.9%,0,0.212,0.52,38,0
235,61.7%,114,0.192,0.575,81,119
250,14.9%,0,0.084,0.09,44,0
133,80.3%,81,0.264,0.504,68,92
416,48.0%,141,0.128,0.132,85,173
145,79.0%,70,0.203,0.582,53,72
178,85.7%,71,0.252,0.531,86,93
173,Above 95%,72,0.03,0.577,13,89
128,Above 95%,49,0.007,0.436,2,28
173,90.0%,98,0.364,0.592,131,65
217,88.6%,57,0.224,0.693,72,76
182,86.6%,115,0.241,0.654,108,100
135,18.4%,0,0.151,0.129,41,0
347,62.1%,0,0.146,0.116,105,0
122,86.9%,73,0.251,0.311,89,61
161,79.1%,58,0.243,0.53,77,40
71,64.6%,0,0.224,0.287,32,0
79,90.5%,0,0.331,0.506,55,0
123,93.2%,0,0.317,0.551,77,0
322,57.9%,0,0.156,0.017,102,0
258,6.8%,0,0.125,0.088,64,0
206,67.1%,84,0.283,0.431,154,69
102,68.6%,0,0.543,0.431,107,0
