violation_time,issuing_agency,date_first_observed,issuer_code
0332P,P,0,964696
0517P,P,0,970894
0416A,P,0,968646
0756P,P,0,937675
0813P,K,0,161261
0430A,N,0,160695
0459A,P,0,945059
1151A,K,0,161241
0503P,P,0,970953
0510P,P,0,934318
0828P,K,0,160076
0607A,P,0,965035
0936A,Y,20220608,101387
0520P,P,0,968324
0148P,K,0,160073
0928A,K,0,160620
1107A,N,0,161315
0750P,P,0,969896
0941P,K,0,161310
1148A,P,0,939911
0204P,P,0,949737
1138A,T,0,370322
0820A,P,0,958839
0455A,C,0,109970
1030P,P,0,969404
0504A,P,0,969090
0250P,M,0,267107
1115A,P,0,971657
0410P,P,0,946985
1031A,R,0,0
0717A,P,0,965960
0610P,C,0,100221
0133A,P,0,940600
1102P,P,0,972507
0624P,C,0,109752
0345P,P,0,959294
0453A,K,0,160569
0150A,Y,0,101207
0602P,P,0,954151
1239P,P,0,963507
0837A,P,0,971652
1209P,Q,0,422286
0456A,C,0,109971
1037A,P,0,160195
1233P,K,0,160693
1110A,T,0,355323
0140A,P,0,966414
0303A,P,0,772247
0848A,K,0,160468
0842A,P,0,367363
1050A,P,0,939799
1038A,K,0,160390
0835P,P,0,968152
0723P,P,0,958517
0146P,P,0,966325
0223P,P,0,963263
1110P,P,0,934548
1045A,P,0,971812
0317P,P,0,972505
1044A,Y,0,101783
1115A,M,0,274474
0451P,P,0,967646
0855P,P,0,939138
0710P,P,0,968636
0101A,P,0,965093
1044A,M,0,265952
0250P,P,0,937728
0143A,P,0,972147
0810P,P,0,969350
1135A,K,0,160110
1056A,P,0,960894
0646A,P,0,962408
0614P,C,0,109752
0740P,P,0,934579
0736A,R,0,0
0825A,P,0,970423
0831A,P,0,970423
1256P,P,0,969014
0817A,P,0,970423
0513P,P,0,939948
0316A,P,0,951605
0305A,C,0,100309
0943A,P,0,960571
0135A,P,0,968191
0920P,C,0,109982
1205A,P,0,960359
0141P,C,0,100223
1159A,P,0,950977
1230P,P,0,370322
0322P,P,0,939911
0914P,P,0,160350
0718P,P,0,958913
0650P,Y,0,101621
1147A,P,0,966325
0608P,P,0,951412
1029A,P,0,951003
0911A,P,0,370322
0835A,Q,0,523279
0702A,P,0,963192
0252P,P,0,964328
0208P,P,0,963177
1102A,N,0,161331
0116P,P,0,963456
0450P,P,0,959294
0417P,K,0,160699
0225P,P,0,963177
0452P,P,0,968324
0618P,C,0,109752
0913P,P,0,969307
0437A,C,0,109971
0613P,K,0,160448
0139A,P,0,962519
0130P,P,0,370322
1248P,M,0,267107
0524P,K,0,160699
1213P,P,0,946454
1024P,P,0,967323
0647A,R,0,0
0307P,K,0,161134
0202A,P,0,355151
0948P,P,0,957766
0746A,C,0,109977
0732P,P,0,949996
1205P,P,0,971154
1010P,P,0,952297
1252A,P,0,972801
0150A,P,0,938830
0928A,T,0,370322
0440P,4,0,100447
0921A,K,0,180326
0110P,M,0,267107
0303P,K,0,160110
1130A,P,0,940525
0959A,N,0,600157
0502P,K,0,160563
1123P,P,0,951069
1051P,P,0,948096
0520A,P,0,972197
1140A,K,0,160110
0152A,P,0,951605
1050P,X,0,50533
0847P,P,0,972251
0232A,R,0,0
1021P,P,0,970757
0444P,N,0,600173
0701P,K,0,161119
0609P,M,0,267107
1030P,P,0,972507
0145P,T,0,371769
0841P,P,0,972580
0215A,P,0,969744
0620P,P,0,961688
0905A,P,0,970423
0405A,N,0,160695
0600A,P,0,358563
1037A,P,0,927337
0235A,C,0,109971
0237P,T,0,371769
0047A,P,0,965035
0902A,K,0,161201
0528P,N,0,160107
0450P,N,0,160553
1010A,P,0,371705
0549P,P,0,968646
0937P,B,0,553389
1050A,P,0,161269
1029A,P,0,965820
0345A,Y,0,101207
0220P,P,0,936381
0852A,P,0,370322
0907A,P,20220701,973178
0900P,P,0,951686
1100P,P,0,961044
0902P,P,0,168350
0100P,K,0,160933
1102A,P,0,944161
0438P,K,0,160110
0740P,P,0,954151
0243A,P,0,969090
0702P,P,0,950362
1057A,P,0,972276
0329P,K,0,160941
0024A,P,0,970131
0015A,A,0,49938
0855P,P,0,946985
0711P,P,0,942899
0533P,K,0,160544
0305A,P,0,972677
1250P,K,0,160561
0156P,P,0,931001
0559A,C,0,100309
0643A,P,0,953900
0115A,P,0,958792
0215P,P,0,964399
0635P,P,0,970435
0645P,N,0,600067
0912A,P,0,970423
1235P,R,0,0
0433A,P,0,962623
0935A,U,0,252
0410P,U,0,62
0206A,K,0,160695
0016A,P,0,963980
0110P,Y,20220615,0
0855P,P,0,969832
0605P,P,0,970520
1101P,C,0,109752
0947A,B,0,0
1150A,K,0,161045
0600P,P,0,970435
0151A,C,0,108018
1256P,P,0,963068
0846A,P,0,942183
0945P,P,0,955866
0243P,V,0,0
0900A,M,0,271446
0142A,C,0,108018
0911P,P,0,958360
1127P,P,0,938279
0532P,P,0,966407
1127P,P,0,963781
0406P,U,0,62
1219P,W,0,825541
1255P,K,0,160110
0815A,P,0,100770
1145P,P,0,962846
0933A,P,0,101820
0908A,P,0,370322
0308P,P,0,279504
0222P,K,0,160955
0223P,P,0,952644
0749P,K,0,160695
0600P,C,0,100213
0325A,C,0,100309
0427P,4,0,100242
1150P,P,0,969406
0954A,P,0,962369
0859P,K,0,161261
0041A,P,0,962924
1114A,P,0,940525
