dbn,school_name,survey_pp_es,qr_3_1,qr_5_1,ethnicity_amerindian_pct,near_pct_pacific,teacher_attendance,rr_p,cap_sc_pct,survey_pp_se,n_chronic_absent_all,qr_3_4,ethnicity_white_pct_dist,temp_housing_pct,teach_3_more_exp,eni_pct,teacher_ethnicity_amerindian,near_pct_asian,median_distance
84X620,Bronx Charter School for Excellence 5,0.87,No Data,No Data,0.0,0.002,No Data,78%,0.011,0.87,92,No Data,0.013,0.08,No Data,0.88,No Data,0.006,1.0
84X619,Bronx Arts and Science Charter School,No Data,No Data,No Data,0.007,0.004,No Data,,0.007,No Data,163,No Data,0.044,0.086,No Data,0.803,0,0.175,1.6
84X623,Neighborhood Charter School: Bronx,0.89,No Data,No Data,0.009,0.003,0.96,63%,0.0,0.84,137,No Data,0.013,0.084,No Data,0.786,0,0.013,1.9
84X608,Bronx Charter School for Excellence 4,0.93,No Data,No Data,0.0,0.006,No Data,68%,0.012,0.85,176,No Data,0.059,0.07,No Data,0.708,0,0.018,0.9
84K937,Brooklyn RISE Charter School,0.88,No Data,No Data,0.0,0.0,No Data,49%,0.0,0.86,No Data,No Data,0.359,0.09,No Data,0.853,0,0.518,0.5
25Q244,The Active Learning Elementary School,0.9,Well Developed,Well Developed,0.002,0.003,0.969,73%,0.039,0.93,440,Well Developed,0.109,0.036,0.936,0.7,No Data,0.862,0.2
84K934,East Flatbush Ascend Charter School,0.98,No Data,No Data,0.182,0.004,0.98,39%,0.013,0.91,No Data,No Data,0.039,0.026,No Data,0.756,0,0.017,0.8
84X586,Brilla Veritas Charter School,0.94,No Data,No Data,0.012,0.002,0.98,100%,0.0,0.78,255,No Data,0.013,0.113,No Data,0.875,0,0.004,0.7
84X616,KIPP Bronx II Charter School,0.9,No Data,No Data,0.0,0.003,No Data,10%,0.0,0.89,No Data,No Data,0.052,0.11,No Data,0.882,0,0.011,0.8
84X613,Bold Charter School,0.98,No Data,No Data,0.017,0.002,0.99,77%,0.0,0.99,116,No Data,0.044,0.117,No Data,0.921,0,0.018,0.9
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,0.6,Well Developed,Proficient,0.029,0.001,0.976,78%,0.013,0.82,244,Well Developed,0.15,0.054,0.79,0.538,No Data,0.154,0.3
30Q398,P.S. 398,0.72,No Data,No Data,0.0,0.003,0.973,61%,0.0,0.89,73,No Data,0.15,0.0,0.182,0.58,0,0.534,0.3
84K910,Cypress Hills Ascend Charter School,0.85,No Data,No Data,0.009,0.008,0.98,5%,0.005,0.81,No Data,No Data,0.02,0.047,No Data,0.806,0,0.366,0.5
12X595,P.S. 595,0.9,Proficient,Proficient,0.006,0.0,0.99,59%,0.096,0.82,183,Well Developed,0.016,0.287,0.4,0.931,0,0.005,0.2
84M383,Storefront Academy Harlem Charter School,0.8,No Data,No Data,0.024,0.004,No Data,76%,0.024,0.76,48,No Data,0.036,0.244,No Data,0.95,0,0.017,0.9
84X614,DREAM Mott Haven Charter School,0.97,No Data,No Data,0.0,0.003,0.91,64%,0.031,No Data,53,No Data,0.013,0.108,No Data,0.858,No Data,0.011,1.0
84X609,Zeta Charter Schools - Bronx 1,0.98,No Data,No Data,0.004,0.004,No Data,91%,0.016,No Data,No Data,No Data,0.013,0.123,No Data,0.888,0,0.009,1.0
