location_1,class_classroom_organization_score,ecers_program_structure_rating,program_type,ecers_personal_care_routines_rating,quality_review_date_of_review,playspace,ecers_interaction_score
14-14 29th Avenue,6.5,4.0,District School,3.0,"February 04, 2015",Indoor/Outdoor (onsite) playspace,6.6
1014 Lafayette Avenue,6.5,3.0,District School,3.0,"February 11, 2016",Indoor/Outdoor (onsite) playspace,4.4
121 Saratoga Avenue,6.4,1.0,District School,3.0,"February 12, 2015",Indoor/Outdoor (onsite) playspace,3.8
189-26 Linden Boulevard,5.7,3.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,2.8
272 Moffat Street,6.3,3.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,5.6
25-05 37th Avenue,6.7,4.0,District School,3.0,"January 07, 2015",Indoor/Outdoor (onsite) playspace,5.6
574 Dumont Avenue,6.7,2.0,District School,3.0,"February 05, 2015",Indoor/Outdoor (onsite) playspace,6.8
67-25 188th Street,6.1,4.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,6.8
515 Blake Avenue,5.8,4.0,NYCEEC,4.0,,Outdoor (onsite) playspace,6.4
1313 Union Street,4.6,4.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.6
6302 Avenue U,6.3,4.0,District School,3.0,"February 23, 2016",Indoor/Outdoor (onsite) playspace,6.0
5916 20th Avenue,6.1,4.0,NYCEEC,3.0,,Outdoor (onsite) playspace,7.0
415 Avenue S,6.4,3.0,District School,4.0,"January 22, 2015",Indoor/Outdoor (onsite) playspace,5.6
14129 84th Drive,5.9,2.0,NYCEEC,3.0,,Please contact site for more information,5.2
65-11 155th Street,,1.0,District School,2.0,"December 08, 2015",Indoor/Outdoor (onsite) playspace,4.2
500 19th Street,6.7,3.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,5.4
218-12 Hartland Avenue,,3.0,District School,2.0,"November 19, 2014",Indoor/Outdoor (onsite) playspace,5.4
71 SAND LANE,6.3,3.0,District School,2.0,"May 14, 2015",,5.4
400 Ashford Street,6.3,4.0,District School,2.0,"November 12, 2014",Indoor/Outdoor (onsite) playspace,2.6
100-05 39th Avenue,6.3,3.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,6.4
3177 Webster Avenue,6.7,3.0,District School,2.0,"December 01, 2016",Indoor/Outdoor (onsite) playspace,4.8
44-15 Judge Street,,1.0,NYCEEC,1.0,,,4.6
20 West 112th Street,6.5,3.0,Charter School,3.0,,Outdoor (onsite) playspace,6.6
134-01 Cronston Avenue,,4.0,District School,3.0,"May 01, 2017",Please contact site for more information,5.8
171-11 35th Avenue,6.2,4.0,District School,2.0,"January 12, 2015",Indoor/Outdoor (onsite) playspace,4.6
101 Fleet Place,6.0,2.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,3.8
500 West 160th Street,6.6,1.0,District School,2.0,"October 27, 2015",Indoor/Outdoor (onsite) playspace,6.2
100 Tompkins Avenue,,4.0,District School,3.0,"March 01, 2017",Indoor/Outdoor (onsite) playspace,5.6
292 Frost Street,4.3,3.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.6
360 Pulaski Street,6.5,1.0,NYCEEC,3.0,,,4.2
4550 Carpenter Avenue,,1.0,District School,2.0,"January 06, 2015",Outdoor (onsite) playspace,4.8
166 Essex Street,6.1,3.0,District School,3.0,"April 01, 2017",Indoor/Outdoor (onsite) playspace,5.2
1827 Archer Street,7.0,4.0,District School,2.0,"February 12, 2015",Outdoor (onsite) playspace,3.6
39-76 58th Street,6.6,4.0,NYCEEC,4.0,,Indoor/Outdoor (onsite) playspace,6.2
110 West 146th Street,4.6,2.0,NYCEEC,3.0,,Indoor/Outdoor (offsite) playspace,5.8
122 Henry Street,6.8,3.0,District School,3.0,"April 01, 2017",Outdoor (onsite) playspace,4.4
4305 Fort Hamilton Parkway,6.1,3.0,District School,1.0,"January 23, 2015",Please contact site for more information,4.8
13254 Pople Avenue,6.6,3.0,NYCEEC,3.0,,Outdoor (onsite) playspace,3.6
1695 Seward Avenue,5.7,1.0,District School,2.0,"October 01, 2016",Indoor/Outdoor (onsite) playspace,5.6
355 Morningstar Road,5.9,4.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,6.4
1855 STILLWELL AVENUE,6.1,1.0,District School,2.0,"February 26, 2015",,4.4
130 Rochester Avenue,5.7,2.0,District School,3.0,"January 28, 2016",Indoor/Outdoor (onsite) playspace,5.8
214 Stuyvesant Avenue,4.4,,NYCEEC,,,,
210 East 33rd Street,6.4,3.0,District School,3.0,"May 07, 2015",Outdoor (onsite) playspace,5.4
62-10 108th Street,,3.0,District School,3.0,"January 29, 2015",Indoor/Outdoor (onsite) playspace,4.8
64-35 102nd Street,6.7,2.0,District School,3.0,"January 14, 2015",Indoor/Outdoor (onsite) playspace,5.0
50-05 31st Avenue,6.6,2.0,District School,3.0,"October 01, 2016",Indoor/Outdoor (onsite) playspace,2.4
231-02 67th Avenue,6.8,3.0,District School,2.0,"March 17, 2015",Indoor/Outdoor (onsite) playspace,5.2
850 Kent Avenue,6.1,3.0,District School,3.0,"December 04, 2014",Indoor/Outdoor (onsite) playspace,6.8
799 Kent Avenue,,3.0,NYCEEC,3.0,,,4.8
419 Waverly Avenue,,3.0,District School,3.0,"November 24, 2014",Indoor/Outdoor (onsite) playspace,6.6
70-10 164th Street,6.1,2.0,District School,2.0,"November 24, 2015",Indoor/Outdoor (onsite) playspace,4.6
750 Concourse Village West,6.3,1.0,District School,1.0,"December 19, 2014",Indoor/Outdoor (onsite) playspace,3.6
183 South 3 Street,,,Charter School,,,,
427 38th Street,6.7,2.0,District School,3.0,"January 01, 2017",Indoor/Outdoor (onsite) playspace,4.8
