program_code,location_2,enrollment,meals,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available,nan with location_1,No with location_1,Yes with location_1
32KAJI,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",17.0,Breakfast/Lunch,1.0,3.0,Yes,,438 Grove Street,
25Q169,"{'human_address': '{""address"": """", ""city"": ""BAYSIDE"", ""state"": ""NY"", ""zip"": ""11360""}'}",35.0,Breakfast/Lunch,1.0,3.0,No,,18-25 212th Street,
31RAAN,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",17.0,Lunch/Snack(s),0.98,4.0,Yes,,,200 Boscombe Avenue
17KBLJ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",47.0,Breakfast/Lunch/Snack(s),0.89,3.0,No,,60 East 93rd Street,
22K203,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",84.0,Breakfast/Lunch,0.96,3.0,No,,5101 Avenue M,
02M130,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",36.0,Breakfast/Lunch,0.92,3.0,No,,143 Baxter Street,
31R003,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",36.0,Breakfast/Lunch,0.99,3.0,Yes,,,80 South Goff Avenue
15K032,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11231""}'}",33.0,Breakfast/Lunch/Snack(s),0.98,4.0,Yes,,,317 Hoyt Street
30Q222,"{'human_address': '{""address"": """", ""city"": ""JACKSON HEIGHTS"", ""state"": ""NY"", ""zip"": ""11372""}'}",40.0,Contact program directly for details,0.94,4.0,Yes,,,86-15 37th Avenue
25QAFY,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11358""}'}",72.0,Breakfast/Lunch,0.88,4.0,Yes,,,4550 195th Street
08X152,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10472""}'}",71.0,,,3.0,,1007 EVERGREEN AVENUE,,
02M212,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",36.0,Breakfast/Lunch/Snack(s),0.95,3.0,Yes,,328 West 48th Street,
24Q068,"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",50.0,Breakfast/Lunch,0.98,4.0,No,,59-09 Saint Felix Avenue,
12X463,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",22.0,Breakfast/Lunch,1.0,1.0,No,,,1180 Tinton Avenue
15KAWC,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",47.0,,0.95,3.0,,15 Hanover Place,,
30QAYI,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11377""}'}",13.0,,0.97,3.0,,4922 30 Avenue,,
31R011,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10304""}'}",26.0,Breakfast/Lunch/Snack(s),0.92,3.0,No,,50 Jefferson Street,
10XAMQ,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10463""}'}",70.0,Breakfast/Lunch/Snack(s),0.98,3.0,Yes,,,3880 Sedgwick Avenue
27Q316,"{'human_address': '{""address"": """", ""city"": ""OZONE PARK"", ""state"": ""NY"", ""zip"": ""11416""}'}",144.0,Breakfast/Lunch,1.0,3.0,No,,90-07 101st Avenue,
21KBWQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",28.0,Breakfast/Lunch/Snack(s),,3.0,No,,,2960 West 27th Street
20K180,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",25.0,Breakfast/Lunch,0.97,3.0,No,,5601 16th Avenue,
20K192,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",29.0,Breakfast/Lunch/Snack(s),,3.0,No,,4715 18th Avenue,
07X029,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",29.0,Breakfast/Lunch,0.98,4.0,No,,,758 Courtlandt Avenue
13K287,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",26.0,Breakfast/Lunch,0.99,3.0,No,,,50 Navy Street
20KBJO,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",27.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,1349/53 50th Street,
29Q134,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",20.0,Breakfast/Lunch,1.0,3.0,No,,203-02 109th Avenue,
27Q254,"{'human_address': '{""address"": """", ""city"": ""RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11418""}'}",34.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,84-40 101st Street,
01MBKU,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",21.0,Breakfast/Lunch/Snack(s),0.96,1.0,Yes,,,131 Broome Street
22KATR,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",,,,,,2953 Avenue X,,
18K272,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",49.0,Breakfast/Lunch,0.95,1.0,No,,101-24 Seaview Avenue,
28Q349,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11432""}'}",35.0,Contact program directly for details,0.92,4.0,No,,88-08 164th Street,
07XASK,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",,,,3.0,,170 Brown Place,,
16KBNN,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",,,,,,971 Dekalb Avenue,,
23K165,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",34.0,Breakfast/Lunch,0.93,4.0,No,,76 Lott Avenue,
05MBFX,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10039""}'}",20.0,Breakfast/Lunch/Snack(s),0.96,3.0,Yes,,,300 W 145th Street
17K770,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",34.0,Breakfast/Lunch,1.0,4.0,Yes,,60 East 94th Street,
07XANC,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",20.0,Lunch/Snack(s),0.97,3.0,No,,425 E 159th Street,
18KCLF,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",35.0,Breakfast/Lunch,,3.0,Yes,,,900 Lenox Road
23K327,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",25.0,Breakfast/Lunch,0.88,3.0,No,,111 Bristol Street,
23K156,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",35.0,Breakfast/Lunch,1.0,4.0,No,,104 Sutter Avenue,
30Q234,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",35.0,Breakfast/Lunch,0.89,4.0,No,,30-15 29th Street,
27Q155,"{'human_address': '{""address"": """", ""city"": ""SOUTH OZONE PARK"", ""state"": ""NY"", ""zip"": ""11420""}'}",54.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,130-02 115th Avenue,
13K305,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",8.0,Breakfast/Lunch,1.0,3.0,No,,344 Monroe Street,
05M175,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",26.0,Breakfast/Lunch/Snack(s),0.95,1.0,No,,175 West 134th Street,
14KBMG,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",,,,3.0,,299 North 7 Street,,
24Q305,"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",32.0,Breakfast/Lunch,0.95,4.0,No,,,378 Seneca Avenue
09X073,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10452""}'}",36.0,Breakfast/Lunch,0.96,3.0,No,,1020 Anderson Avenue,
27Q062,"{'human_address': '{""address"": """", ""city"": ""SOUTH RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11419""}'}",36.0,Breakfast/Lunch,0.9,4.0,No,,,97-25 108th Street
20KBPR,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",28.0,,0.89,4.0,,825 57 Street,,
24Q007,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11373""}'}",57.0,Breakfast/Lunch,0.94,4.0,No,,80-55 Cornish Avenue,
31R022,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10303""}'}",18.0,Breakfast/Lunch/Snack(s),,3.0,No,,1860 Forest Avenue,
15KBMQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11217""}'}",19.0,Contact program directly for details,0.82,3.0,Yes,,,55 Hanson Place
28Q101,"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",18.0,Breakfast/Lunch/Snack(s),1.0,3.0,Yes,,,2 Russell Place
17KBOF,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",39.0,Breakfast/Lunch/Snack(s),0.92,1.0,Yes,,671 Prospect Place,
15KBMN,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",26.0,Lunch/Snack(s),0.94,3.0,Yes,,,298 Sixth Avenue
22KADW,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",31.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,3867 Shore Parkway,
14K034,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",36.0,Breakfast/Lunch,0.91,3.0,No,,131 Norman Avenue,
06M210,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10031""}'}",18.0,Breakfast/Lunch,0.87,4.0,No,,501-503 West 152nd Street,
32KBRA,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",62.0,Breakfast/Lunch/Snack(s),0.97,1.0,Yes,,,600 Hart Street
17K191,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",18.0,Breakfast/Lunch,0.92,3.0,No,,,1600 Park Place
22KAMW,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11218""}'}",27.0,Contact program directly for details,,,No,,555 Ocean Parkway,
11XALA,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",20.0,Breakfast/Lunch/Snack(s),,3.0,No,,2547 East Tremont Avenue,
20KBPS,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",37.0,Breakfast/Lunch/Snack(s),0.92,3.0,Yes,,,1681 49th Street
31R036,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",86.0,Breakfast/Lunch,0.84,3.0,Yes,,,255 Ionia Avenue
13KBCV,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",53.0,Breakfast/Lunch/Snack(s),0.7,3.0,Yes,,,34 Kosciuszko Street
24Q199,"{'human_address': '{""address"": """", ""city"": ""SUNNYSIDE"", ""state"": ""NY"", ""zip"": ""11104""}'}",52.0,Contact program directly for details,0.99,4.0,No,,39-20 48th Avenue,
32KBSA,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",28.0,Breakfast/Lunch/Snack(s),1.0,3.0,Yes,,77 Wilson Avenue,
15K118,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",68.0,Breakfast/Lunch/Snack(s),1.0,3.0,Yes,,,211 8th Street
09X110,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",34.0,Breakfast/Lunch,1.0,2.0,No,,580 Crotona Park South,
22KBFD,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",99.0,Breakfast/Lunch/Snack(s),0.93,3.0,No,,2017 Beverley Road,
29Q360,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",14.0,Contact program directly for details,0.91,4.0,No,,199-10 112th Avenue,
18K208,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",36.0,Breakfast/Lunch,0.95,3.0,No,,,4801 Avenue D
24Q153,"{'human_address': '{""address"": """", ""city"": ""MASPETH"", ""state"": ""NY"", ""zip"": ""11378""}'}",18.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,60-02 60th Lane,
18K244,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",26.0,Breakfast/Lunch,0.92,4.0,No,,5404 Tilden Avenue,
05M197,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10037""}'}",20.0,Breakfast/Lunch/Snack(s),1.0,4.0,Yes,,,2230 5th Avenue
