program_code,location_2,enrollment,meals,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available,nan with location_1,No with location_1,Yes with location_1
26QASH,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11365""}'}",32.0,Breakfast/Lunch/Snack(s),0.88,3.0,Yes,,,64-41 Utopia Parkway
21KABN,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",25.0,Contact program directly for details,0.98,4.0,No,,5302 21st Avenue,
14KAZJ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",8.0,Contact program directly for details,,3.0,No,,725 Leonard Street,
30Q228,"{'human_address': '{""address"": """", ""city"": ""EAST ELMHURST"", ""state"": ""NY"", ""zip"": ""11369""}'}",33.0,Breakfast/Lunch,1.0,3.0,No,,32-63 93rd Street,
09X199,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10452""}'}",41.0,Lunch/Snack(s),1.0,3.0,No,,1449 Shakespeare Avenue,
25Q164,"{'human_address': '{""address"": """", ""city"": ""FLUSHING"", ""state"": ""NY"", ""zip"": ""11367""}'}",33.0,Breakfast/Lunch,0.99,4.0,Yes,,138-01 77th Avenue,
21KBQN,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11223""}'}",19.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,49 Avenue W,
31RAFQ,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10305""}'}",,,,,,360 Seaview Avenue,,
02M150,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",18.0,Breakfast/Lunch,0.95,3.0,No,,334 Greenwich Street,
24Q102,"{'human_address': '{""address"": """", ""city"": ""ELMHURST"", ""state"": ""NY"", ""zip"": ""11373""}'}",40.0,Breakfast/Lunch,0.91,4.0,No,,55-24 Van Horn Street,
15KBEP,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11232""}'}",72.0,Breakfast/Lunch/Snack(s),0.94,3.0,No,,713 43rd Street,
27Q253,"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",32.0,Breakfast/Lunch/Snack(s),0.89,1.0,No,,1307 Central Avenue,
31R008,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10308""}'}",18.0,Breakfast/Lunch,1.0,3.0,No,,112 Lindenwood Road,
20KAHX,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",144.0,Breakfast/Lunch/Snack(s),0.99,4.0,Yes,,,257 Bay Ridge Avenue
09XALW,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",48.0,Breakfast/Lunch/Snack(s),,3.0,No,,507 East 165th Street,
31R055,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",36.0,Contact program directly for details,1.0,3.0,No,,54 Osborne Street,
31RAFV,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",25.0,Lunch/Snack(s),0.73,3.0,Yes,,,144 Bloomingdale Road
12X067,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",44.0,Breakfast/Lunch,0.9,3.0,No,,2024 Mohegan Avenue,
26Q221,"{'human_address': '{""address"": """", ""city"": ""LITTLE NECK"", ""state"": ""NY"", ""zip"": ""11362""}'}",18.0,Breakfast/Lunch,,4.0,No,,57-40 Marathon Parkway,
26Q205,"{'human_address': '{""address"": """", ""city"": ""OAKLAND GARDENS"", ""state"": ""NY"", ""zip"": ""11364""}'}",36.0,Breakfast/Lunch,1.0,4.0,Yes,,75-25 Bell Boulevard,
25Q129,"{'human_address': '{""address"": """", ""city"": ""COLLEGE POINT"", ""state"": ""NY"", ""zip"": ""11356""}'}",54.0,,0.94,4.0,,128-02 7 Avenue,,
06M008,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10032""}'}",46.0,Breakfast/Lunch,1.0,3.0,No,,465 West 167th Street,
20KBPY,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11209""}'}",48.0,Lunch/Snack(s),1.0,4.0,Yes,,,8411 Fort Hamilton Parkway
18KARQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",24.0,,0.55,3.0,,5566 KINGS HIGHWAY,,
04M964,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",18.0,Breakfast/Lunch/Snack(s),0.97,1.0,No,,19 East 103rd Street,
18KAVQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",64.0,Breakfast/Lunch/Snack(s),0.99,3.0,Yes,,,9502 Seaview Avenue
13KBNK,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",19.0,Contact program directly for details,,3.0,No,,262 Lexington Avenue,
30QBDC,"{'human_address': '{""address"": """", ""city"": ""CORONA"", ""state"": ""NY"", ""zip"": ""11368""}'}",47.0,Breakfast/Lunch/Snack(s),0.9,3.0,No,,33-27 97th Street,
04MAGN,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",34.0,Breakfast/Lunch/Snack(s),0.86,4.0,Yes,,,314 East 110th Street
02M397,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",36.0,Breakfast/Lunch/Snack(s),0.88,3.0,No,,12 Spruce Street,
17KBOL,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",36.0,Lunch/Snack(s),1.0,4.0,Yes,,,160 Parkside Avenue
23K178,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",36.0,Contact program directly for details,1.0,4.0,No,,2163 Dean Street,
29Q037,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11434""}'}",44.0,Breakfast/Lunch/Snack(s),0.88,3.0,No,,179-37 137th Avenue,
02M126,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10038""}'}",42.0,Breakfast/Lunch,1.0,3.0,No,,80 Catherine Street,
07X001,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",36.0,Breakfast/Lunch/Snack(s),1.0,3.0,No,,335 East 152nd Street,
31R042,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",54.0,Breakfast/Lunch,1.0,4.0,No,,380 Genesee Avenue,
15KBMU,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",22.0,Breakfast/Lunch/Snack(s),1.0,3.0,Yes,,,199 14th Street
32K384,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",27.0,Breakfast/Lunch/Snack(s),1.0,3.0,No,,242 Cooper Street,
21K100,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",52.0,Breakfast/Lunch,0.96,3.0,No,,,2951 West 3rd Street
84K702,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",15.0,Breakfast/Lunch,1.0,3.0,No,,241 Emerson Place,
27Q273,"{'human_address': '{""address"": """", ""city"": ""RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11418""}'}",36.0,Breakfast/Lunch,0.96,4.0,No,,88-07 102nd Street,
15KBFQ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",19.0,Breakfast/Lunch/Snack(s),1.0,4.0,Yes,,,4917 Fourth Avenue
18K115,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",97.0,Breakfast/Lunch/Snack(s),0.96,1.0,No,,,1500 East 92nd Street
17K394,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",60.0,Breakfast/Lunch,0.8,3.0,No,,,188 Rochester Avenue
17K221,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",31.0,Breakfast/Lunch,1.0,3.0,No,,791 Empire Boulevard,
13K093,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",34.0,Breakfast/Lunch,0.94,3.0,No,,31 New York Avenue,
13KCQE,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",18.0,Breakfast/Lunch,0.98,3.0,No,,,69 Macdonough Street
29Q136,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",38.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,,201-15 115th Avenue
25Q209,"{'human_address': '{""address"": """", ""city"": ""WHITESTONE"", ""state"": ""NY"", ""zip"": ""11357""}'}",18.0,Breakfast/Lunch,0.95,4.0,No,,16-10 Utopia Parkway,
31R006,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10307""}'}",35.0,Breakfast/Lunch,,4.0,No,,555 Page Avenue,
31R009,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10304""}'}",36.0,Breakfast/Lunch,0.96,4.0,Yes,,1055 Targee Street,
08X069,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10473""}'}",54.0,Breakfast/Lunch,0.95,3.0,No,,560 Thieriot Avenue,
20KABC,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",71.0,Lunch/Snack(s),1.0,3.0,No,,6101 16th Avenue,
19K346,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11239""}'}",48.0,Breakfast/Lunch,0.96,4.0,Yes,,1400 Pennsylvania Avenue,
27Q362,"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",54.0,Breakfast/Lunch,1.0,3.0,No,,535 Briar Place,
18K268,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",32.0,Breakfast/Lunch,1.0,1.0,No,,,133 East 53rd Street
17KASG,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",29.0,Breakfast/Lunch/Snack(s),,3.0,Yes,,,1185 Park Place
32K274,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",27.0,Breakfast/Lunch,1.0,3.0,No,,,800 Bushwick Avenue
21KBAE,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",,,,,,133 27 Avenue,,
26Q018,"{'human_address': '{""address"": """", ""city"": ""QUEENS VILLAGE"", ""state"": ""NY"", ""zip"": ""11427""}'}",18.0,Breakfast/Lunch,1.0,3.0,No,,86-35 235th Court,
30QBHR,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11372""}'}",20.0,Breakfast/Lunch/Snack(s),0.87,3.0,No,,34-47 88th Street,
23K323,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",36.0,Breakfast/Lunch,1.0,3.0,No,,,210 Chester Street
15KBFN,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",26.0,Breakfast/Lunch/Snack(s),0.97,3.0,Yes,,,333 2nd Street
21KBQP,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",27.0,Contact program directly for details,,4.0,Yes,,,8885 26th Avenue
30Q078,"{'human_address': '{""address"": """", ""city"": ""LONG ISLAND CITY"", ""state"": ""NY"", ""zip"": ""11109""}'}",35.0,Breakfast/Lunch,0.73,4.0,No,,48-09 Center Boulevard,
20KBIZ,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",60.0,Breakfast/Lunch/Snack(s),1.0,4.0,No,,1363 50th Street,
30Q084,"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11105""}'}",40.0,Breakfast/Lunch,1.0,3.0,No,,22-45 41st Street,
17KAFB,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",14.0,Lunch/Snack(s),1.0,3.0,No,,721 Lincoln Place,
22KBQU,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11229""}'}",18.0,Breakfast/Lunch/Snack(s),1.0,4.0,Yes,,,1612 Quentin Road
32KBEB,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",74.0,Breakfast/Lunch/Snack(s),0.98,4.0,Yes,,1307 Greene Avenue,
