ela_test_takers,ell_arabic_2,hispanic_1,other_2
52,No Data,119,0.051587301587301584
s,No Data,7,s
19,No Data,49,s
s,No Data,13,s
No Data,No Data,28,s
9,No Data,18,s
21,No Data,45,s
No Data,No Data,42,s
s,No Data,7,s
115,No Data,296,s
7,No Data,8,s
No Data,No Data,8,s
102,No Data,248,0.016574585635359115
s,No Data,14,s
118,No Data,202,0.023323615160349854
No Data,No Data,23,s
51,No Data,125,s
36,No Data,98,s
s,No Data,11,s
86,No Data,169,0.026905829596412557
64,No Data,182,s
s,s,s,s
s,No Data,11,s
138,No Data,302,s
203,No Data,577,0.019169329073482427
6,s,28,s
124,No Data,250,0.01643192488262911
16,No Data,41,s
No Data,s,15,s
86,No Data,82,0.041884816753926704
48,0.06993006993006994,109,s
6,No Data,13,s
s,No Data,77,s
s,No Data,13,s
s,No Data,s,s
76,No Data,271,s
29,No Data,38,s
102,No Data,226,0.021929824561403508
86,No Data,13,s
18,No Data,458,s
93,No Data,258,s
12,s,43,s
No Data,No Data,s,s
19,No Data,33,s
6,No Data,27,s
No Data,No Data,25,s
58,No Data,74,0.037267080745341616
11,No Data,31,s
No Data,No Data,s,s
No Data,No Data,s,s
s,No Data,19,s
No Data,No Data,156,s
105,No Data,507,s
88,No Data,231,s
s,No Data,s,s
s,No Data,7,s
9,s,26,s
s,No Data,25,s
13,No Data,27,s
186,No Data,189,0.024675324675324677
118,No Data,202,0.023323615160349854
No Data,No Data,188,s
s,No Data,7,s
No Data,No Data,9,s
No Data,No Data,s,s
s,No Data,s,s
15,No Data,16,s
s,No Data,s,s
29,s,86,s
s,No Data,100,s
89,No Data,381,s
No Data,No Data,10,s
No Data,s,34,s
94,No Data,310,s
No Data,No Data,79,s
26,No Data,61,s
90,No Data,249,s
94,No Data,183,0.021538461538461538
s,s,s,s
122,No Data,304,0.03333333333333333
15,No Data,14,s
s,No Data,94,s
62,No Data,123,0.02967359050445104
s,No Data,9,s
s,No Data,s,s
142,No Data,283,0.010434782608695653
24,No Data,50,s
No Data,No Data,87,s
7,0.4375,12,s
s,s,9,s
103,No Data,310,0.01327433628318584
6,No Data,55,s
98,No Data,186,s
s,No Data,12,s
No Data,No Data,22,s
83,No Data,181,s
76,No Data,208,0.03614457831325301
86,No Data,220,0.02481389578163772
10,s,28,s
s,No Data,10,s
17,No Data,29,s
33,No Data,88,s
13,No Data,17,s
No Data,No Data,123,0.025974025974025976
90,No Data,310,s
7,No Data,36,s
No Data,No Data,126,s
No Data,s,s,s
s,No Data,6,s
53,No Data,156,0.031007751937984496
19,s,22,s
s,No Data,10,s
No Data,s,s,s
106,No Data,149,0.02857142857142857
9,No Data,33,s
12,No Data,62,s
9,No Data,21,s
s,s,7,s
22,s,65,s
97,No Data,134,0.05142857142857143
No Data,No Data,s,s
s,No Data,6,s
44,No Data,118,0.05263157894736842
10,No Data,22,s
s,No Data,213,s
65,No Data,108,0.04745762711864407
12,No Data,20,s
26,s,178,s
8,No Data,85,s
25,No Data,80,s
No Data,No Data,s,s
No Data,No Data,11,s
16,No Data,40,s
92,No Data,174,s
97,No Data,261,0.027227722772277228
127,No Data,406,s
12,No Data,24,s
22,No Data,41,s
s,No Data,16,s
87,No Data,85,s
No Data,No Data,92,s
41,No Data,194,s
9,No Data,9,s
8,No Data,27,s
437,No Data,946,0.013348164627363738
12,No Data,14,s
No Data,s,16,s
53,No Data,96,s
No Data,No Data,35,s
s,No Data,8,s
7,s,24,s
s,No Data,s,s
27,s,39,s
371,No Data,829,0.008202323991797676
s,s,9,s
s,No Data,13,s
69,No Data,150,s
22,No Data,35,s
No Data,No Data,355,s
17,No Data,28,s
31,No Data,84,s
18,No Data,503,s
30,No Data,56,s
421,No Data,901,0.00823529411764706
s,No Data,14,s
120,No Data,224,0.06118546845124283
s,s,s,s
64,No Data,90,s
9,No Data,12,s
6,s,13,s
s,s,52,s
84,No Data,166,s
13,No Data,44,s
13,s,31,s
15,s,28,s
No Data,No Data,7,s
112,No Data,330,0.021660649819494584
11,No Data,14,s
34,No Data,68,s
9,s,42,s
s,s,s,s
s,No Data,s,s
24,No Data,141,s
No Data,s,34,s
34,No Data,89,0.059602649006622516
No Data,No Data,19,s
No Data,s,15,s
No Data,No Data,s,s
9,No Data,68,s
9,No Data,19,s
75,No Data,24,s
57,No Data,205,s
77,No Data,194,s
No Data,No Data,13,s
14,No Data,18,s
No Data,No Data,s,s
69,No Data,199,0.04815864022662889
s,No Data,58,s
90,No Data,177,s
s,No Data,s,s
s,No Data,s,s
130,No Data,272,s
54,No Data,165,s
8,s,19,s
7,s,9,s
9,No Data,28,s
24,No Data,91,s
s,No Data,s,s
s,No Data,19,s
