math_level_4_2,ela_level_2_1,math_level_2_1,male_2,grade_9,ela_level_1_1,math_level_2_2,grade_12,black_2,asian_1
s,22,23,0.503968253968254,65,17,0.46,52,0.36904761904761907,12
s,s,s,0.5,11,s,s,s,0.6,s
s,9,7,0.8411214953271028,32,7,0.3684210526315789,21,0.18691588785046728,s
s,s,s,0.7142857142857143,6,s,s,s,0.3333333333333333,s
No Data,No Data,No Data,0.48,7,No Data,No Data,23,0.34,s
s,s,s,0.6666666666666666,11,7,s,s,0.24242424242424243,s
s,11,7,0.8313253012048193,24,9,0.3333333333333333,15,0.3373493975903614,s
No Data,No Data,No Data,0.4878048780487805,21,No Data,No Data,15,0.43902439024390244,s
s,s,s,s,s,s,s,s,s,s
s,54,31,0.4295774647887324,174,50,0.29245283018867924,62,0.284037558685446,s
s,s,s,0.5434782608695652,7,s,s,10,0.21739130434782608,27
No Data,No Data,No Data,0.5357142857142857,11,No Data,No Data,s,0.6785714285714286,s
s,50,37,0.26243093922651933,127,43,0.37373737373737376,74,0.24033149171270718,14
s,s,s,0.6333333333333333,11,s,s,s,0.4666666666666667,s
s,49,37,0.2886297376093295,123,47,0.37373737373737376,No Data,0.3673469387755102,s
No Data,No Data,No Data,0.5833333333333334,No Data,No Data,No Data,24,0.36666666666666664,13
s,29,20,0.48936170212765956,75,18,0.4166666666666667,54,0.33617021276595743,17
s,15,9,0.6113989637305699,43,17,0.2571428571428571,66,0.44041450777202074,s
s,s,s,0.4666666666666667,s,s,s,No Data,s,s
0.32786885245901637,s,9,0.40582959641255606,96,s,0.14754098360655737,119,0.13228699551569506,151
s,23,18,0.35737704918032787,107,37,0.2727272727272727,52,0.35737704918032787,s
s,s,s,s,s,s,s,No Data,s,s
s,s,s,0.40625,s,s,s,s,0.5,s
s,41,43,0.9036144578313253,157,90,0.2986111111111111,69,0.24096385542168675,s
0.08426966292134831,95,74,0.4078807241746539,305,19,0.4157303370786517,152,0.22044728434504793,66
s,s,s,0.625,11,s,s,s,s,s
s,64,47,0.45539906103286387,153,42,0.3790322580645161,78,0.3755868544600939,s
s,s,s,0.5636363636363636,26,13,s,s,0.21818181818181817,s
No Data,No Data,No Data,s,s,No Data,No Data,s,s,s
s,36,38,0.4712041884816754,97,20,0.4935064935064935,No Data,0.3193717277486911,19
s,9,12,0.5664335664335665,98,39,0.19672131147540983,6,0.13286713286713286,8
s,s,s,0.5641025641025641,s,s,s,s,0.23076923076923078,11
s,s,s,0.45977011494252873,22,s,s,17,0.06896551724137931,s
s,s,s,0.45,9,s,s,No Data,s,s
s,s,s,s,s,s,s,s,s,s
s,34,29,0.5294117647058824,110,36,0.35802469135802467,54,0.13003095975232198,s
s,12,8,0.7889908256880734,33,13,0.2857142857142857,17,0.24770642201834864,s
s,36,38,0.43201754385964913,120,25,0.4418604651162791,112,0.2324561403508772,33
0.16883116883116883,s,33,0.34408602150537637,93,s,0.42857142857142855,No Data,s,14
s,s,14,0.4759825327510917,95,17,0.358974358974359,95,s,s
s,38,28,0.4494047619047619,152,38,0.3076923076923077,37,0.2113095238095238,s
s,s,s,0.5681818181818182,23,10,s,6,s,s
No Data,No Data,No Data,s,s,No Data,No Data,No Data,s,s
s,8,6,0.8524590163934426,25,11,0.3333333333333333,s,0.4426229508196721,s
s,s,s,0.4888888888888889,10,s,s,9,0.24444444444444444,s
No Data,No Data,No Data,0.5681818181818182,No Data,No Data,No Data,18,0.2727272727272727,s
0.41379310344827586,s,8,0.5496894409937888,63,s,0.27586206896551724,98,0.11490683229813664,154
s,s,s,0.48214285714285715,19,6,s,s,0.4107142857142857,s
No Data,No Data,No Data,s,s,No Data,No Data,No Data,s,s
No Data,No Data,No Data,s,s,No Data,No Data,No Data,s,s
No Data,No Data,No Data,0.3333333333333333,21,No Data,No Data,63,0.4461538461538462,s
s,10,s,0.5757575757575758,44,12,s,29,0.32575757575757575,s
s,10,8,0.4897959183673469,19,s,0.5714285714285714,s,0.22448979591836735,s
s,s,s,0.725,20,6,s,s,0.425,s
s,s,s,0.3235294117647059,13,s,s,s,0.4411764705882353,s
s,s,s,s,s,s,s,s,s,8
s,s,s,0.36666666666666664,7,s,s,6,0.5,s
s,s,s,s,s,s,s,s,s,s
s,7,s,0.7142857142857143,13,s,s,7,0.32653061224489793,s
s,8,17,0.5380116959064327,92,39,0.288135593220339,80,0.15789473684210525,84
s,s,s,0.7435897435897436,13,s,s,8,s,s
s,s,s,0.5789473684210527,s,s,s,7,s,s
s,s,s,0.4444444444444444,7,s,s,No Data,s,s
No Data,No Data,No Data,0.41630901287553645,7,No Data,No Data,99,0.33476394849785407,s
s,29,14,0.4624505928853755,75,12,0.3888888888888889,53,0.14624505928853754,6
s,62,54,0.41041666666666665,159,44,0.432,82,0.21666666666666667,22
s,74,46,0.3082706766917293,199,30,0.4144144144144144,78,0.31203007518796994,38
s,42,30,0.610062893081761,132,64,0.2608695652173913,119,0.1111111111111111,s
s,s,s,s,s,s,s,No Data,s,s
s,53,44,0.4269911504424779,148,50,0.4074074074074074,86,0.28761061946902655,s
s,s,s,s,s,s,s,No Data,s,s
s,10,s,0.37719298245614036,50,12,s,13,0.32456140350877194,s
s,s,s,0.4605263157894737,21,s,s,8,0.3815789473684211,s
s,33,24,0.5718562874251497,134,51,0.27906976744186046,No Data,0.25748502994011974,23
No Data,No Data,No Data,0.6956521739130435,No Data,No Data,No Data,6,0.43478260869565216,s
s,s,s,0.5263157894736842,s,s,s,s,0.3157894736842105,s
s,47,27,0.3959537572254335,144,41,0.2967032967032967,53,0.28034682080924855,s
s,s,s,s,7,s,s,No Data,s,s
No Data,No Data,No Data,s,No Data,No Data,No Data,s,s,s
s,40,26,0.5392405063291139,161,45,0.2765957446808511,43,0.24556962025316456,s
s,53,38,0.5349593495934959,182,42,0.3333333333333333,121,0.16260162601626016,s
s,70,63,0.43636363636363634,179,40,0.5163934426229508,112,0.2606060606060606,24
s,s,s,0.6190476190476191,8,s,s,8,0.2857142857142857,s
0.32432432432432434,s,10,0.2929936305732484,73,s,0.2702702702702703,96,0.21656050955414013,34
