ell_chinese_1,ell_urdu_1,ell_chinese_2,ela_level_2_2,white_1,ell_spanish_2,black_1,ela_level_4_2,ela_l3_l4_1,math_level_1_1
No Data,No Data,No Data,0.4230769230769231,15,No Data,93,s,13,24
No Data,No Data,No Data,s,s,No Data,12,s,s,s
No Data,No Data,No Data,0.47368421052631576,28,No Data,20,s,s,10
No Data,No Data,No Data,s,s,No Data,7,s,s,s
No Data,No Data,No Data,No Data,s,No Data,17,No Data,No Data,No Data
No Data,No Data,No Data,s,s,No Data,8,s,s,7
No Data,No Data,No Data,0.5238095238095238,s,No Data,28,s,s,12
No Data,No Data,No Data,No Data,s,No Data,36,No Data,No Data,No Data
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,0.46956521739130436,6,No Data,121,s,11,70
No Data,No Data,No Data,s,s,No Data,10,s,s,s
No Data,No Data,No Data,No Data,s,No Data,19,No Data,No Data,No Data
No Data,No Data,No Data,0.49019607843137253,7,No Data,87,s,9,58
No Data,No Data,No Data,s,s,No Data,14,s,s,s
No Data,No Data,No Data,0.4152542372881356,s,No Data,126,s,22,51
No Data,No Data,No Data,No Data,s,No Data,22,No Data,No Data,No Data
No Data,No Data,No Data,0.5686274509803921,s,No Data,79,s,s,24
No Data,No Data,No Data,0.4166666666666667,s,No Data,85,s,s,25
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,s,55,No Data,59,0.18604651162790697,64,s
No Data,No Data,No Data,0.359375,s,No Data,109,s,s,45
s,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,s,s,No Data,16,s,s,s
No Data,No Data,No Data,0.2971014492753623,s,No Data,100,s,7,94
No Data,No Data,No Data,0.46798029556650245,71,No Data,207,0.07389162561576355,89,42
s,s,s,s,s,0.875,s,s,s,6
No Data,No Data,No Data,0.5161290322580645,s,No Data,160,s,18,69
No Data,No Data,No Data,s,s,No Data,12,s,s,15
s,s,s,No Data,s,1,s,No Data,No Data,No Data
No Data,No Data,No Data,0.4186046511627907,21,No Data,61,s,30,19
s,s,s,0.1875,s,0.7692307692307693,19,s,s,49
No Data,No Data,No Data,s,s,No Data,9,s,s,s
No Data,No Data,No Data,s,s,No Data,6,s,s,s
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,0.4473684210526316,s,No Data,42,s,6,46
No Data,No Data,No Data,0.41379310344827586,25,No Data,27,s,s,20
No Data,No Data,No Data,0.35294117647058826,81,No Data,106,0.0784313725490196,41,28
No Data,No Data,No Data,s,51,No Data,s,0.23255813953488372,61,s
No Data,No Data,No Data,s,s,No Data,s,s,s,23
No Data,No Data,No Data,0.40860215053763443,s,No Data,71,s,17,57
s,s,s,s,s,0.9772727272727273,s,s,s,10
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.42105263157894735,s,No Data,27,s,s,11
No Data,No Data,No Data,s,6,No Data,11,s,s,6
No Data,No Data,No Data,No Data,s,No Data,12,No Data,No Data,No Data
No Data,No Data,No Data,s,45,No Data,37,0.1896551724137931,38,s
No Data,No Data,No Data,s,s,No Data,23,s,s,10
