ell_bengali_1,ell_french_1,ell_korean_1,ela_l3_l4_2,ell_french_2,asian_2,school_name,total_enrollment,ell_haitian_creole,ell_bengali_2,math_l3_l4_1,ela_level_3_1,math_level_1_2,dbn,ell_arabic_1,math_l3_l4_2,other_1
No Data,No Data,No Data,0.25,No Data,0.047619047619047616,Essex Street Academy,252,No Data,No Data,s,s,0.48,02M294,No Data,s,13
No Data,No Data,No Data,s,No Data,s,Coalition School for Social Change,20,No Data,No Data,s,s,1,04M409,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Urban Assembly New York Harbor School,107,No Data,No Data,s,s,0.5263157894736842,02M551,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Academy for Software Engineering,21,No Data,No Data,s,s,0.25,02M546,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Harvey Milk High School,50,No Data,No Data,No Data,No Data,No Data,02M586,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Humanities Preparatory Academy,33,No Data,No Data,s,s,0.875,02M605,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Urban Assembly Gateway School for Technology,83,No Data,No Data,s,s,0.5714285714285714,02M507,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Bronx Arena High School,82,No Data,No Data,No Data,No Data,No Data,08X537,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,NYC iSchool,12,No Data,No Data,s,s,0.3333333333333333,02M376,No Data,s,s
No Data,No Data,No Data,0.09565217391304348,No Data,s,New Explorers High School,426,No Data,No Data,s,s,0.660377358490566,07X547,No Data,s,s
No Data,No Data,No Data,s,No Data,0.5869565217391305,University Neighborhood High School,46,No Data,No Data,s,s,s,01M448,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Frederick Douglass Academy II Secondary School,28,No Data,No Data,No Data,No Data,No Data,03M860,No Data,No Data,s
No Data,No Data,No Data,0.08823529411764706,No Data,0.03867403314917127,High School of Hospitality Management,362,No Data,No Data,s,s,0.5858585858585859,02M296,No Data,s,6
No Data,No Data,No Data,s,No Data,s,Academy for Social Action: A College Board School,30,No Data,No Data,s,s,1,05M367,No Data,s,s
No Data,No Data,No Data,0.1864406779661017,No Data,s,"H.E.R.O. High (Health, Education, and Research Occ",343,No Data,No Data,11,s,0.5151515151515151,07X259,No Data,0.1111111111111111,8
No Data,No Data,No Data,No Data,No Data,0.21666666666666667,Manhattan Comprehensive Night and Day High School,60,No Data,No Data,No Data,No Data,No Data,02M575,No Data,No Data,s
No Data,No Data,No Data,s,No Data,0.07234042553191489,Murray Hill Academy,235,No Data,No Data,s,s,0.5,02M432,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Holcombe L. Rucker School of Community Research,193,No Data,No Data,s,s,0.7142857142857143,08X332,No Data,s,s
No Data,No Data,No Data,s,No Data,s,University Heights Secondary School,15,No Data,No Data,s,s,0,07X495,No Data,s,s
No Data,No Data,No Data,0.7441860465116279,No Data,0.33856502242152464,N.Y.C. Museum School,446,No Data,No Data,50,48,s,02M414,No Data,0.819672131147541,12
No Data,No Data,No Data,s,No Data,s,School for Tourism and Hospitality,305,No Data,No Data,s,s,0.6818181818181818,08X559,No Data,s,s
s,s,s,s,s,s,Fordham High School for the Arts,s,s,s,s,s,0,10X437,s,s,s
No Data,No Data,No Data,s,No Data,s,Life Sciences Secondary School,32,No Data,No Data,s,s,1,02M655,No Data,s,s
No Data,No Data,No Data,0.050724637681159424,No Data,s,Alfred E. Smith Career and Technical Education Hig,415,No Data,No Data,7,s,0.6527777777777778,07X600,No Data,0.04861111111111111,s
No Data,No Data,No Data,0.43842364532019706,No Data,0.07028753993610223,Art and Design High School,939,No Data,No Data,62,74,0.23595505617977527,02M630,No Data,0.34831460674157305,18
s,s,s,s,s,s,Bronx Guild,32,s,s,s,s,0.8571428571428571,08X452,s,s,s
No Data,No Data,No Data,0.14516129032258066,No Data,s,"High School for Arts, Imagination and Inquiry",426,No Data,No Data,8,s,0.5564516129032258,03M299,No Data,0.06451612903225806,7
No Data,No Data,No Data,s,No Data,s,Antonia Pantoja Preparatory Academy: A College Boa,55,No Data,No Data,s,s,0.9375,08X376,No Data,s,s
s,s,s,No Data,s,s,Forsyth Satellite Academy,15,s,s,No Data,No Data,No Data,01M458,s,No Data,s
No Data,No Data,No Data,0.3488372093023256,No Data,0.09947643979057591,Manhattan Early College School for Advertising,191,No Data,No Data,20,s,0.24675324675324675,02M280,No Data,0.2597402597402597,8
s,7,s,s,0.04895104895104895,0.055944055944055944,A. Philip Randolph Campus High School,143,s,s,s,s,0.8032786885245902,06M540,10,s,s
No Data,No Data,No Data,s,No Data,0.28205128205128205,Manhattan Center for Science and Mathematics,39,No Data,No Data,s,s,s,04M435,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School for Media and Communications,87,No Data,No Data,s,s,1,06M463,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Central Park East High School,20,No Data,No Data,s,s,0.25,04M555,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Manhattan International High School,11,No Data,No Data,s,s,0.6666666666666666,02M459,No Data,s,s
No Data,No Data,No Data,0.07894736842105263,No Data,s,Esperanza Preparatory Academy,323,No Data,No Data,6,s,0.5679012345679012,04M372,No Data,0.07407407407407407,s
No Data,No Data,No Data,s,No Data,s,Quest to Learn,109,No Data,No Data,s,s,0.7142857142857143,02M422,No Data,s,s
No Data,No Data,No Data,0.4019607843137255,No Data,0.07236842105263158,Harvest Collegiate High School,456,No Data,No Data,20,33,0.32558139534883723,02M534,No Data,0.23255813953488372,10
No Data,No Data,No Data,0.7093023255813954,No Data,0.15053763440860216,M.S. 260 Clinton School Writers & Artists,93,No Data,No Data,39,41,s,02M260,No Data,0.5064935064935064,s
No Data,No Data,No Data,s,No Data,s,Gregorio Luperon High School for Science and Mathe,458,No Data,No Data,s,s,0.5897435897435898,06M552,No Data,s,s
No Data,No Data,No Data,0.1827956989247312,No Data,s,Bronx Studio School for Writers and Artists,336,No Data,No Data,6,s,0.6263736263736264,08X269,No Data,0.06593406593406594,s
s,s,s,s,s,s,New Explorers High School,44,s,s,s,s,0.9090909090909091,07X547,s,s,s
No Data,No Data,No Data,No Data,No Data,s,M.S. 223 The Laboratory School of Finance and Tech,s,No Data,No Data,No Data,No Data,No Data,07X223,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Urban Assembly School for Careers in Sports,61,No Data,No Data,s,s,0.6111111111111112,07X548,No Data,s,s
No Data,No Data,No Data,s,No Data,s,47 The American Sign Language and English Secondar,45,No Data,No Data,s,s,1,02M047,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Manhattan Comprehensive Night and Day High School,44,No Data,No Data,No Data,No Data,No Data,02M575,No Data,No Data,s
No Data,No Data,No Data,0.6551724137931034,No Data,0.4782608695652174,"New Explorations into Science, Technology and Math",322,No Data,No Data,17,27,s,01M539,No Data,0.5862068965517241,12
No Data,No Data,No Data,s,No Data,s,Mott Hall High School,56,No Data,No Data,s,s,0.7692307692307693,05M304,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Lower Manhattan Arts Academy,s,No Data,No Data,No Data,No Data,No Data,02M308,No Data,No Data,s
No Data,No Data,No Data,No Data,No Data,s,Chelsea Career and Technical Education High School,s,No Data,No Data,No Data,No Data,No Data,02M615,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,"Heritage School, The",47,No Data,No Data,s,s,0.42857142857142855,04M680,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Harlem Renaissance High School,20,No Data,No Data,No Data,No Data,No Data,05M285,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Banana Kelly High School,79,No Data,No Data,s,s,1,08X530,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Manhattan Village Academy,11,No Data,No Data,s,s,1,02M439,No Data,s,s
No Data,No Data,No Data,0.5409836065573771,No Data,s,Talent Unlimited High School,268,No Data,No Data,17,27,0.22,02M519,No Data,0.34,s
No Data,No Data,No Data,0.0875,No Data,s,Community Health Academy of the Heights,372,No Data,No Data,s,s,0.525,06M346,No Data,s,s
16,s,s,s,s,0.06048387096774194,Bronx Bridges High School,248,s,0.06451612903225806,s,s,0.6052631578947368,08X432,8,s,s
8,59,s,s,0.17352941176470588,s,Liberty High School Academy for Newcomers,340,s,0.023529411764705882,s,s,1,02M550,51,s,s
No Data,No Data,No Data,s,No Data,s,Beacon High School,26,No Data,No Data,s,s,0,03M479,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Cascades High School,149,No Data,No Data,No Data,No Data,No Data,01M650,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Foreign Language Academy of Global Studies,17,No Data,No Data,s,s,1,07X520,No Data,s,s
No Data,No Data,No Data,0.13559322033898305,No Data,0.021148036253776436,Wadleigh Secondary School for the Performing & Vis,331,No Data,No Data,s,s,0.5892857142857143,03M415,No Data,s,s
No Data,No Data,No Data,0.35714285714285715,No Data,0.023696682464454975,Urban Assembly New York Harbor School,422,No Data,No Data,10,s,0.32857142857142857,02M551,No Data,0.14285714285714285,20
No Data,No Data,No Data,0.10434782608695652,No Data,s,Renaissance High School for Musical Theater & Tech,452,No Data,No Data,s,s,0.5555555555555556,08X293,No Data,s,s
No Data,No Data,No Data,0.9149277688603531,No Data,0.19093254699594545,Fiorello H. LaGuardia High School of Music & Art a,2713,No Data,No Data,263,324,s,03M485,No Data,0.8193146417445483,158
No Data,No Data,No Data,s,No Data,s,"H.E.R.O. High (Health, Education, and Research Occ",46,No Data,No Data,s,s,0.6875,07X259,No Data,s,s
No Data,No Data,No Data,s,No Data,0.21212121212121213,Herbert H. Lehman High School,66,No Data,No Data,s,s,0.5,08X405,No Data,s,s
s,s,s,s,s,s,Health Opportunities High School,50,s,s,s,s,0.7619047619047619,07X670,s,s,s
No Data,No Data,No Data,s,No Data,s,NYC iSchool,67,No Data,No Data,s,s,0.5,02M376,No Data,s,s
No Data,No Data,No Data,0.11702127659574468,No Data,0.03355704697986577,Bronx River High School,298,No Data,No Data,s,s,0.550561797752809,08X349,No Data,s,10
