grade_11,ell_russian_2,ell_other_1,grade_10,ell_russian_1,ela_level_3_2,category,math_test_takers,white_2
58,No Data,No Data,77,No Data,s,Poverty,50,0.05952380952380952
s,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
24,No Data,No Data,30,No Data,s,Students with Disabilities,19,0.2616822429906542
s,No Data,No Data,7,No Data,s,Reside in temporary housing,s,s
12,No Data,No Data,8,No Data,No Data,Poverty,No Data,s
s,No Data,No Data,11,No Data,s,Students with Disabilities,8,s
22,No Data,No Data,22,No Data,s,Students with Disabilities,21,s
22,No Data,No Data,24,No Data,No Data,Enrolled over the Counter,No Data,s
s,No Data,No Data,s,No Data,s,Reside in temporary housing,s,s
68,No Data,No Data,122,No Data,s,All Students,106,0.014084507042253521
12,No Data,No Data,17,No Data,s,Reside in temporary housing,6,s
s,No Data,No Data,12,No Data,No Data,Enrolled over the Counter,No Data,s
69,No Data,No Data,92,No Data,s,Poverty,99,0.019337016574585635
s,No Data,No Data,8,No Data,s,Reside in temporary housing,s,s
108,No Data,No Data,112,No Data,s,All Students,99,s
20,No Data,No Data,16,No Data,No Data,Reside in temporary housing,No Data,s
41,No Data,No Data,65,No Data,s,Poverty,48,s
30,No Data,No Data,54,No Data,s,All Students,35,s
s,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
118,No Data,No Data,113,No Data,0.5581395348837209,All Students,61,0.12331838565022421
63,No Data,No Data,83,No Data,s,All Students,66,s
s,s,s,s,s,s,English Language Learners,s,s
13,No Data,No Data,9,No Data,s,Enrolled over the Counter,s,s
71,No Data,No Data,118,No Data,s,All Students,144,s
197,No Data,No Data,285,No Data,0.3645320197044335,Poverty,178,0.07561235356762513
s,s,s,11,s,s,English Language Learners,7,s
90,No Data,No Data,105,No Data,s,All Students,124,s
s,No Data,No Data,21,No Data,s,Students with Disabilities,16,s
s,s,s,6,s,No Data,English Language Learners,No Data,s
No Data,No Data,No Data,94,No Data,s,All Students,77,0.1099476439790576
9,s,15,30,s,s,English Language Learners,61,s
15,No Data,No Data,12,No Data,s,Enrolled over the Counter,6,s
