system_code,beds,highschool_network_location,location_type_description,principal_phone_number,managed_by_name,state_code,census_tract,x_coordinate
79K612,307900013612,,Alternative,212-889-7567,DOE,NY,7400,988468
84K538,333200860906,,General Academic,718-453-0425,Charter,NY,43100,1006686
15K447,331500010447,,General Academic,718-330-9328,DOE,NY,3900,989723
84K744,332100860949,,General Academic,718-513-6951,Charter,NY,35400,992025
03M415,310300011415,HS07,General Academic,212-749-5800,DOE,NY,21800,996943
17K399,331700010399,,General Academic,718-693-3023,DOE,NY,82400,997663
13K595,331300011595,HS05,General Academic,718-398-3061,DOE,NY,24300,997093
16K498,331600011498,HS05,General Academic,718-919-1256,DOE,NY,37500,1006269
01M370,310100010370,,General Academic,212-673-9488,DOE,NY,3400,988991
01M134,310100010134,,General Academic,212-673-4470,DOE,NY,202,988726
84M204,310400861081,,General Academic,212-328-9370,Charter,NY,16800,997716
01M188,310100010188,,General Academic,212-677-5710,DOE,NY,2000,990520
02M412,310200010412,HS04,General Academic,212-691-6119,DOE,NY,8300,983634
06M132,310600010132,,General Academic,212-927-7857,DOE,NY,27100,1002519
84K766,331300861079,,General Academic,,Charter,NY,1100,987892
17K705,331700010705,,General Academic,718-230-0851,DOE,NY,30500,995319
15K131,331500010131,,General Academic,718-431-1960,DOE,NY,22400,986124
84M065,310500861001,,General Academic,212-316-7602,Charter,NY,22400,998395
19K659,331900011659,HS05,General Academic,718-647-1672,DOE,NY,118000,1020493
84K359,331900860891,,General Academic,718-927-5540,Charter,NY,110400,1015961
02M217,310200010217,,General Academic,212-980-0294,DOE,NY,23801,996320
19K618,331900011618,HS07,Career Technical,718-827-2469,DOE,NY,118000,1020493
04M101,310400010101,,General Academic,212-860-5890,DOE,NY,17200,999604
04M037,310400010037,,General Academic,212-802-3035,DOE,NY,19400,1002595
23K747,332300010747,,General Academic,,DOE,NY,90800,1010320
15K136,331500010136,,General Academic,718-840-1950,DOE,NY,8200,982142
06M018,310600010018,,General Academic,917-521-2220,DOE,NY,29900,1008662
03M149,310300010149,,General Academic,646-672-9020,DOE,NY,19000,998622
13K499,331300011499,HS05,General Academic,718-789-2258,DOE,NY,30500,994891
84M335,310400860849,,General Academic,646-812-9400,Charter,NY,19400,1002595
22K139,332200010139,,General Academic,718-282-5254,DOE,NY,152200,993724
22K152,332200010152,,General Academic,718-434-5222,DOE,NY,77200,996943
75M169,307500011169,,Special Education,212-348-6140,DOE,NY,14802,996548
17K061,331700010061,,General Academic,718-774-1002,DOE,NY,32900,998344
03M333,310300010333,,General Academic,212-222-1450,DOE,NY,17700,992277
18K415,331800011415,HS10,General Academic,718-629-4523,DOE,NY,93600,1005836
18K219,331800010219,,General Academic,929-397-9566,DOE,NY,88600,1005809
13K527,331300011527,HS03,General Academic,718-260-2300,DOE,NY,1100,987488
32K556,333200011556,HS05,General Academic,718-919-4212,DOE,NY,39300,1004396
14K050,331400010050,,General Academic,718-387-4184,DOE,NY,52300,995301
84K883,331600861095,,General Academic,,Charter,NY,28100,1000681
05M302,310500010302,,General Academic,212-694-6040,DOE,NY,22102,998878
20K205,332000010205,,General Academic,718-236-2380,DOE,NY,25600,987917
13K509,331300011509,HS01,General Academic,718-694-8357,DOE,NY,1300,987987
84K711,332300860942,,General Academic,718-669-7461,Charter,NY,92200,1010148
20K682,332000010682,,General Academic,718-621-2730,DOE,NY,42800,987949
23K446,332300010446,,General Academic,718-485-1679,DOE,NY,89600,1008247
22K251,332200010251,,General Academic,718-251-4110,DOE,NY,72200,1005374
03M404,310300011404,HS10,Transfer School,212-724-2039,DOE,NY,16900,991316
32K151,333200010151,,General Academic,718-326-6360,DOE,NY,43700,1009695
03M256,310300010256,,General Academic,212-222-2857,DOE,NY,17700,992277
19K502,331900011502,HS05,General Academic,718-688-7930,DOE,NY,115600,1013345
84K358,331900860880,,General Academic,718-485-4924,Charter,NY,112600,1013844
13K351,331300010351,,General Academic,718-399-1061,DOE,NY,23100,995195
05M046,310500010046,,General Academic,212-360-1519,DOE,NY,24302,1001883
05M157,310500011157,HS03,Career Technical,212-831-5201,DOE,NY,20600,1001216
18K232,331800010232,,General Academic,718-773-2662,DOE,NY,88000,1003928
20K971,332000010971,,General Academic,718-765-2200,DOE,NY,7200,978604
22K890,332200010890,,General Academic,929-397-9200,DOE,NY,49200,992295
04M057,310400010057,,General Academic,212-876-5522,DOE,NY,18200,1000420
23K275,332300010275,,General Academic,718-495-7833,DOE,NY,92200,1009986
19K218,331900010218,,General Academic,718-647-9050,DOE,NY,111800,1019054
02M347,310200010347,,General Academic,917-326-6609,DOE,NY,6400,989424
16K267,331600010267,,General Academic,718-574-2318,DOE,NY,29300,1003090
05M036,310500010036,,General Academic,212-690-5807,DOE,NY,19701,996040
03M245,310300010245,,General Academic,917-441-0873,DOE,NY,16100,990453
17K587,331700010587,,General Academic,718-773-3343,DOE,NY,87600,1001919
14K016,331400010016,,General Academic,718-782-5352,DOE,NY,53500,994772
84K689,331400861036,,General Academic,718-384-1386,Charter,NY,49900,998683
84K886,331700861094,,General Academic,,Charter,NY,79400,996043
75K721,307500013721,,Special Education,718-996-8199,DOE,NY,30800,989270
01M315,310100010315,,General Academic,212-982-0682,DOE,NY,2800,990277
02M296,310200011296,HS04,General Academic,212-586-0963,DOE,NY,13500,986272
14K031,331400010031,,General Academic,718-383-8998,DOE,NY,56100,996961
32K383,333200010383,,General Academic,718-574-0390,DOE,NY,43100,1006686
04M146,310400010146,,General Academic,212-860-5877,DOE,NY,16200,1001217
16K681,331600010681,,General Academic,718-574-2804,DOE,NY,29100,1003152
13K011,331300010011,,General Academic,718-638-2661,DOE,NY,19900,993710
75K141,307500013141,,Special Education,718-941-0320,DOE,NY,80200,997686
