dc_id,legalname,bin,permitnumber,avgcriticalviolationrate,maximumcapacity,childcaretype,violationstatus,criticalviolationrate,permitexp
DC35229,"NEW YORK CHILD RESOURCE CENTER, INC.",2000540,103992.0,18.9541,103,Child Care - Pre School,,25.0,2023-04-10T00:00:00.000
DC20809,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,3135866,8262.0,15.3835,16,Child Care - Infants/Toddlers,,0.0,2023-01-24T00:00:00.000
DC20047,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,3084621,8059.0,18.9541,156,Child Care - Pre School,,25.0,2023-08-17T00:00:00.000
DC36606,NYC Early Learning Company Inc,3081140,104745.0,18.9541,110,Child Care - Pre School,CORRECTED,20.0,2023-03-18T00:00:00.000
DC2749,IRAS BRIARWOOD DAY CARE AND PRESCHOOL INC.,4143650,6711.0,18.9541,61,Child Care - Pre School,CORRECTED,0.0,2024-10-14T00:00:00.000
DC37564,Gan Yisroel of Crown Heights,3107217,104917.0,21.8553,0,Camp,CORRECTED,25.0,2022-09-15T00:00:00.000
DC38537,"SY SEIT, LLC",4119270,105158.0,18.9541,39,Child Care - Pre School,CORRECTED,50.0,2024-05-01T00:00:00.000
DC329,HAWTHORNE CORNERS DAY CARE CENTER INC.,3115676,4235.0,18.9541,55,Child Care - Pre School,CORRECTED,50.0,2024-04-03T00:00:00.000
DC10993,CREATIVE DISCOVERY PRE-SCHOOL INC,4051191,7293.0,18.9541,64,Child Care - Pre School,OPEN,50.0,2024-10-01T00:00:00.000
DC10483,OUR LITTLE ANGELS CORP,4175963,7358.0,18.9541,37,Child Care - Pre School,,33.3333,2025-03-17T00:00:00.000
DC32157,PERRY KIDS INC.,1012047,73361.0,18.9541,29,Child Care - Pre School,CORRECTED,75.0,2022-09-15T00:00:00.000
DC22784,"PNW ENTERPRISES, LLC",3019195,92258.0,18.9541,103,Child Care - Pre School,,16.6667,2023-07-07T00:00:00.000
DC37765,"OUR CHILDREN FIRST, INC",2059823,104771.0,18.9541,30,Child Care - Pre School,CORRECTED,60.0,2023-03-29T00:00:00.000
DC40058,ASIAN-AMERICAN COALITION FOR EDUCATION (ACE),4147804,105457.0,18.9541,39,Child Care - Pre School,CORRECTED,60.0,2023-07-29T00:00:00.000
DC38871,BRIGHT HORIZONS CHILDREN'S CENTER LLC,1090264,105144.0,18.9541,54,Child Care - Pre School,CORRECTED,14.2857,2024-02-18T00:00:00.000
DC33272,THE ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,4000000,,35.2291,0,School Based Child Care,CORRECTED,66.6667,2115-01-23T00:00:00.000
DC36360,BRONX STARBRIGHT INC.,2088565,105586.0,15.3835,18,Child Care - Infants/Toddlers,,50.0,2024-01-21T00:00:00.000
DC41829,BSDC INC,4461930,105851.0,15.3835,15,Child Care - Infants/Toddlers,CORRECTED,0.0,2024-10-03T00:00:00.000
DC2161,THE HUDSON GUILD,1083583,6089.0,18.9541,144,Child Care - Pre School,,0.0,2022-06-23T00:00:00.000
DC228,"URBAN CONCEPTS OF NEW YORK,ROUND THE CLOCK NURSERY, INC.",2011053,6804.0,,140,Child Care - Pre School,CORRECTED,,2022-10-20T00:00:00.000
DC20062,"3467 READY, SET, LEARN, L L C",2098317,8178.0,,167,Child Care - Pre School,,,2024-08-11T00:00:00.000
DC22029,SUNSHINE DAY CARE OF MOTT HAVEN,2098220,9518.0,15.3835,44,Child Care - Infants/Toddlers,,0.0,2023-12-06T00:00:00.000
