location_1,domestic_violence,none_of_the_above,aging,foundation,homelessness,bbl,:@computed_region_sbqj_enih,victim_services,outsideloc
,N,N,N,N,N,,,N,N
"{'latitude': '40.757429', 'longitude': '-73.860938'}",N,N,Y,N,N,4017220012.0,73.0,N,N
{''',N,N,Y,N,N,1021720064.0,22.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.748957', 'longitude': '-73.989797'}",N,N,N,N,N,1008077501.0,8.0,N,
"{'latitude': '40.651066', 'longitude': '-73.944555'}",N,N,N,N,N,3048890004.0,40.0,N,N
"{'latitude': '40.617337', 'longitude': '-73.936994'}",N,N,N,N,N,3077000003.0,38.0,N,
"{'latitude': '40.716696', 'longitude': '-74.004163'}",N,N,N,N,N,1001700006.0,2.0,N,N
,N,N,N,N,Y,,,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.734716', 'longitude': '-73.810635'}",N,N,N,N,N,4067920030.0,65.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.756087', 'longitude': '-73.981072'}",N,N,Y,N,N,1012610015.0,10.0,Y,N
"{'latitude': '40.690209', 'longitude': '-73.92901'}",N,N,N,N,N,3016220060.0,52.0,N,
"{'latitude': '40.824757', 'longitude': '-73.952439'}",N,N,N,N,N,1020880106.0,19.0,N,N
"{'latitude': '40.747582', 'longitude': '-73.990324'}",N,N,N,N,N,1008060026.0,8.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.65927', 'longitude': '-73.999268'}",N,N,N,N,N,3006610005.0,45.0,N,N
"{'latitude': '40.713909', 'longitude': '-73.832351'}",N,N,N,N,N,4033477501.0,70.0,N,
"{'latitude': '40.748426', 'longitude': '-73.867955'}",N,N,N,N,N,4016060157.0,68.0,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.745293', 'longitude': '-73.905216'}",N,N,N,N,N,4013310054.0,66.0,N,
"{'latitude': '40.817722', 'longitude': '-73.917956'}",N,N,N,N,N,2023970017.0,23.0,N,N
"{'latitude': '40.740246', 'longitude': '-73.992324'}",N,N,N,N,N,1008217501.0,7.0,N,
"{'latitude': '40.747629', 'longitude': '-73.99306'}",N,N,N,N,N,1008040001.0,7.0,N,
"{'latitude': '40.747541', 'longitude': '-73.986426'}",N,N,N,N,N,1008330054.0,8.0,N,N
"{'latitude': '40.848615', 'longitude': '-73.937447'}",N,N,N,N,N,1021760017.0,21.0,N,
"{'latitude': '40.7203', 'longitude': '-73.995083'}",N,N,Y,N,N,1004787501.0,2.0,N,N
"{'latitude': '40.74726', 'longitude': '-73.983316'}",N,N,N,N,N,1008630027.0,8.0,N,
"{'latitude': '40.603907', 'longitude': '-73.752262'}",N,N,N,N,N,4155590012.0,59.0,N,N
"{'latitude': '40.716696', 'longitude': '-74.004163'}",N,N,N,N,N,1001700006.0,2.0,N,N
"{'latitude': '40.859993', 'longitude': '-73.929129'}",N,N,Y,N,N,1021720064.0,22.0,N,N
"{'latitude': '40.840421', 'longitude': '-73.918293'}",N,N,N,N,N,2028560029.0,27.0,N,N
"{'latitude': '40.866001', 'longitude': '-73.924777'}",N,N,N,N,N,1022340001.0,22.0,N,N
"{'latitude': '40.737826', 'longitude': '-73.978717'}",N,N,Y,N,N,1009290038.0,7.0,N,N
