organizationname,location_1,census_tract,:@computed_region_92fq_4b7q,bin,queens,community_service_volunteerism,fax,business,nta,:@computed_region_f5dn_yrer,is_registered_with_the_attorney_general_s_office,:@computed_region_yeji_bk3q
"Gamma Phi Delta Sorority, Inc. - Beta Lambda Chapter",,,,,Y,Y,,Y,,,N,
Social Securty Administration,"{'latitude': '40.716015', 'longitude': '-74.004744'}",31.0,32.0,1001674.0,Y,N,,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,56.0,N,4.0
Institute for Labor and the Community,"{'latitude': '40.728694', 'longitude': '-73.980372'}",34.0,50.0,1000000.0,N,N,,N,East Village                                                               ,70.0,N,4.0
South Brooklyn Business Outreach Center (BOC Network),"{'latitude': '40.619583', 'longitude': '-73.964202'}",454.0,18.0,3171987.0,N,N,7188582119.0,N,Ocean Parkway South                                                        ,2.0,N,2.0
Service Fund of NOW-NY,"{'latitude': '40.746638', 'longitude': '-73.991963'}",95.0,10.0,1015095.0,N,N,,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Dress for Success,"{'latitude': '40.688153', 'longitude': '-73.776378'}",282.0,6.0,4267626.0,Y,N,,N,St. Albans                                                                 ,41.0,N,3.0
Chinese American Parents Association,"{'latitude': '40.759115', 'longitude': '-73.834165'}",871.0,3.0,4112272.0,Y,N,,N,Flushing                                                                   ,22.0,N,3.0
Amethyst Houze,"{'latitude': '40.640688', 'longitude': '-73.938903'}",834.0,26.0,3112625.0,N,N,7188561103.0,N,East Flatbush-Farragut                                                     ,61.0,N,2.0
International Women's Health Coalition,"{'latitude': '40.747629', 'longitude': '-73.99306'}",95.0,10.0,1015097.0,N,N,2129799009.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
"CAMBA, Inc.","{'latitude': '40.649339', 'longitude': '-73.963307'}",512.0,11.0,3341487.0,N,N,7182870857.0,Y,Flatbush                                                                   ,60.0,N,2.0
Services Now for Adult Persons,,,,,Y,N,,N,,,N,
Spence-Chapin Services to Families and Children,"{'latitude': '40.780488', 'longitude': '-73.946119'}",152.0,1.0,1081307.0,N,N,2123698589.0,N,Yorkville                                                                  ,23.0,N,4.0
Harlem Children's Zone,,,,,N,N,,N,,,N,
Lutheran Family Health Centers,,,,,N,N,7186307295.0,N,,,N,
