address1,health,nourl,new_york_city_agency,staten_island,arts_culture,borough,legal_services,url,postcode,community_board,housing
223 E 30th Street,N,N,N,Y,N,MANHATTAN,N,http://www.bigsnyc.org,10016.0,6.0,N
301B W. 130th Street,N,N,N,N,N,MANHATTAN,N,http://www.roudntheclocknursery.org,10027.0,10.0,N
37-06 111 Street,N,N,N,N,N,QUEENS   ,N,http://www.kcsny.org,11368.0,3.0,N
,N,N,N,Y,Y,,N,http://www.jaany.org,10036.0,,N
"129-133 West 147 St., #18I",N,N,N,N,N,MANHATTAN,N,,10039.0,10.0,N
112 West 27th Street,N,,N,N,N,,N,,,,N
"1301 5th Avenue, New York City, NY 10029",N,N,N,N,N,MANHATTAN,N,http://www.northsidecenter.org,10029.0,11.0,N
15 penn plaza,N,N,N,Y,N,MANHATTAN,N,http://www.bottomlessclosetnyc.org,10001.0,5.0,N
53 West 23 St.,N,,N,N,N,,N,http://www.ncjw.org,,,N
500 West 159th Street,Y,N,N,N,N,MANHATTAN,N,,10032.0,12.0,Y
80 Maiden Lane (2nd floor),Y,N,N,N,N,MANHATTAN,N,http://www.lesc.org/,10038.0,1.0,N
405 East 73rd Street,Y,N,N,N,N,MANHATTAN,N,http://www.rmhc.org,10021.0,8.0,N
79 Madison Ave,Y,N,N,N,N,MANHATTAN,N,http://www.chnnyc.org,10016.0,5.0,N
"50 Bay Street, Low.Lev.",N,,N,Y,N,STATEN IS,N,,10301.0,1.0,N
310 Crown Street,N,N,N,N,N,BROOKLYN ,N,http://www.bethrivkah.edu/,11225.0,9.0,N
243 West 20 Street,N,N,N,Y,N,MANHATTAN,N,http://www.new-nyc.org/,10011.0,4.0,N
"122 East 42nd Street, SUite 1100",N,N,N,N,N,MANHATTAN,N,http://www.theirc.org,10168.0,5.0,N
"111 John Street, Suite 240",N,N,N,N,N,MANHATTAN,N,http://www.savvyladies.org,10038.0,1.0,N
337 Alexander Avenue,N,N,N,N,N,BRONX    ,N,http://www.eastsidehouse.org/,10454.0,1.0,N
5 Union Square West,N,,N,N,N,,N,http://www.twc.org/,,,N
"384 East 149th Street, Suite 224",N,Y,N,N,N,BRONX    ,N,,10455.0,1.0,Y
215 East 106th Street,N,N,N,N,N,MANHATTAN,N,http://www.ehbn.org,10029.0,11.0,N
"580 Broadway, Suite 1010",Y,N,N,N,N,MANHATTAN,N,http://www.natap.org,10012.0,2.0,N
473 Central Park West 2C,N,N,N,N,N,MANHATTAN,N,http://copaseticwomen.moogo.com/,10025.0,7.0,N
3001 West 37th Street,N,N,N,N,N,BROOKLYN ,N,http://www.jccgci.org,11224.0,13.0,Y
138-15 Franklin Ave. Suite 610,N,Y,N,N,Y,QUEENS   ,N,,11355.0,7.0,N
295 Woodbine Street,N,,N,N,N,BROOKLYN ,N,,11237.0,4.0,N
"214 West 29th Street, 5th Floor",N,,N,N,N,,N,http://www.nycares.org,,,N
6E4S,Y,Y,N,N,N,BROOKLYN ,N,,11203.0,17.0,N
1 East 93rd Street,N,N,N,N,N,MANHATTAN,N,,10128.0,8.0,N
