vehicle_color,complaint_inquiry_zip,complaint_inquiry_number,complaint_inquiry_disposition,account_zip,complaint_inquiry_city,contacted_complainant,complaint_inquiry_state,complaint_inquiry_borough
,,INQ-195553,Resolved,,,False,,
,,2011-00089,Resolved,,,False,,
,11368,COMP-197652,Referred To BIC Legal,08830,Queens,True,NY,Queens
,,COMP-198013,Resolved,11208-,Brooklyn,True,NY,Brooklyn
,,2010-00941,Unsubstantiated,,nyc,False,NY,Queens
,10017-,2012-01130,Resolved,,NY,False,NY,NYC
,,INQ-191561,Referred to Another Agency,,,True,,
,,2009-00639,Violation Written,,NYC,False,NY,Staten Island
,,COMP-193530,Unsubstantiated,,,False,,
,,COMP-194795,Unsubstantiated,10451,,True,,
,,COMP-189842,Unsubstantiated,11377-,Astoria,True,NY,Queens
,,INQ-191702,Referred back to 311,,,True,,
,,2011-00271,Referred To Licensing,,,False,,
,10010-,2013-00336,Resolved,,NY,False,NY,NYC
,,INQ-192180,Resolved,,,True,,
,,2010-00400,Resolved,11234-,,False,,
,,INQ-196107,Resolved,,,True,,
,10018-,2013-00220,Referred back to 311,,NY,False,NY,NYC
,,2012-00886,Resolved,,,False,,
,,2009-00445,Referred To Licensing,,,False,,
,,2012-00531,Referred to Another Agency,,,False,,
,10011,COMP-193427,Unsubstantiated,11232,New York,True,NY,Manhattan
,,2012-00598,Referred to Another Agency,,,False,,
,,2010-00703,Violation Written,,nyc,False,NY,
,,INQ-195225,Referred to Another Agency,11208-,,True,,
,,COMP-195097,Resolved,11220-,Brooklyn,True,ny,
,,INQ-194284,Resolved,10474,,True,,
,,2010-01791,Unsubstantiated,,,False,,
,,2010-01909,Resolved,,nyc,False,NY,Queens
,11374-,2008-00210,Referred to Another Agency,11374-,,False,NY,Queens
,,2008-00411,Unsubstantiated,,,False,NY,Queens
,,COMP-193362,Unsubstantiated,10553,,False,,
,11209-2702,COMP-191787,Unable to Contact Complainant,07922-,Brooklyn,False,NY,Brooklyn
,11434-,2012-01097,Resolved,,Jamaica,False,NY,Queens
,10001,COMP-194877,Referred to Another Agency,,New York,True,NY,
,,2011-00979,Unable to Contact Complainant,,,False,,
,11219,COMP-197940,Referred to Another Agency,08830,Brooklyn,True,,Brooklyn
,,2010-01080,Resolved,,nyc,False,NY,NYC
,,2008-00964,Referred to Another Agency,,,False,NY,Queens
,,2010-00916,Resolved,,nyc,False,NY,Bronx
,11205,COMP-192079,Resolved,07201-,brooklyn,True,ny,Brooklyn
,,INQ-195493,Resolved,,,True,,
,,2006-00801,,,,False,NY,
,,2008-01711,Unable to Contact Complainant,,,False,NY,
,,2010-00301,Resolved,,,False,,
,,2009-02169,Resolved,,,False,,
,10128-,2013-00932,Unsubstantiated,,NY,False,NY,NYC
,,COMP-193580,Resolved,11101-,Greenpoint,True,NY,Brooklyn
,,2006-01305,,,,False,NY,
,,COMP-194986,Resolved,,,True,,
,,2010-01976,Resolved,,,False,,
,,2011-00030,Resolved,,nyc,False,NY,Brooklyn
,11208,COMP-193021,Resolved,11378-,Brooklyn,True,NY,Brooklyn
,,2013-00419,Resolved,11249-,,False,,
,,INQ-190083,Referred to Another Agency,,,False,,
,,2010-01644,Resolved,85268-,,False,,
,11237-,2011-00833,Unsubstantiated,11237-,Brooklyn,False,NY,Brooklyn
,,2010-01299,Resolved,,nyc,False,NY,Queens
