bin,nta,bbl,account_focus_of_complaint,account_name
,,,,
,,,CITY WASTE SERVICES INC.,"CITY WASTE SERVICES OF NEW YORK, INC."
,,,"WASTE CONNECTIONS OF NEW YORK, INC.","WASTE CONNECTIONS OF NEW YORK, INC."
,,,"METROPOLITAN PAPER RECYCLING, LLC","METROPOLITAN PAPER RECYCLING, LLC"
,,,Mr. Lawn Inc.,
1036168.0,Turtle Bay-East Midtown,1012980040.0,IESI NY CORPORATION,"WASTE CONNECTIONS OF NEW YORK, INC."
,,,,
,,,Sal's Best Lawn Care,
,,,,
,,,JUST GET IT DONE INC,JUST GET IT DONE INC
,,,HERCULES WASTE MANAGEMENT CORP.,HERCULES WASTE MANAGEMENT CORP.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1015938.0,Midtown-Midtown South,1008380048.0,,
,,,,
,,,,
,,,,
1012697.0,Hudson Yards-Chelsea-Flatiron-Union Square,1007200047.0,GREEN GRID US LLC,GREEN GRID US LLC
,,,,
,,,,
,,,"METROPOLITAN PAPER RECYCLING, INC.","METROPOLITAN PAPER RECYCLING, LLC"
,,,MIDDLE EAST MANAGEMENT CORP,MIDDLE EAST MANAGEMENT CORP
,,,SANITATION SALVAGE CORP.,SANITATION SALVAGE CORP.
,,,,
,,,,
,,,,
,,,LOMANGINO BROS INC,"LOMANGINO BROS., INC."
,,,NYC OIL CORP,NYC OIL CORP
3148770.0,Bay Ridge,3059410029.0,"VIKING SANITATION, INC.","VIKING SANITATION, INC."
4266416.0,Springfield Gardens North,4122920022.0,ROYAL WASTE SERVICES INC.,ROYAL WASTE SERVICES INC.
1088723.0,Hudson Yards-Chelsea-Flatiron-Union Square,1008290001.0,,
,,,,
3140138.0,Borough Park,3056920033.0,"WASTE CONNECTIONS OF NEW YORK, INC.","WASTE CONNECTIONS OF NEW YORK, INC."
,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,ACTION CARTING ENVIRONMENTAL SERVICES INC.
,,,,
,,,ROYAL WASTE SERVICES INC.,ROYAL WASTE SERVICES INC.
3255557.0,park-cemetery-etc-Brooklyn,3018747501.0,CENTURY WASTE SERVICES L.L.C.,CENTURY WASTE SERVICES L.L.C.
,,,,
,,,,
,,,,
,,,,
,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,ACTION CARTING ENVIRONMENTAL SERVICES INC.
1051695.0,East Harlem South,1016240001.0,,
,,,HERMES WASTE SERVICES CORP.,HERMES WASTE SERVICES CORP.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,VIKING SANITATION INC.,"VIKING SANITATION, INC."
,,,MUSSO TRUCKING CORP.,MUSSO TRUCKING CORP.
,,,DAVE & KEV CONSTRUCTION INC.,EXCLUSIVE DEMOLITION INC.
4298302.0,Far Rockaway-Bayswater,4155640053.0,D. DANIELS CONTRACTING LTD.,D. DANIELS CONTRACTING LTD.
1018009.0,Gramercy,1008770089.0,SILVER SERVICES GROUP CORP.,SILVER SERVICES GROUP CORPORATION
,,,OIL GORILLAS INC.,OIL GORILLAS INC.
,,,,
,,,AVID WASTE SYSTEMS INC.,"AVID WASTE SYSTEMS, INC."
,,,,
,,,Sal's Best Lawn Care Inc,
,,,,
,,,,
,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.
,,,"WILENTA CARTING OF NY, INC.","WILENTA CARTING OF NY, INC."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,INFINITY PLUS,INFINITY PLUS
,,,MATTIS BROS INC.,MATTIS BROS INC.
,,,,
,,,CROWN CONTAINER CO. INC.,"CROWN CONTAINER TRANSFER STATION CO., INC."
,,,,
,,,WASTE MAVEN CARTING CORP.,WASTE MAVEN CARTING CORP.
,,,HIGHWAY SAFETY PROTECTION CORP.,HIGHWAY SAFETY PROTECTION CORP.
,,,,
,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.
1033298.0,Upper West Side,1012360035.0,AMRO CARTING CORP.,AMRO CARTING CORP.
3144714.0,Bay Ridge,3058550036.0,CITYWIDE CONTAINER SERVICE CORP.,CITYWIDE CONTAINER SERVICE CORP.
3334965.0,Clinton Hill,3019210064.0,,
,,,,
,,,BRONX SANITATION INDUSTRIES INC.,BRONX SANITATION INDUSTRIES INC.
,,,,
1058843.0,Central Harlem North-Polo Grounds,1019400035.0,ACTION CARTING ENVIRONMENTAL SERVICES INC.,ACTION CARTING ENVIRONMENTAL SERVICES INC.
,,,,
,,,,
,,,,
,,,,
,,,ROYAL WASTE SERVICES INC.,ROYAL WASTE SERVICES INC.
1011368.0,West Village,1006240001.0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,"CONEY ISLAND CONTAINER, INC.","CONEY ISLAND CONTAINER, INC."
,,,,
,,,MR. T CARTING CORP.,MR. T CARTING CORP.
,,,SALIKEGNE EXPRESS INC.,SALIKEGNE EXPRESS INC.
,,,,
,,,TULLY ENVIRONMENTAL INC.,TULLY ENVIRONMENTAL INC.
,,,,
,,,,
,,,,
,,,"VJ AND SONS, INC.",
,,,,
,,,,
4282638.0,Laurelton,4131580035.0,CITY WASTE SERVICES INC.,"CITY WASTE SERVICES OF NEW YORK, INC."
,,,"FULL FORCE DEMOLITION & RUBBISH REMOVAL, INC.","FULL FORCE DEMOLITION & RUBBISH REMOVAL, INC."
,,,,
,,,,
,,,,
,,,"KNA  WASTE REMOVAL, INC.","KNA  WASTE REMOVAL, INC."
,,,LIBERTY ASHES INC.,"LIBERTY ASHES, INC."
,,,"DIAG EXPRESS TRUCKING, LLC.","DIAG EXPRESS TRUCKING, LLC."
,,,,
,,,ABC CARTING INC.,"ABC CARTING, INC."
,,,,
,,,,
,,,,
,,,CROWN CONTAINER CO. INC.,"CROWN CONTAINER TRANSFER STATION CO., INC."
,,,IESI NY CORPORATION,"WASTE CONNECTIONS OF NEW YORK, INC."
,,,N W H,
,,,D-BEST EQUIPMENT CORP,
,,,,
,,,"RUSSELL REID WASTE HAULING AND DISPOSAL SERVICE CO., INC.","RUSSELL REID WASTE HAULING AND DISPOSAL SERVICE CO., INC."
3418264.0,Stuyvesant Heights,3017770058.0,,
,,,,
,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,ACTION CARTING ENVIRONMENTAL SERVICES INC.
3190962.0,Bensonhurst East,3070960041.0,,
,,,Bombace Construction,"BOMBACE CONSTRUCTION CO., INC."
,,,,
,,,,
,,,#1 WASTE & RECYCLER INC.,# 1 WASTE & RECYCLER INC.
,,,,
,,,Hernandez Landscaping,
4084145.0,Ridgewood,4035080050.0,,"WASTE CONNECTIONS OF NEW YORK, INC."
,,,IMPERIAL SANITATION CORP.,IMPERIAL SANITATION CORP.
,,,,
,,,,
,,,,
,,,MILLAMAR CONSTRUCTION CORP.,MILLAMAR CONSTRUCTION CORP.
,,,,
,,,,
,,,,
,,,,
,,,LIBERTY ASHES INC.,"LIBERTY ASHES, INC."
1015254.0,Midtown-Midtown South,1008130016.0,SAL'S HAULING CORP.,SAL'S HAULING CORP.
,,,ROYAL WASTE SERVICES INC.,ROYAL WASTE SERVICES INC.
,,,,
,,,On Guard Shredding LLC,
,,,,
,,,,
,,,,
,,,KWN CARTING LLC,KWN CARTING LLC
,,,"HINES & ZAFFARESE LANDSCAPING, INC.","HINES & ZAFFARESE LANDSCAPING, INC."
