latitude,vehicle_make,complaint_or_inquiry,vehicle_year
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Complaint,
40.751977,,Complaint,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
40.750109,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
40.746666,,Complaint,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Complaint,
40.630118,,Complaint,
40.669118,,Complaint,
40.745342,,Complaint,
,,Inquiry,
40.628341,,Complaint,
,,Complaint,
,,Inquiry,
,,Complaint,
40.696737,,Complaint,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
40.786647,,Complaint,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
40.74315,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
40.727023,,Complaint,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
40.739691,,Complaint,
,,Inquiry,
,,Complaint,
,,Inquiry,
40.638905,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
40.726085,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
40.709687,,Inquiry,
,,Inquiry,
,,Inquiry,
40.8204,,Inquiry,
,,Inquiry,
40.694603,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
40.746172,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Complaint,
40.738786,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
40.708312,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Complaint,
40.640497,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Inquiry,
,,Complaint,
,,Complaint,
,,Inquiry,
,,Inquiry,
40.730479,,Complaint,
