borough,complaint_inquiry_status,account_state,longitide,export_date,total_response_time,industry_type,council_district
,Closed,,,2025-12-22,1.0,Trade Waste,
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
,Closed,NJ,,2025-12-22,1.0,Trade Waste,
,Closed,NY,,2025-12-22,0.0,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
MANHATTAN,Closed,RENEWAL PENDING,-73.97358,2025-12-22,,Trade Waste,4.0
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,16.0,Trade Waste,
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,NY,,2025-12-22,34.0,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,1.0,Trade Waste,
MANHATTAN,Closed,,-73.983355,2025-12-22,,Trade Waste,4.0
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
MANHATTAN,Closed,NY,-74.001758,2025-12-22,3.0,Trade Waste,3.0
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL APPROVED,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,2.0,Trade Waste,
BROOKLYN,Closed,NJ,-74.023702,2025-12-22,1.0,Trade Waste,43.0
QUEENS,Closed,RENEWAL PENDING,-73.782177,2025-12-22,,Trade Waste,28.0
MANHATTAN,Closed,,-73.990487,2025-12-22,2.0,Trade Waste,3.0
,Closed,,,2025-12-22,,Trade Waste,
BROOKLYN,Closed,NJ,-73.991916,2025-12-22,0.0,Trade Waste,44.0
,Closed,RENEWAL APPROVED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
