nta,x_sp,inf_lights,vert_tgrd,boroname,st_senate,zipcode,cen_year,trunk_dmg,horz_blck,borocode
MN11,995995,No,No,Manhattan,30,10026,2005,Trunk Wound,Yes,1
MN15,987045,Yes,No,Manhattan,27,10019,2005,,Yes,1
MN36,999302,No,No,Manhattan,31,10032,2005,,Yes,1
MN28,988993,No,No,Manhattan,26,10009,2005,,No,1
MN33,1000108,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN34,1002645,No,No,Manhattan,29,10029,2005,Trunk Wound,No,1
MN24,980946,No,No,Manhattan,26,10007,2006,,Yes,1
MN12,993046,No,No,Manhattan,30,10024,2005,Cavity,No,1
MN14,986775,No,No,Manhattan,27,10019,2005,,Yes,1
MN22,988655,No,No,Manhattan,27,10003,2006,Cavity,Yes,1
BK45,1007589,No,No,Brooklyn,19,11234,2005,,No,3
MN15,987294,No,No,Manhattan,27,10019,2005,,No,1
MN34,1002693,No,No,Manhattan,29,10029,2005,Trunk Wound,No,1
MN14,986775,No,No,Manhattan,27,10019,2005,Cavity,Yes,1
MN33,1001151,No,No,Manhattan,30,10029,2005,,No,1
MN34,1002645,No,No,Manhattan,29,10029,2005,Cavity,No,1
MN36,998986,No,No,Manhattan,31,10032,2005,,Yes,1
MN33,1000948,No,No,Manhattan,30,10029,2005,,Yes,1
MN14,986775,No,No,Manhattan,27,10019,2005,Trunk Wound,Yes,1
MN22,988807,No,No,Manhattan,27,10009,2006,Trunk Wound,No,1
MN25,980245,No,No,Manhattan,26,10006,2006,,No,1
MN33,1001824,No,No,Manhattan,30,10029,2005,Trunk Wound,Yes,1
MN15,986805,No,No,Manhattan,27,10019,2005,Torn Bark,Yes,1
MN33,1001033,No,No,Manhattan,30,10029,2005,,Yes,1
MN33,1001033,No,No,Manhattan,30,10029,2005,,No,1
MN12,992563,No,No,Manhattan,30,10024,2005,,No,1
MN33,999912,No,No,Manhattan,29,10029,2005,Cavity,Yes,1
MN34,1003066,No,No,Manhattan,29,10035,2005,Trunk Wound,Yes,1
MN34,1002707,No,No,Manhattan,30,10035,2005,Cavity,Yes,1
MN12,993301,No,No,Manhattan,30,10024,2005,,No,1
MN12,993121,No,No,Manhattan,30,10024,2005,,No,1
MN31,995515,No,No,Manhattan,28,10065,2005,,No,1
MN15,987084,No,No,Manhattan,27,10019,2005,Trunk Wound,Yes,1
MN25,979817,No,Yes,Manhattan,26,10006,2006,,Yes,1
MN33,999912,No,Yes,Manhattan,29,10029,2005,,No,1
MN34,1002645,No,No,Manhattan,29,10029,2005,,No,1
MN22,988992,No,No,Manhattan,27,10003,2005,,Yes,1
MN24,981191,No,No,Manhattan,26,10007,2006,Trunk Wound,No,1
MN27,988227,No,No,Manhattan,26,10002,2005,,Yes,1
MN12,990251,No,No,Manhattan,31,10024,2005,,No,1
MN33,1000108,No,No,Manhattan,29,10029,2005,,Yes,1
MN33,1001315,No,No,Manhattan,30,10029,2005,,Yes,1
MN24,981191,No,No,Manhattan,26,10007,2006,,No,1
MN34,1002805,No,No,Manhattan,29,10035,2005,Trunk Wound,Yes,1
MN12,993490,No,No,Manhattan,30,10025,2005,,No,1
MN33,999588,No,No,Manhattan,29,10029,2005,,Yes,1
MN33,1000108,No,No,Manhattan,29,10029,2005,,Yes,1
MN36,999354,No,No,Manhattan,31,10032,2005,,Yes,1
MN32,999586,No,No,Manhattan,29,10029,2005,,No,1
MN24,981507,No,No,Manhattan,26,10013,2006,,Yes,1
MN33,1000117,No,No,Manhattan,29,10029,2005,,Yes,1
MN33,999819,No,No,Manhattan,29,10029,2005,Cavity,No,1
MN12,988966,No,No,Manhattan,29,10023,2005,,No,1
MN33,1001151,No,No,Manhattan,30,10029,2005,,No,1
MN22,986780,No,No,Manhattan,27,10003,2005,Trunk Wound,No,1
MN04,998963,No,Yes,Manhattan,31,10032,2005,,No,1
MN12,993014,No,No,Manhattan,30,10025,2005,,No,1
MN31,995515,No,No,Manhattan,28,10065,2005,Cavity,Yes,1
MN34,1002378,No,No,Manhattan,29,10035,2005,Trunk Wound,Yes,1
MN12,991249,No,No,Manhattan,29,10024,2005,,No,1
MN12,991502,No,No,Manhattan,29,10024,2005,Trunk Wound,No,1
MN24,980866,No,No,Manhattan,26,10007,2006,,Yes,1
MN12,989426,No,No,Manhattan,29,10024,2005,,Yes,1
MN22,989025,No,No,Manhattan,27,10003,2005,Trunk Wound,Yes,1
MN12,992563,No,No,Manhattan,30,10024,2005,,No,1
MN34,1002856,No,No,Manhattan,29,10035,2005,,No,1
MN12,993110,No,No,Manhattan,30,10024,2005,,No,1
MN11,995765,No,No,Manhattan,30,10026,2005,Trunk Wound,Yes,1
MN33,999588,No,No,Manhattan,29,10029,2005,,Yes,1
MN33,1000824,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN33,1000108,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN12,993006,No,No,Manhattan,30,10024,2005,,No,1
MN33,1000108,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN14,988792,No,No,Manhattan,27,10023,2006,,No,1
MN22,986786,No,No,Manhattan,27,10003,2005,Trunk Wound,Yes,1
MN12,992786,No,No,Manhattan,30,10024,2005,,Yes,1
MN36,999354,No,No,Manhattan,31,10032,2005,,Yes,1
MN22,988934,No,No,Manhattan,27,10009,2005,Torn Bark,No,1
MN33,1000927,No,No,Manhattan,29,10029,2005,,No,1
MN34,1002714,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN36,998986,No,No,Manhattan,31,10032,2005,,Yes,1
MN33,999588,No,No,Manhattan,29,10029,2005,,Yes,1
MN33,1000253,No,No,Manhattan,29,10029,2005,Cavity,No,1
MN11,996550,No,No,Manhattan,30,10026,2005,Trunk Wound,Yes,1
MN28,989059,No,No,Manhattan,26,10009,2005,,No,1
MN33,999100,No,No,Manhattan,29,10029,2005,,No,1
MN24,981514,No,No,Manhattan,26,10013,2006,,No,1
MN23,982614,No,No,Manhattan,27,10014,2006,,Yes,1
MN36,998986,No,No,Manhattan,31,10032,2005,,Yes,1
MN12,993071,No,No,Manhattan,30,10024,2005,,No,1
MN33,1001051,No,No,Manhattan,30,10029,2005,,No,1
MN33,1000425,No,No,Manhattan,29,10029,2005,,No,1
MN24,981304,No,No,Manhattan,26,10013,2006,Torn Bark,Yes,1
MN28,988107,No,No,Manhattan,26,10002,2005,Trunk Wound,Yes,1
MN34,1002781,No,No,Manhattan,29,10035,2005,Trunk Wound,Yes,1
MN33,999912,No,No,Manhattan,29,10029,2005,,No,1
MN32,999586,No,No,Manhattan,29,10029,2005,,No,1
BK45,1012160,No,No,Brooklyn,19,11234,2005,,No,3
MN11,995765,No,No,Manhattan,30,10026,2005,,Yes,1
MN12,993025,No,No,Manhattan,30,10025,2005,,No,1
MN12,989173,No,No,Manhattan,29,10024,2005,,Yes,1
MN36,1001976,No,No,Manhattan,31,10032,2005,Torn Bark,Yes,1
MN34,1002126,No,Yes,Manhattan,29,10029,2005,,No,1
MN33,1000760,No,No,Manhattan,30,10029,2005,Cavity,Yes,1
MN25,980245,No,No,Manhattan,26,10006,2006,,No,1
MN12,991196,No,No,Manhattan,31,10024,2005,Trunk Wound,Yes,1
MN33,1001824,No,No,Manhattan,30,10029,2005,Cavity,Yes,1
MN12,993301,No,No,Manhattan,30,10024,2005,,No,1
MN12,991839,No,No,Manhattan,29,10024,2005,,Yes,1
MN33,1000425,No,No,Manhattan,29,10029,2005,,No,1
MN11,996005,No,No,Manhattan,30,10026,2005,Trunk Wound,No,1
MN12,993490,No,No,Manhattan,30,10025,2005,,No,1
MN34,1002145,No,No,Manhattan,29,10029,2005,,Yes,1
MN22,988951,No,No,Manhattan,27,10009,2006,Cavity,No,1
MN12,990813,No,No,Manhattan,31,10024,2005,,No,1
