staddr,council_district,zip,borough,longitude,avland,bldgcl,period,boro,:@computed_region_f5dn_yrer,extot,extot2,avtot2
PEARSALL AVENUE,,,,,290,V0,FINAL,2,,0,,
WEST 47 STREET,,,,,0,U6,FINAL,1,,0,,
MARINE STREET,,,,,5700,V0,FINAL,2,,0,,
347 BOWERY,2.0,10003.0,MANHATTAN,-73.991734,0,R0,FINAL,1,70.0,0,,
UNDERHILL AVENUE,,,,,0,V0,FINAL,2,,0,,
BOLTON AVENUE,,,,,9592,V0,FINAL,2,,9592,,
EAST 224 STREET,,,,,1140,V0,FINAL,2,,0,,
COMPTON AVENUE,,,,,5850,V1,FINAL,2,,5850,5760.0,5760.0
FENTON AVENUE,,,,,348,V0,FINAL,2,,0,,
GATES AVENUE!,,,,,60,V0,FINAL,3,,60,,
AMETHYST STREET,,,,,703,V0,FINAL,2,,0,,
WEBSTER AVENUE,,,,,6750,V1,FINAL,2,,6750,5886.0,5886.0
BOWERY,,10012.0,,,0,U7,FINAL,1,,0,,
ATLANTIC AVENUE,,11233.0,,,0,U7,FINAL,3,,0,,
RADCLIFF AVENUE,,10462.0,,,4586,V0,FINAL,2,,0,,
MAJ WM DEEGAN BLVD,,,,,0,U1,FINAL,2,,0,,
VERNON AVENUE,,,,,0,U7,FINAL,3,,0,,
BARTLETT STREET,,,,,10800,V1,FINAL,3,,10800,9559.0,9559.0
MCGUINNESS BOULEVARD,,,,,48600,GU,FINAL,3,,0,,45180.0
WEST 46 STREET,,,,,2240100,G6,FINAL,1,,0,,2074140.0
WEST 48 STREET,,,,,13410900,T2,FINAL,1,,37808100,35668890.0,35668890.0
PARK AVENUE,,,,,25200,V1,FINAL,2,,0,,28404.0
MYRTLE AVENUE,,,,,121950,V1,FINAL,3,,121950,109362.0,109362.0
DRIGGS AVENUE,,,,,75600,G7,FINAL,3,,75600,51930.0,51930.0
BROADWAY,,11211.0,,,0,V9,FINAL,3,,0,,
4WA,,10451.0,,,13500,C7,FINAL,2,,0,,443250.0
BAINBRIDGE AVENUE,,,,,2250,V1,FINAL,2,,0,,
NELSON AVENUE,,,,,0,V0,FINAL,2,,0,,
WEST 33 STREET,,,,,0,V1,FINAL,1,,0,,
COURTLANDT AVENUE,,,,,0,V0,FINAL,2,,0,,
EAST 79 STREET,,10021.0,,,268650,V1,FINAL,1,,0,,172890.0
SOUTHERN BOULEVARD,,,,,86850,V1,FINAL,2,,0,,61020.0
MATTHEWS AVENUE,,,,,4298,V0,FINAL,2,,0,,
10 AVENUE,,,,,11,V0,FINAL,3,,0,,
MC GUINNESS BLVD,,,,,0,U5,FINAL,3,,0,,
BUTLER PLACE,,,,,360,V0,FINAL,2,,0,,
BOUCK AVENUE,,,,,3288,V0,FINAL,2,,0,,
BROOME STREET,,,,,13050,G7,FINAL,3,,0,,8910.0
CROSBY AVENUE,,,,,5206,V0,FINAL,2,,0,,
2 PLACE,,11231.0,,,0,U9,FINAL,3,,0,,
2040 FREDERICK DOUGLASS B,,10026.0,,,2144,RG,FINAL,1,,16599,15875.0,17359.0
HONEYWELL AVENUE,,,,,1178,V0,FINAL,2,,1178,,
ROCHAMBEAU AVENUE,,,,,0,U7,FINAL,2,,0,,
,,,,,0,U9,FINAL,2,,0,,
MAJ WM DEEGAN BLVD,,,,,450,Q1,FINAL,2,,450,,
3 AVENUE,,,,,35550,G5,FINAL,3,,0,,79560.0
F D R DRIVE,,,,,9345600,T2,FINAL,1,,9345600,8816580.0,8816580.0
QUINCY STREET,,11221.0,,,14184,V0,FINAL,3,,14184,,
PRESIDENT STREET,,11215.0,,,74250,V1,FINAL,3,,0,,50940.0
SOUTH 1 STREET,,,,,5474,V0,FINAL,3,,0,,
MONITOR STREET,,,,,135000,G7,FINAL,3,,0,,30960.0
BRONXWOOD AVENUE,,,,,37350,Z9,FINAL,2,,0,,35280.0
47 THROOP AVENUE,33.0,11206.0,BROOKLYN,-73.946994,0,R0,FINAL,3,36.0,0,,
SPENCER DRIVE,,,,,1672,V0,FINAL,2,,0,,
HAVILAND AVENUE,,,,,6567,V0,FINAL,2,,0,,
EAST 144 STREET,,,,,25650,V9,FINAL,2,,25650,17190.0,17190.0
PELL PLACE,,,,,6000,V0,FINAL,2,,0,,
ARNOW AVENUE,,,,,927,V0,FINAL,2,,0,,
HERKIMER STREET,,,,,134,V0,FINAL,3,,134,,
