bble,staddr,:@computed_region_yeji_bk3q,valtype,ext,census_tract
3015540054,HERKIMER STREET,,AC-TR,,
2042780188,PAWNEE PLACE,,AC-TR,,
1018261230,2040 FREDERICK DOUGLASS B,,AC-TR,,
2047090023,EAST 214 STREET,,AC-TR,,
2036330001,857 LAFAYETTE AVENUE,,AC-TR,,
3029167502,233 DEVOE STREET,2.0,AC-TR,,481.0
2025220122,PLIMPTON AVENUE,,AC-TR,,
2058881569,WEST 262 STREET,,AC-TR,,
2056260227,PELL PLACE,,AC-TR,,
2026470018,FOREST AVENUE,,AC-TR,,
1017610028,MARGINAL STREET,,AC-TR,,
2025390190,MAJ WM DEEGAN BLVD,,AC-TR,,
1019447501,,,AC-TR,,
1022150002F,BROADWAY,,AC-TR,,
2056410670,CITY ISLAND AVENUE,,AC-TR,,
3001980022,DEAN STREET,,AC-TR,,
2055760112,REVERE AVENUE,,AC-TR,,
1021230055,WEST 167 STREET,,AC-TR,,
2054880034,ELLSWORTH AVENUE,,AC-TR,,
3007840158,50 STREET,,AC-TR,,
3009930135,5 AVENUE,,AC-TR,,
2028740157E,NELSON AVENUE,,AC-TR,,
1020240043,WEST 139 STREET,,AC-TR,,
3017600151,WILLOUGHBY AVENUE,,AC-TR,,
2028200062E,MORRIS AVENUE,,AC-TR,,
1022159079,TERRACE VIEW AVENUE,,AC-TR,,
3013390021,ATLANTIC AVENUE,,AC-TR,,
2032620023,BAILEY AVENUE,,AC-TR,,
1006939064,11 AVENUE,,AC-TR,,
2052320055,3312 BOLLER AVENUE,5.0,AC-TR,,46202.0
3023240001E,KENT AVENUE,,AC-TR,,
2029860131,VYSE AVENUE,,AC-TR,,
2057270560,JOHNSON AVENUE,,AC-TR,,
2027510050,BRYANT AVENUE,,AC-TR,,
3029220020,POWERS STREET,,AC-TR,,
2053490022,ELLISON AVENUE,,AC-TR,,
1012830021E,PARK AVENUE,,AC-TR,,
2042590022,HUNT AVENUE,,AC-TR,,
2055760040,SAMPSON AVENUE,,AC-TR,,
3024910136,MC GUINNESS BLVD,,AC-TR,,
2056540385,ROPES AVENUE,,AC-TR,,
3004070009,BALTIC STREET,,AC-TR,,
1006217501,93 CHARLES STREET,4.0,AC-TR,,73.0
1006240024,8 AVENUE,,AC-TR,,
2039020016,LELAND AVENUE,,AC-TR,,
1003470046,DELANCEY S,,AC-TR,,
2051300100,4614 BRADLEY STREET,,AC-TR,,
2054080236,VALHALLA DRIVE,,AC-TR,,
2049620070,DURYEA AVENUE,,AC-TR,,
2055180244,REYNOLDS AVENUE,,AC-TR,,
2054080283,LOHENGRIN PLACE,,AC-TR,,
2031310020E,EAST 179 STREET,,AC-TR,,
3012520165,ST CHARLEx PLACE,,AC-TR,,
1007390001E,,,AC-TR,,
1002080019E,CANAL STREET,,AC-TR,,
3002610110,HICKS STREET,,AC-TR,,
2025390506E,MAJ WM DEEGAN BLVD,,AC-TR,,
2032520371,ORLOFF AVENUE,,AC-TR,,
2039190055,BEACH AVENUE,,AC-TR,,
2047630007,MICKLE AVENUE,,AC-TR,,
3009310007,5 AVENUE,,AC-TR,,
2025390071,MAJ WM DEEGAN BLVD,,AC-TR,,
2056300015,FORDHAM STREET,,AC-TR,,
3004700020,LUQUER STREET,,AC-TR,,
1007298061,9 AVENUE,,AC-TR,,
2027070009,724 BECK STREET,5.0,AC-TR,,85.0
2054860112,SHORE DRIVE,,AC-TR,,
2025190032,WEST 169 STREET,,AC-TR,,
3000340010,PLYMOUTH STREET,,AC-TR,,
2052630331,WRIGHT AVENUE,,AC-TR,,
3030100010,GRATTAN STREET,,AC-TR,,
2044490090,LURTING AVENUE,,AC-TR,,
1008397501,,,AC-TR,,
1010870005E,WEST 58 STREET,,AC-TR,,
2025230120,UNIVERSITY AVENUE,,AC-TR,,
2033070029,EAST 202 STREET,,AC-TR,,
2044580024,HERING AVENUE,,AC-TR,,
1012439139,WEST 96 STREET,,AC-TR,,
2042220066,PELHAM PARKWAY,,AC-TR,,
2057730325,BROADWAY,,AC-TR,,
3015690035,2111 MONACO PLACE,,AC-TR,,
1000360012,PIER 9,,AC-TR,,
1009287504,300 EAST 23 STREET,4.0,AC-TR,,64.0
2040270121,UNIONPORT ROAD,,AC-TR,,
2040370023,WHITE PLAINS ROAD,,AC-TR,,
3009460101,4 AVENUE,,AC-TR,,
2040380029,HUNT AVENUE,,AC-TR,,
2033430022,RESERVOIR OVAL,,AC-TR,,
2041120042,YATES AVENUE,,AC-TR,,
2025390120,EAST 153 STREET,,AC-TR,,
2054110302,ROBERTSON PLACE,,AC-TR,,
2051350051E,HUTCHINSON RIV PKWY,,AC-TR,,
3020130040,ST JAMES PLACE,,AC-TR,,
1020230142,WEST 138 STREET,,AC-TR,,
2033290069,!BAINBRIDGE AVENUE,,AC-TR,,
3018520044,THROOP AVENUE,,AC-TR,,
2053470001, AVENUE,,AC-TR,,
3021367504,437 WYTHE AVENUE,2.0,AC-TR,,547.0
2045220016,YATES AVENUE,,AC-TR,,
2048590112,EAST 224 STREET,,AC-TR,,
2050810004,EAST 239 STREET,,AC-TR,,
2028740063,PLIMPTON AVENUE,,AC-TR,,
3022450149,WALTON STREET,,AC-TR,,
2027590250,SHERIDAN EXPRESSWAY,,AC-TR,,
2027630206,HUNTS POINT AVENUE,,AC-TR,,
1017700123,EAST 121 STREET,,AC-TR,,
2028760277,NELSON AVENUE,,AC-TR,,
1002880076,HENRY STREET,,AC-TR,,
2047880115,GUNTHER AVENUE,,AC-TR,,
2039290001E,VIRGINIA AVENUE,,AC-TR,,
3025240054,HURON STREET,,AC-TR,,
2050260005,BUSSING AVdNUE,,AC-TR,,
1000730028,MARGINAL STREET,,AC-TR,,
2047990034,GRACE AVENUE,,AC-TR,,
3020180166,ATLANTIC AVENUE,,AC-TR,,
2056420242,SCHOFIELD STREET,,AC-TR,,
2053160005,3147 FAIRFAX AVENUE,,AC-TR,,
3016240143,LEWIS AVENUE,,AC-TR,,
2038920044,CROES AVENUE,,AC-TR,,
2053950002,MIDDLETOWN ROAD,,AC-TR,,
$2028770358,UNDERCLIFF AVENUE,,AC-TR,,
2032950060,BAINBRIDGE AVENUE,,AC-TR,,
2038970032,CROSS BRONX EXPWY,,AC-TR,,
3013130091,STERLING STREET,,AC-TR,,
2048420087,BARNES AVENUE,,AC-TR,,
2056530314,FLINT AVENUE,,AC-TR,,
2022600062F,,,AC-TR,,
2045890005,ADEE AVENUE,,AC-TR,,
1002840001E,HENRY STREET,,AC-TR,,
1014840060,FDR DRIVE,,AC-TR,,
2028790156,BILLINGSLEY TERRACE,,AC-TR,,
2054090139,CAMPBELL DRIVE,,AC-TR,,
3014140089,CARROLL STREET,,AC-TR,,
3017940067,537A GREENE AVENUE,,AC-TR,,
2047740012,WICKHAM AVENUE,,AC-TR,,
3019500010,LAFAYETTE AVENUE,,AC-TR,,
2042620067,MATTHEWS AVENUE,,AC-TR,,
2045440046,LESTER STREET,,AC-TR,,
2027260064,SIMPSON STREET,,AC-TR,,
3023240060,NORTH 6 STREET,,AC-TR,,
2051410440E,CO-OP CITY BOULEVARD,,AC-TR,,
2030970013,CLINTON AVENUE,,AC-TR,,
2044700058,FISH AVENUE,,AC-TR,,
2054120121,OHM AVENUE,,AC-TR,,
