ev_typical_charge_5,num_adults,signup_platform,bike_store_5,bicycle_type_997,scooter_typical_charge_2,bike_change,num_trips,increased_veh_3,reduced_veh_8,increased_veh_4,increased_bike_5,num_days_complete,reduced_veh_6,residence_type,increased_veh_2,bike_store_997,increased_bike_8,reduced_veh_4
995,2,rmove,995,995,995,3,56,995,995,995,995,7,995,4,995,995,995,995
995,4,browser,0,0,995,3,1,995,995,995,995,1,995,4,995,0,995,995
995,2,browser,0,0,995,3,33,995,995,995,995,5,995,5,995,0,995,995
995,3,rmove,0,0,0,3,0,0,995,0,995,7,995,5,0,1,995,995
995,2,browser,0,0,995,3,0,995,995,995,995,1,995,1,995,0,995,995
995,3,rmove,0,0,995,3,43,995,995,995,995,4,995,5,995,0,995,995
995,1,rmove,995,995,995,1,55,995,995,995,995,7,995,5,995,995,995,995
995,2,browser,0,1,995,3,0,995,995,995,995,1,995,4,995,0,995,995
995,1,browser,995,995,995,3,19,995,995,995,995,6,995,5,995,995,995,995
995,2,rmove,995,995,995,3,36,995,995,995,995,7,995,4,995,995,995,995
995,1,browser,995,995,995,3,11,995,995,995,995,1,995,3,995,995,995,995
995,1,rmove,0,1,0,3,49,995,995,995,995,7,995,5,995,0,995,995
995,1,browser,0,0,995,3,2,995,995,995,995,1,995,4,995,0,995,995
995,3,rmove,995,995,995,3,47,995,995,995,995,6,995,3,995,995,995,995
995,2,rmove,995,995,995,3,4,995,995,995,995,6,995,3,995,995,995,995
995,2,browser,0,0,1,3,2,1,995,1,995,1,995,3,0,0,995,995
995,3,browser,0,0,995,3,1,995,995,995,995,1,995,4,995,1,995,995
995,1,browser,0,0,995,3,2,995,995,995,995,1,995,3,995,0,995,995
995,2,rmove,995,995,995,3,54,995,995,995,995,7,995,5,995,995,995,995
995,1,rmove,0,0,995,3,49,995,995,995,995,7,995,5,995,0,995,995
995,2,rmove,995,995,995,3,57,995,995,995,995,5,995,1,995,995,995,995
995,3,rmove,0,0,0,1,48,995,995,995,995,4,995,4,995,0,995,995
995,2,rmove,995,995,995,3,19,995,995,995,995,7,995,5,995,995,995,995
995,2,call,995,995,995,3,0,995,995,995,995,1,995,5,995,995,995,995
995,1,browser,995,995,995,3,29,995,995,995,995,5,995,5,995,995,995,995
995,1,browser,995,995,995,3,0,0,995,0,995,1,995,4,0,995,995,995
995,1,rmove,995,995,995,3,18,995,995,995,995,7,995,2,995,995,995,995
995,2,browser,995,995,995,1,0,995,995,995,995,1,995,4,995,995,995,995
995,2,rmove,0,0,995,3,37,995,995,995,995,7,995,5,995,0,995,995
995,1,rmove,995,995,995,3,23,995,995,995,995,5,995,4,995,995,995,995
995,1,browser,995,995,995,3,0,995,995,995,995,1,995,2,995,995,995,995
995,2,rmove,995,995,995,995,39,995,995,995,995,1,995,995,995,995,995,995
995,2,rmove,995,995,995,3,17,995,995,995,995,7,995,5,995,995,995,995
995,2,rmove,0,0,995,1,27,995,995,995,995,6,995,5,995,0,995,995
995,2,rmove,995,995,995,3,35,995,995,995,995,7,995,2,995,995,995,995
995,1,rmove,0,0,995,2,50,995,995,995,1,7,995,4,995,0,1,995
995,1,call,995,995,995,3,3,995,995,995,995,1,995,6,995,995,995,995
995,2,rmove,0,0,995,2,34,995,995,995,0,7,995,2,995,0,0,995
995,2,rmove,995,995,995,3,61,995,995,995,995,3,995,5,995,995,995,995
995,1,rmove,995,995,995,3,0,995,995,995,995,6,995,4,995,995,995,995
995,3,rmove,995,995,995,995,36,995,995,995,995,1,995,995,995,995,995,995
995,2,rmove,1,0,995,3,10,995,995,995,995,7,995,5,995,0,995,995
995,1,rmove,995,995,995,3,52,995,995,995,995,6,995,5,995,995,995,995
995,3,rmove,995,995,995,3,24,995,995,995,995,6,995,997,995,995,995,995
995,4,browser,995,995,0,3,3,995,995,995,995,1,995,2,995,995,995,995
995,2,rmove,0,0,995,3,40,995,995,995,995,7,995,3,995,0,995,995
995,1,rmove,0,0,995,3,49,995,995,995,995,7,995,3,995,0,995,995
995,2,rmove,0,0,995,3,48,0,995,0,995,7,995,4,0,0,995,995
995,2,browser,995,995,995,3,23,995,995,995,995,7,995,4,995,995,995,995
995,1,rmove,995,995,995,3,94,995,995,995,995,1,995,4,995,995,995,995
995,2,rmove,995,995,995,1,79,995,995,995,995,7,995,4,995,995,995,995
995,3,browser,0,0,995,3,31,995,995,995,995,6,995,4,995,0,995,995
995,1,rmove,995,995,995,3,46,995,995,995,995,6,995,4,995,995,995,995
995,4,rmove,995,995,995,3,45,0,995,0,995,7,995,3,1,995,995,995
995,2,rmove,995,995,995,3,5,995,995,995,995,7,995,4,995,995,995,995
995,1,browser,995,995,995,3,2,995,995,995,995,1,995,3,995,995,995,995
995,1,rmove,995,995,0,1,27,995,995,995,995,6,995,5,995,995,995,995
995,1,browser,995,995,995,3,0,995,995,995,995,1,995,5,995,995,995,995
995,1,rmove,995,995,995,3,53,995,995,995,995,6,995,5,995,995,995,995
995,1,rmove,995,995,995,3,69,995,995,995,995,3,995,4,995,995,995,995
995,2,rmove,995,995,995,3,35,995,995,995,995,6,995,3,995,995,995,995
995,1,browser,0,0,995,3,4,995,995,995,995,1,995,1,995,0,995,995
995,2,rmove,995,995,995,3,48,995,995,995,995,7,995,3,995,995,995,995
