scooter_typical_charge_4,ev_typical_charge_997,reduced_bike_997,num_bicycles,income_broad,scooter_typical_charge_997,num_complete_tue,ev_purchase_barriers_2,scooter_typical_charge_7,reduced_veh_5,num_workers,num_complete_sun,ev_purchase_barriers_4
995,995,995,0,999,995,1,995,995,995,2,1,995
995,995,995,1,3,995,0,995,995,995,2,0,995
995,995,995,1,5,995,1,1,995,995,1,1,0
0,995,995,2,4,0,1,995,0,995,2,1,995
995,995,995,1,4,995,0,1,995,995,2,0,0
995,995,995,1,2,995,0,995,995,995,1,1,995
995,995,0,0,1,995,1,995,995,995,0,1,995
995,995,995,2,6,995,1,995,995,995,1,0,995
995,995,995,0,2,995,1,1,995,995,0,1,0
995,995,995,0,4,995,1,0,995,995,2,1,1
995,995,995,0,2,995,0,995,995,995,0,0,995
0,995,995,1,2,0,1,995,0,995,1,1,995
995,995,995,4,2,995,0,995,995,995,1,0,995
995,995,995,0,4,995,1,995,995,995,0,1,995
995,995,995,0,1,995,0,995,995,995,1,1,995
0,995,995,2,999,0,1,995,0,995,1,0,995
995,995,995,2,2,995,0,0,995,995,1,0,0
995,995,995,1,5,995,0,1,995,995,1,0,0
995,995,995,0,4,995,1,0,995,995,1,1,0
995,995,995,1,2,995,1,995,995,995,1,1,995
995,995,995,0,999,995,1,995,995,995,2,0,995
0,995,0,1,3,0,0,0,0,995,2,1,0
995,995,995,0,5,995,1,995,995,995,2,1,995
995,995,995,0,3,995,1,995,995,995,1,0,995
995,995,995,0,2,995,1,0,995,995,1,1,0
995,995,995,0,4,995,1,995,995,995,1,0,995
995,995,995,0,4,995,1,995,995,995,1,1,995
995,995,1,0,3,995,0,995,995,995,2,0,995
995,995,995,2,5,995,1,995,995,995,1,1,995
995,995,995,0,2,995,0,995,995,995,1,1,995
995,995,995,0,5,995,0,995,995,995,0,0,995
995,995,995,995,8,995,0,995,995,995,2,0,995
995,995,995,0,2,995,1,995,995,995,2,1,995
995,995,1,1,5,995,1,995,995,995,1,1,995
995,995,995,0,3,995,1,0,995,995,1,1,0
995,995,995,1,7,995,1,995,995,995,1,1,995
995,995,995,0,2,995,0,995,995,995,0,0,995
995,995,995,3,4,995,1,995,995,995,1,1,995
995,995,995,0,2,995,1,995,995,995,1,1,995
995,995,995,0,999,995,1,995,995,995,0,1,995
995,995,995,995,4,995,0,995,995,995,3,0,995
995,995,995,4,5,995,1,995,995,995,2,1,995
995,995,995,0,4,995,1,995,995,995,1,1,995
995,995,995,0,5,995,1,0,995,995,2,1,0
0,995,995,0,6,0,0,1,0,995,2,0,0
995,995,995,1,8,995,1,995,995,995,2,1,995
995,995,995,1,1,995,1,995,995,995,1,1,995
995,995,995,2,6,995,1,995,995,995,2,1,995
995,995,995,0,5,995,1,0,995,995,2,1,1
995,995,995,0,1,995,1,995,995,995,0,0,995
995,995,995,2,5,995,1,995,995,995,1,1,995
995,995,995,0,1,995,1,995,995,995,0,1,995
995,995,995,0,5,995,1,995,995,995,2,0,995
0,995,995,0,1,0,0,995,0,995,1,0,995
995,995,995,0,2,995,1,995,995,995,1,1,995
995,995,995,0,1,995,0,995,995,995,0,0,995
995,995,995,2,3,995,1,995,995,0,3,0,995
995,995,995,0,999,995,0,995,995,995,1,0,995
995,995,995,0,5,995,0,995,995,995,1,0,995
995,995,995,0,4,995,1,1,995,995,2,1,1
995,995,995,0,1,995,1,995,995,995,0,1,995
0,995,0,1,1,0,1,995,0,995,0,1,995
995,995,995,0,7,995,1,995,995,995,2,1,995
995,995,995,5,8,995,1,995,995,995,2,1,995
995,995,995,1,2,995,0,995,995,995,2,0,995
995,995,995,0,4,995,1,995,995,0,2,1,995
995,995,995,3,6,995,1,995,995,995,2,1,995
995,995,995,4,6,995,0,995,995,995,2,0,995
995,995,995,5,4,995,1,1,995,995,0,1,1
995,995,995,0,3,995,1,995,995,995,1,1,995
995,995,995,2,3,995,0,995,995,995,2,0,995
995,995,995,2,6,995,0,0,995,995,1,0,1
995,995,995,1,5,995,1,0,995,995,1,1,0
995,995,995,0,4,995,1,995,995,995,2,1,995
995,995,995,1,5,995,1,995,995,995,3,1,995
995,995,995,0,999,995,1,995,995,995,1,1,995
995,995,995,0,2,995,1,995,995,995,1,1,995
995,995,995,0,5,995,1,0,995,995,2,1,0
995,995,995,0,999,995,0,0,995,995,1,0,0
995,995,995,0,3,995,1,995,995,995,2,1,995
995,995,995,1,1,995,1,995,995,995,1,1,995
995,995,995,0,3,995,1,995,995,995,0,0,995
995,995,995,0,3,995,1,995,995,995,1,1,995
995,995,0,0,1,995,1,0,995,995,0,1,1
0,995,995,1,1,0,1,0,0,0,1,1,0
995,995,995,0,3,995,0,995,995,995,3,0,995
995,995,995,2,5,995,1,995,995,995,2,1,995
995,995,995,0,2,995,1,995,995,995,0,1,995
0,995,995,2,6,0,1,995,0,995,2,0,995
995,995,995,0,3,995,0,995,995,995,1,1,995
0,995,995,2,5,0,1,995,0,995,2,1,995
995,995,995,0,3,995,0,1,995,995,1,0,0
995,995,995,0,4,995,0,995,995,995,1,0,995
995,995,995,0,4,995,0,0,995,995,1,0,0
995,995,995,0,4,995,1,995,995,995,1,1,995
995,995,995,0,999,995,1,1,995,995,1,1,1
995,995,995,0,3,995,1,995,995,995,1,1,995
995,995,995,2,1,995,1,995,995,995,2,1,995
