two_spirit_native_american,native_hawaiian_or_other_1,non_binary_not_female_or,asian_percentage,asian_count
0.0,0.21,0.0,19.93,558
,0.0,,0.0,0
,0.0,,0.0,0
0.0,0.0,0.0,0.46,13
0.0,0.0,0.0,0.03,1
0.0,0.07,0.0,5.89,165
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,3.17,89
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
,0.0,,0.06,1
0.0,0.0,0.0,0.0,0
0.0,0.42,0.0,9.1,255
,0.0,,0.61,10
0.0,0.07,0.0,29.86,836
0.0,0.21,0.0,8.57,240
0.0,0.0,0.0,0.0,0
0.0,0.21,0.0,0.17,5
0.0,0.0,0.0,0.14,4
0.0,0.03,0.0,10.89,305
,0.0,,0.0,0
,0.0,,0.06,1
0.0,0.03,0.0,0.0,0
0.0,0.0,0.0,3.75,105
,0.0,,0.03,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.39,11
0.0,0.28,0.0,1.0,28
,0.0,,0.12,2
0.0,0.0,0.0,0.35,10
,0.0,,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.14,4
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.25,7
0.0,0.0,0.0,0.25,7
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.1,0.0,3.03,85
,0.0,,0.0,0
,0.0,,2.23,36
0.0,0.0,0.0,0.0,0
,0.0,,0.0,0
0.0,0.03,1.0,0.07,2
0.0,0.0,0.0,0.82,23
0.0,0.0,0.0,0.07,2
0.0,0.0,0.0,0.14,4
0.0,0.0,0.0,1.53,43
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.07,2
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.1,3
0.0,0.07,0.0,4.32,121
,0.0,,0.0,0
0.0,0.1,1.0,0.25,7
0.0,0.03,0.0,0.14,4
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.39,11
,0.37,,0.49,8
0.0,0.0,0.0,0.0,0
,0.12,,0.68,11
,0.0,,0.06,1
,0.0,,0.06,1
0.0,0.0,0.0,0.0,0
0.0,0.25,0.0,11.53,323
0.0,0.0,0.0,0.14,4
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
,0.0,,0.55,9
0.0,0.0,0.0,0.21,6
,0.0,,1.42,23
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
,0.49,,10.41,168
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.57,16
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.03,1
,0.0,,0.0,0
,0.0,,0.0,0
,0.37,,0.06,1
,0.0,,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.03,1
,0.0,,0.24,4
0.0,0.0,0.0,0.03,1
,0.0,,0.06,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
,0.06,,0.3,5
0.0,0.0,0.0,7.1,199
0.0,0.0,0.0,0.25,7
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.0,0
,0.0,,2.78,45
0.0,0.0,0.0,0.14,4
,0.12,,0.37,6
0.0,0.0,0.0,0.03,1
,0.49,,0.12,2
1.0,0.07,9.0,0.32,9
,0.0,,0.24,4
0.0,0.0,0.0,0.0,0
0.0,0.42,0.0,11.64,326
0.0,0.0,0.0,0.07,2
0.0,0.0,0.0,0.07,2
,0.37,,1.54,25
,0.0,,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.28,8
,0.0,,0.12,2
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.1,3
,0.18,,0.12,2
,0.0,,0.0,0
0.0,0.14,0.0,13.25,371
0.0,0.0,0.0,0.0,0
,0.0,,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.32,0.0,0.25,7
,0.0,,0.18,3
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.82,23
0.0,0.0,0.0,0.14,4
0.0,0.03,0.0,0.78,22
0.0,0.0,0.0,1.85,52
,0.0,,0.0,0
0.0,0.0,0.0,0.0,0
,0.0,,0.0,0
0.0,0.03,0.0,0.03,1
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.03,1
,0.0,,0.18,3
0.0,0.14,0.0,6.53,183
,0.0,,0.0,0
0.0,0.0,0.0,0.14,4
,0.0,,0.0,0
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.0,0
,0.0,,0.49,8
,0.0,,0.0,0
,0.0,,0.0,0
0.0,0.03,0.0,8.07,226
0.0,0.0,0.0,0.03,1
,0.0,,0.61,10
0.0,0.0,0.0,0.0,0
,0.0,,0.0,0
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.32,37
,0.12,,0.24,4
0.0,0.14,0.0,2.28,64
,0.0,,0.0,0
,0.0,,0.18,3
0.0,0.0,0.0,0.0,0
,0.0,,1.3,21
0.0,0.25,2.0,0.64,18
1.0,0.0,0.0,0.53,15
,0.18,,0.18,3
,0.06,,0.24,4
0.0,0.03,0.0,0.46,13
0.0,0.0,0.0,0.1,3
0.0,0.0,0.0,0.07,2
,0.0,,0.06,1
,0.0,,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.03,1
0.0,0.0,0.0,0.89,25
,0.0,,0.43,7
1.0,0.03,0.0,8.21,230
0.0,0.1,0.0,0.21,6
0.0,0.0,0.0,0.0,0
0.0,0.03,0.0,0.1,3
0.0,0.0,0.0,0.03,1
0.0,0.14,0.0,4.67,131
0.0,0.1,1.0,0.75,21
,0.12,,8.98,145
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.14,4
