not_sure_gender_identity_1,non_binary_not_female_or_1,decline_to_answer_count,programtypename,multi_race_count,two_spirit_native_american_1,american_indian_or_alaskan_1,another_gender_count,black_or_african_american
0.03,0.0,123.0,Beacon,27,0.0,0.32,0.0,76
,,,COMPASS Explore,0,,0.0,,12
,,,Adult Literacy - BENL/ESOL,1,,0.0,,3
0.0,0.0,6.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.03,0.0,1
0.0,0.0,0.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),1,0.0,0.0,0.0,7
0.0,0.0,37.0,COMPASS Middle School,47,0.0,0.82,0.0,64
0.0,0.0,0.0,Adult Literacy - BENL/ESOL,0,0.0,0.0,0.0,0
0.0,0.0,1.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,0
0.0,0.0,0.0,Adult Literacy - ABE/HSE,3,0.0,0.0,0.0,10
0.0,0.0,3.0,Adult Literacy - BENL/ESOL,0,0.0,0.03,0.0,14
,,,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,,0.12,,25
0.0,0.0,6.0,Cornerstone,2,0.0,0.0,0.0,69
0.0,0.0,0.0,COMPASS Elementary,42,0.0,0.6,0.0,90
,,,Adult Literacy - BENL/ESOL (Discretionary),0,,0.0,,0
0.03,0.0,13.0,COMPASS Middle School,44,0.0,0.21,0.0,41
0.0,0.0,89.0,Cornerstone,35,0.0,0.25,0.0,355
0.0,0.0,0.0,Adult Literacy - ABE/HSE,0,0.0,0.0,0.0,7
0.03,0.0,78.0,Beacon,13,0.0,0.25,0.0,299
0.0,0.0,0.0,COMPASS High School,1,0.0,0.0,0.0,0
0.0,0.0,10.0,COMPASS Middle School,34,0.0,0.32,0.0,34
,,,Adult Literacy - ABE/HSE (Discretionary),0,,0.0,,1
,,,Adult Literacy - BENL/ESOL,0,,0.0,,3
0.0,0.0,0.0,Adult Literacy - ABE/HSE,3,0.0,0.0,0.0,7
0.0,0.0,45.0,Beacon,0,0.0,0.03,0.0,46
,,,Beacon,0,,0.0,,0
0.0,0.0,4.0,COMPASS Explore,1,0.0,0.0,0.0,15
0.03,0.0,0.0,COMPASS Explore,9,0.0,0.0,0.0,30
0.35,0.0,35.0,COMPASS Middle School,56,0.0,0.89,0.0,1154
,,,Cornerstone,3,,0.06,,81
0.0,0.0,1.0,Cornerstone,0,0.0,0.14,0.0,3
,,,Cornerstone,0,,0.0,,2
0.0,0.0,1.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,0.0,0.0,0.0,0
0.0,0.0,0.0,COMPASS High School,0,0.0,0.0,0.0,21
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,0
0.0,0.0,0.0,Adult Literacy - ABE/HSE,1,0.0,0.0,0.0,0
0.0,0.0,0.0,Drop-in Centers,1,0.0,0.0,0.0,1
0.0,0.0,0.0,Adult Literacy - ABE/HSE,0,0.0,0.0,0.0,0
0.0,0.0,24.0,COMPASS Explore,2,0.0,0.07,0.0,53
0.0,0.0,0.0,COMPASS High School,0,0.0,0.0,0.0,2
0.0,0.0,0.0,Drop-in Centers,0,0.0,0.0,0.0,2
0.0,0.0,0.0,Drop-in Centers,0,0.0,0.0,0.0,5
0.71,0.0,26.0,COMPASS Middle School,62,0.0,0.5,0.0,873
,,,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,,0.0,,14
,,,Beacon,11,,0.18,,209
0.0,0.0,0.0,Drop-in Centers,0,0.0,0.0,0.0,1
,,,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,,0.0,,19
0.0,0.03,0.0,Adult Literacy - BENL/ESOL,0,0.0,0.0,0.0,0
