violationid,novdescription,longitude,approveddate,newcertifybydate,bbl,boroid,buildingid,story,apartment,currentstatusdate
10009882,§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING (1) BALUSTER AT THE 5TH TREAD FROM 2ND STORY INTERMEDIATE LANDING AT PUBLIC HALL STAIRS,-73.881176,2013-10-19T00:00:00.000,,2031270080.0,2,118536,0,,2013-12-06T00:00:00.000
10204249,"§ 27-2046.1, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT LOCATED AT APT D9A, 9th STORY, 3rd APARTMENT FROM SOUTH AT WEST",-73.955991,2014-04-11T00:00:00.000,,1020019005.0,1,929104,9,D9A,2015-10-30T00:00:00.000
10525672,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM,-73.948414,2015-02-02T00:00:00.000,,1020760046.0,1,41989,0,,2022-07-25T00:00:00.000
10413183,§ 27-2142 ADM CODE APTS HAVE BEEN VACATED BY THIS DEPARTMENT AND CANNOT BE REOCCUPIED UNTIL SO ORDERED AFTER PROOF OF COMPLIANCE FOR APTS FIRE DAMAGED 6TH STORY SOUTH 2 APT #66,-73.952457,2014-10-16T00:00:00.000,,1018220024.0,1,28108,0,,2015-02-19T00:00:00.000
10476008,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE EAST WALL, SOUTH WALL, NORTH WALL, CEILING, 1st DOOR FROM NORTH AT EAST WALL, 1st DOOR FRAME FROM NORTH AT EAST WALL IN THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT 23, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.952457,2014-12-13T00:00:00.000,,1018220024.0,1,28108,2,23,2015-04-10T00:00:00.000
10183478,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 4B, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",-73.884848,2014-03-24T00:00:00.000,,2031030026.0,2,49163,2,4B,2014-05-15T00:00:00.000
10036072,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE KITCHEN LOCATED AT APT 5, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",-73.894768,2013-11-14T00:00:00.000,,3038210051.0,3,369279,3,5,2016-02-03T00:00:00.000
10360417,"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE METAL LINTELS OVER WINDOWS (TOTAL 2) AT EAST FACADE , 2nd STORY",-73.894768,2014-08-28T00:00:00.000,,3038210051.0,3,369279,2,,2015-05-06T00:00:00.000
10113296,"§ 27-2046.1, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT LOCATED AT APT 4R, 4th STORY, APARTMENT AT WEST",-73.940072,2014-01-29T00:00:00.000,,3015790021.0,3,288941,4,4R,2014-05-01T00:00:00.000
10011658,"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING AND WALLS IN THE CLOSET IN THE PRIVATE HALLWAY LOCATED AT APT 1A, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",-73.891485,2013-10-22T00:00:00.000,,2029760092.0,2,110036,1,1A,2014-09-11T00:00:00.000
10067038,"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR MISSING IN THE ENTIRE APARTMENT LOCATED AT APT 6, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",-73.909725,2013-12-16T00:00:00.000,,4013230006.0,4,443649,3,6,2015-10-21T00:00:00.000
10150870,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE WINDOW SASHES TOP AND BOTTOM IN THE ENTIRE APARTMENT LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT WEST",-73.917891,2014-03-02T00:00:00.000,,2028770516.0,2,122162,1,1A,2015-05-04T00:00:00.000
10258985,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 6J, 6th STORY, 1st APARTMENT FROM NORTH AT EAST",-73.964661,2014-05-29T00:00:00.000,,3050580057.0,3,227953,6,6J,2014-09-26T00:00:00.000
10520500,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING LOCATED AT APT 35, 3rd STORY, 2nd APARTMENT FROM EAST AT SOUTH",-73.952457,2015-01-29T00:00:00.000,,1018220024.0,1,28108,3,35,2015-05-28T00:00:00.000
10360419,"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE METAL LINTELS OVER 1ST, 2ND & 3RD WINDOWS FROM WEST (TOTAL 3) AT SOUTH FACADE , 1st STORY",-73.894768,2014-08-28T00:00:00.000,,3038210051.0,3,369279,1,,2015-05-06T00:00:00.000
