category,ell_bengali_1,year,ela_l3_l4_2,ell_other_2,ela_level_2_2,math_l3_l4_2,hispanic_1,other_2,ell_arabic_1
Students with Disabilities,No Data,2016-17,12.0%,No Data,33.5,s,257,1.5%,No Data
Receive free or reduced price lunch,No Data,2016-17,41.3%,No Data,39.5,25.8%,13489,2.2%,No Data
All Students,No Data,2016-17,35.1%,No Data,42.9,17.9%,2511,3.1%,No Data
Enrolled over the Counter,No Data,2016-17,29.3%,No Data,37.3,s,1219,1.9%,No Data
Students with Disabilities,No Data,2016-17,14.4%,No Data,42.4,7.6%,3158,2.6%,No Data
Enrolled over the Counter,No Data,2016-17,s,No Data,46.3,s,218,1.3%,No Data
Students with Disabilities,No Data,2016-17,s,No Data,33.3,s,68,1.9%,No Data
Receive free or reduced price lunch,No Data,2016-17,50.0%,No Data,34.1,39.5%,957,1.0%,No Data
Receive free or reduced price lunch,No Data,2016-17,19.6%,No Data,45.1,8.3%,1665,1.9%,No Data
Reside in temporary housing,No Data,2016-17,23.8%,No Data,47.6,s,268,s,No Data
Receive free or reduced price lunch,No Data,2016-17,46.5%,No Data,35.5,28.3%,2545,2.2%,No Data
Reside in temporary housing,No Data,2016-17,s,No Data,36.8,s,504,1.7%,No Data
Students with Disabilities,No Data,2016-17,s,No Data,35.1,s,1883,1.3%,No Data
All Students,No Data,2016-17,23.4%,No Data,42.3,13.9%,5079,1.1%,No Data
Reside in temporary housing,No Data,2016-17,s,No Data,37.5,s,195,s,No Data
Reside in temporary housing,No Data,2016-17,s,No Data,42.0,s,721,s,No Data
Students with Disabilities,No Data,2016-17,12.6%,No Data,43.8,s,295,1.0%,No Data
Receive free or reduced price lunch,No Data,2016-17,56.4%,No Data,30.1,46.5%,1162,1.3%,No Data
Enrolled over the Counter,No Data,2016-17,s,No Data,39.4,s,154,1.9%,No Data
English Language Learners,103,2016-17,s,7.9%,19.9,12.3%,791,0.7%,291
Enrolled over the Counter,No Data,2016-17,s,No Data,51.9,s,71,s,No Data
Enrolled over the Counter,No Data,2016-17,s,No Data,44.7,s,1127,4.3%,No Data
English Language Learners,64,2016-17,s,7.0%,17.6,s,842,1.7%,131
Reside in temporary housing,No Data,2016-17,22.7%,No Data,40.2,12.9%,309,1.6%,No Data
Receive free or reduced price lunch,No Data,2016-17,28.7%,No Data,41.3,13.4%,3962,1.0%,No Data
Receive free or reduced price lunch,No Data,2016-17,27.1%,No Data,45.7,s,356,3.1%,No Data
English Language Learners,47,2016-17,s,12.5%,27.9,24.8%,217,0.8%,10
All Students,No Data,2016-17,40.5%,No Data,36.8,17.3%,1301,3.1%,No Data
Reside in temporary housing,No Data,2016-17,29.4%,No Data,38.7,20.3%,1439,1.3%,No Data
Reside in temporary housing,No Data,2016-17,21.5%,No Data,36.4,10.1%,1222,1.2%,No Data
Students with Disabilities,No Data,2016-17,s,No Data,30.9,s,1267,1.1%,No Data
All Students,No Data,2016-17,34.0%,No Data,43.0,27.6%,2872,2.2%,No Data
Students with Disabilities,No Data,2016-17,s,No Data,40.6,s,1144,1.0%,No Data
Reside in temporary housing,No Data,2016-17,s,No Data,43.2,s,231,s,No Data
Students with Disabilities,No Data,2016-17,s,No Data,42.8,s,704,1.5%,No Data
Reside in temporary housing,No Data,2016-17,23.2%,No Data,37.8,s,129,1.5%,No Data
Enrolled over the Counter,No Data,2016-17,31.1%,No Data,49.1,s,798,s,No Data
All Students,No Data,2016-17,23.6%,No Data,43.9,12.5%,4376,2.0%,No Data
Students with Disabilities,No Data,2016-17,s,No Data,25.6,s,95,s,No Data
Receive free or reduced price lunch,No Data,2016-17,44.2%,No Data,39.6,26.6%,3344,4.0%,No Data
Receive free or reduced price lunch,No Data,2016-17,19.9%,No Data,43.4,9.0%,4419,2.1%,No Data
Students with Disabilities,No Data,2016-17,s,No Data,27.8,s,238,1.6%,No Data
Enrolled over the Counter,No Data,2016-17,s,No Data,61.5,s,260,s,No Data
Reside in temporary housing,No Data,2016-17,s,No Data,33.0,s,562,0.8%,No Data
English Language Learners,s,2016-17,s,s,15.3,s,498,s,25
