ell_bengali_2,math_test_takers,ela_l3_l4_1,ell_spanish_1,ell_korean_2,black_2,math_l3_l4_1,ell_arabic_2,ell_urdu_1,ell_russian_2,ela_level_4_2,ela_test_takers,math_level_3_2,white_2,math_level_2_2
No Data,252,33,No Data,No Data,66.5,s,No Data,No Data,No Data,2.2%,275,s,4.3%,18.3%
No Data,4989,2380,No Data,No Data,23.8,1286,No Data,No Data,No Data,13.3%,5769,14.7%,5.5%,36.5%
No Data,1146,463,No Data,No Data,41.0,205,No Data,No Data,No Data,8.6%,1319,12.9%,9.8%,36.0%
No Data,70,22,No Data,No Data,29.6,s,No Data,No Data,No Data,8.0%,75,s,12.5%,24.3%
No Data,1276,197,No Data,No Data,27.6,97,No Data,No Data,No Data,1.8%,1371,6.2%,10.1%,28.1%
No Data,36,s,No Data,No Data,24.5,s,No Data,No Data,No Data,s,41,s,29.7%,47.2%
No Data,124,s,No Data,No Data,83.8,s,No Data,No Data,No Data,s,141,s,1.9%,14.5%
No Data,266,167,No Data,No Data,21.2,105,No Data,No Data,No Data,15.6%,334,22.9%,4.4%,31.2%
No Data,840,173,No Data,No Data,54.3,70,No Data,No Data,No Data,3.5%,882,6.9%,1.3%,32.5%
No Data,1421,342,No Data,No Data,27.5,218,No Data,No Data,No Data,3.4%,1454,10.6%,1.2%,29.0%
No Data,1107,327,No Data,No Data,14.7,158,No Data,No Data,No Data,5.7%,1106,11.9%,1.5%,37.6%
4.0%,114,s,273,s,45.1,s,11.0%,16,s,s,84,s,9.1%,27.2%
No Data,455,s,No Data,No Data,37.4,s,No Data,No Data,No Data,s,465,s,3.9%,16.5%
No Data,346,73,No Data,No Data,77.7,34,No Data,No Data,No Data,4.4%,367,8.1%,1.6%,32.7%
No Data,85,s,No Data,No Data,5.8,23,No Data,No Data,No Data,s,81,17.6%,10.4%,36.5%
No Data,51,s,No Data,No Data,29.2,s,No Data,No Data,No Data,s,49,s,2.7%,29.4%
No Data,73,s,No Data,No Data,58.8,s,No Data,No Data,No Data,s,80,s,3.4%,34.2%
No Data,435,s,No Data,No Data,8.1,13,No Data,No Data,No Data,s,444,1.6%,11.4%,29.9%
2.2%,354,s,1671,s,9.8,s,2.4%,s,s,s,273,s,1.4%,20.3%
No Data,1842,848,No Data,No Data,19.6,405,No Data,No Data,No Data,12.6%,2164,13.6%,32.6%,37.9%
No Data,33,s,No Data,No Data,33.9,s,No Data,No Data,No Data,s,39,s,15.3%,36.4%
No Data,131,s,No Data,No Data,31.9,s,No Data,No Data,No Data,s,156,s,5.9%,34.4%
No Data,49,s,No Data,No Data,32.4,s,No Data,No Data,No Data,s,54,s,7.4%,30.6%
No Data,98,41,No Data,No Data,40.4,21,No Data,No Data,No Data,12.0%,108,13.3%,3.4%,37.8%
No Data,1000,299,No Data,No Data,31.7,146,No Data,No Data,No Data,6.6%,1130,8.9%,3.2%,36.6%
s,14,s,39,s,28.9,s,15.8%,s,s,s,9,s,s,s
No Data,716,446,No Data,No Data,22.1,268,No Data,No Data,No Data,16.4%,859,22.6%,4.2%,29.5%
No Data,2415,913,No Data,No Data,6.7,777,No Data,No Data,No Data,8.1%,2481,22.6%,25.4%,40.5%
No Data,195,53,No Data,No Data,33.2,36,No Data,No Data,No Data,6.1%,196,14.4%,16.4%,37.4%
No Data,11,s,No Data,No Data,24.2,s,No Data,No Data,No Data,s,12,s,s,s
No Data,108,51,No Data,No Data,36.0,40,No Data,No Data,No Data,16.2%,111,17.6%,22.5%,31.5%
No Data,115,21,No Data,No Data,77.3,s,No Data,No Data,No Data,5.0%,119,s,2.6%,40.0%
No Data,1426,598,No Data,No Data,8.7,344,No Data,No Data,No Data,9.7%,1542,16.5%,12.0%,42.5%
No Data,29,s,No Data,No Data,80.4,s,No Data,No Data,No Data,s,43,s,s,s
No Data,1075,166,No Data,No Data,26.0,56,No Data,No Data,No Data,1.8%,1105,4.3%,1.3%,27.3%
No Data,98,s,No Data,No Data,83.2,s,No Data,No Data,No Data,s,177,s,0.9%,27.6%
No Data,1506,346,No Data,No Data,36.6,180,No Data,No Data,No Data,3.2%,1537,8.5%,4.7%,32.3%
1.5%,153,s,114,s,,s,6.8%,79,24.0%,s,113,s,41.0%,41.2%
3.0%,247,s,833,0.9%,1.5,48,1.8%,44,s,s,196,16.6%,3.4%,34.8%
No Data,449,s,No Data,No Data,32.8,22,No Data,No Data,No Data,s,499,3.3%,12.1%,25.6%
No Data,2077,979,No Data,No Data,5.9,669,No Data,No Data,No Data,9.8%,2318,20.8%,9.7%,38.4%
11.8%,220,s,866,s,,s,7.2%,28,s,s,174,s,8.5%,31.4%
No Data,1964,1744,No Data,No Data,39.7,1015,No Data,No Data,No Data,32.6%,2672,14.1%,12.2%,23.1%
No Data,1605,835,No Data,No Data,16.3,424,No Data,No Data,No Data,14.8%,2006,17.6%,9.4%,42.2%
No Data,356,s,No Data,No Data,27.4,s,No Data,No Data,No Data,s,369,s,1.6%,19.7%
No Data,286,s,No Data,No Data,30.7,s,No Data,No Data,No Data,s,295,s,0.9%,10.1%
