fy_2017,fy_2020,fy_2014,fy_1997,fy_1996,fy_2009,fy_2019,actual_full_time_positions_by_city_agency,fy_2013
10,10,11.0,14.0,14.0,11.0,11,Public Administrator - Manhattan,10.0
53,51,44.0,38.0,38.0,47.0,52,Department of Cultural Affairs,45.0
1600,1713,1354.0,1131.0,1066.0,1277.0,1714,Law Department,1294.0
0,0,0.0,539.0,598.0,761.0,0,Department of Juvenile Justice,0.0
1415,1515,1296.0,1280.0,1251.0,1233.0,1440,District Attorney  - Manhattan,1292.0
2341,2119,1856.0,2170.0,2365.0,2026.0,2318,Department of Homeless Services,1827.0
1006,1038,813.0,770.0,757.0,787.0,1054,District Attorney  - Bronx,785.0
967,1116,958.0,1563.0,1585.0,1147.0,1159,Department of Probation,950.0
1497,1676,1037.0,607.0,528.0,1183.0,1611,Department of Buildings,1023.0
166,191,152.0,123.0,104.0,175.0,168,Civilian Complaint Review Board,157.0
295455,300446,271767.0,236952.0,235069.0,280614.0,300442,Total,269774.0
0,0,0.0,0.0,156.0,0.0,0,Teachers Retirement System,0.0
1075,1231,842.0,955.0,1024.0,928.0,1182,Mayoralty,875.0
0,0,0.0,0.0,0.0,0.0,0,Districting Commission,0.0
482,546,378.0,197.0,71.0,384.0,480,Dept. of Youth and Community Development,355.0
5748,5891,5547.0,5497.0,5859.0,5785.0,5920,Department of Environmental Protection,5567.0
78,81,64.0,0.0,0.0,65.0,76,Business Integrity Commission,72.0
107,127,61.0,140.0,154.0,77.0,129,Human Rights Commission,59.0
143,211,98.0,86.0,89.0,94.0,162,District Attorney - Staten Island,99.0
274,302,237.0,0.0,0.0,0.0,310,Office of Administrative Trials and Hearings,238.0
1729,1741,1353.0,1617.0,1576.0,1420.0,1749,Department of Correction - Civilian,1358.0
0,0,0.0,0.0,0.0,0.0,0,Firearms Control Board,0.0
1349,1256,1192.0,1239.0,0.0,1094.0,1307,Department of Design and Construction,1142.0
62,64,62.0,92.0,91.0,69.0,61,Borough President - Brooklyn,55.0
