fy_2012,fy_1984,fy_2003,fy_2000,fy_1980,fy_1994,fy_1995,fy_1986,fy_2010
10.0,13.0,12.0,14.0,13.0,14.0,13.0,14.0,11.0
43.0,37.0,31.0,33.0,57.0,47.0,37.0,36.0,45.0
1265.0,965.0,1163.0,1171.0,872.0,1028.0,1004.0,981.0,1265.0
0.0,556.0,720.0,762.0,488.0,626.0,575.0,570.0,671.0
1279.0,878.0,1247.0,1251.0,706.0,1229.0,1226.0,997.0,1296.0
26.0,55.0,23.0,44.0,58.0,46.0,42.0,54.0,35.0
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
39.0,26.0,26.0,28.0,16.0,37.0,36.0,29.0,35.0
10260.0,12383.0,10881.0,11521.0,11374.0,11344.0,11186.0,12485.0,11080.0
78.0,0.0,55.0,41.0,0.0,32.0,33.0,0.0,80.0
0.0,3616.0,0.0,0.0,2806.0,4841.0,0.0,4246.0,0.0
14238.0,5779.0,9024.0,8984.0,4278.0,7081.0,6611.0,6179.0,14646.0
225.0,361.0,251.0,260.0,1469.0,290.0,276.0,397.0,253.0
11.0,16.0,12.0,16.0,13.0,20.0,10.0,16.0,12.0
193.0,139.0,103.0,152.0,200.0,185.0,172.0,168.0,243.0
6.0,0.0,9.0,9.0,0.0,5.0,8.0,0.0,8.0
108.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,107.0
46.0,109.0,65.0,84.0,97.0,93.0,93.0,126.0,51.0
435.0,226.0,358.0,370.0,160.0,453.0,389.0,331.0,375.0
0.0,472.0,0.0,0.0,480.0,477.0,383.0,515.0,0.0
4.0,0.0,4.0,4.0,0.0,3.0,5.0,0.0,4.0
340.0,299.0,310.0,307.0,286.0,357.0,297.0,299.0,341.0
8540.0,6041.0,9533.0,10886.0,3980.0,10857.0,10536.0,7008.0,8772.0
