brooklyn_cooperatives_comparable_properties_address,bin,postcode,brooklyn_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_year_built,longitude,community_council,comparable_rental_1_gross_sqft,comparable_rental_1_estimated_expense,comparable_rental_1_full_market_value,comparable_rental_3_building_classification,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_3_estimated_gross_income,comparable_rental_3_net_operating_income,comparable_rental_1_address,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,nta,brooklyn_cooperatives_comparable_properties_net_operating_income,brooklyn_cooperatives_comparable_properties_estimated_expense,comparable_rental_2_boro_block_lot,comparable_rental_3_neighborhood,latitude
"{'latitude': '40.68576076322', 'longitude': '-73.98999898871', 'human_address': '{""address"": ""95 WYCKOFF STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3005822.0,11201.0,9.65,1915.0,-73.989969,33.0,8400,65830.0,660000,C1-WALK-UP,"{'latitude': '40.683305807784', 'longitude': '-73.98156798279', 'human_address': '{""address"": ""303 BERGEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","636,000","159,624","86,904","{'latitude': '40.686083256249', 'longitude': '-73.988926743576', 'human_address': '{""address"": ""122 BERGEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00385-0029,BOERUM HILL,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,109951,84746,3-00198-0065,BOERUM HILL,40.685726
"{'latitude': '40.595909433594', 'longitude': '-73.996405288616', 'human_address': '{""address"": ""8835 23 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3186506.0,11214.0,6.35,1963.0,-73.996514,47.0,89448,697694.0,4607000,D1-ELEVATOR,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""268 BAY 38 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,119,000","910,805","455,403","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""275 BAY 37 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06928-0044,GRAVESEND,Bensonhurst East                                                           ,383418,272034,3-06928-0050,GRAVESEND,40.595849
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""403 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.84,1941.0,,,51426,313752.0,1628000,D1-ELEVATOR,"{'latitude': '40.641947835844', 'longitude': '-73.973526147057', 'human_address': '{""address"": ""305 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,485,000","577,000","247,810","{'latitude': '40.641179654402', 'longitude': '-73.973996764547', 'human_address': '{""address"": ""330 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05357-0045,OCEAN PARKWAY-NORTH,,249669,348179,3-05358-0071,OCEAN PARKWAY-NORTH,
"{'latitude': '40.689515855583', 'longitude': '-73.917400167813', 'human_address': '{""address"": ""1149 PUTNAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3077002.0,11221.0,6.0,1963.0,-73.917266,34.0,130950,776406.0,3355000, ,"{'latitude': '40.680538366428', 'longitude': '-73.8924634909', 'human_address': '{""address"": ""233 JAMAICA AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.679093488017', 'longitude': '-73.940118330764', 'human_address': '{""address"": ""400 HERKIMER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01871-0018,BEDFORD STUYVESANT,Bushwick South                                                             ,165960,216000,3-03896-0035, ,40.689622
"{'latitude': '40.631250376023', 'longitude': '-73.988912455102', 'human_address': '{""address"": ""5100 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3138425.0,11219.0,6.46,1939.0,-73.988976,44.0,139500,591538.0,3278000,D7-ELEVATOR,"{'latitude': '40.632890254626', 'longitude': '-73.988645740552', 'human_address': '{""address"": ""1458 49 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,090,000","815,430","350,882","{'latitude': '40.631804106301', 'longitude': '-73.988336535882', 'human_address': '{""address"": ""5000 15 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05650-0034,BOROUGH PARK,Borough Park                                                               ,582120,767448,3-05643-0031,BOROUGH PARK,40.631168
"{'latitude': '40.69212888201', 'longitude': '-73.979054512296', 'human_address': '{""address"": ""122 ASHLAND PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3058255.0,11201.0,5.42,1928.0,-73.979038,35.0,27702,207277.0,1005000, ,"{'latitude': '40.689170448697', 'longitude': '-73.968000803895', 'human_address': '{""address"": ""295 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.691629725329', 'longitude': '-73.970415267485', 'human_address': '{""address"": ""65 WILLOUGHBY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-02075-0001,FORT GREENE,Fort Greene                                                                ,1024662,1017155,3-01930-0014, ,40.692491
"{'latitude': '40.697783609831', 'longitude': '-73.99558124181', 'human_address': '{""address"": ""115 WILLOW STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001791.0,11201.0,8.41,1923.0,-73.995727,33.0,40178,316121.0,3109000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""63 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.69628435741', 'longitude': '-73.997082555405', 'human_address': '{""address"": ""2 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00241-0020,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,471425,413419,3-00241-0011, ,40.697535
"{'latitude': '40.674485498167', 'longitude': '-73.971414746871', 'human_address': '{""address"": ""20 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3029311.0,11238.0,7.62,1936.0,-73.970301,39.0,92902,622975.0,5357000,D1-ELEVATOR,"{'latitude': '40.676145109919', 'longitude': '-73.970860936377', 'human_address': '{""address"": ""214 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,061,000","389,525","169,792","{'latitude': '40.676161347247', 'longitude': '-73.970667605291', 'human_address': '{""address"": ""215 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01164-0064,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,977135,1071334,3-01169-0019,PROSPECT HEIGHTS,40.675526
"{'latitude': '40.698371498488', 'longitude': '-73.993813628665', 'human_address': '{""address"": ""60 PINEAPPLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3326025.0,11201.0,9.14,1936.0,-73.993591,33.0,47136,392493.0,2405000,D1-ELEVATOR,"{'latitude': '40.698202590446', 'longitude': '-73.99584995323', 'human_address': '{""address"": ""12 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","771,000","185,778","107,298","{'latitude': '40.699265124451', 'longitude': '-73.994165515869', 'human_address': '{""address"": ""35 ORANGE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00220-0016,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,732448,1046027,3-00234-0043,BROOKLYN HEIGHTS,40.698333
"{'latitude': '40.657056768677', 'longitude': '-73.975254183311', 'human_address': '{""address"": ""310 WINDSOR PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3121889.0,11218.0,4.14,1920.0,-73.974317,39.0,23840,154669.0,752000,C7-WALK-UP,"{'latitude': '40.659948802368', 'longitude': '-73.983537821647', 'human_address': '{""address"": ""437 PROSPECT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","877,000","239,079","123,418","{'latitude': '40.65656382008', 'longitude': '-73.976897370521', 'human_address': '{""address"": ""1661 11 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05256-0006,WINDSOR TERRACE,Windsor Terrace                                                            ,73764,129060,3-01113-0079,PARK SLOPE SOUTH,40.656632
