condo_section,address_2,report_year,total_units,boro_block_lot_3
1608-R1,325 WEST 93 STREET,2019,259,1-01253-0035
0600-R1,,2013,12,
0777-R1,278 EAST 10 STREET,2019,20,1-00437-0009
0607-R1,120 RIDGE STREET,2019,28,1-00343-0067
0459-R1,43 WEST 16 STREET,2019,259,1-00818-0019
0512-R1,144 WEST 86 STREET,2019,36,1-01228-0001
0266-R1,210 EAST 35 STREET,2019,174,1-00918-0007
1869-R1,255 WEST 22 STREET,2019,99,1-00771-0068
1947-R1,254 EAST 10 STREET,2019,11,1-00453-0011
0257-R1,218 EAST 72 STREET,2019,66,1-01393-0012
0714-R1,223 EAST 6 STREET,2019,32,1-00453-0011
2058-R1,100 SULLIVAN STREET,2019,8,1-00470-0005
1573-R1,331 EAST 108 STREET,2019,31,1-01639-0057
0707-R1,226 EAST 70 STREET,2019,125,1-01449-0038
0144-R1,57 WEST 175 STREET,2019,51,2-02878-0170
2183-R1,155 EAST 96 STREET,2019,42,1-01660-0038
0050-R2,218 EAST 72 STREET,2019,6,1-01393-0012
1481-R1,515 EAST 82 STREET,2019,32,1-01560-0010
0334-R1,158 WEST 81 STREET,2019,37,1-01200-0043
2022-R1,602 WEST 157 STREET,2019,59,1-02136-0220
0605-R1,312 EAST 92 STREET,2019,197,1-01570-0015
1685-R1,115 EAST 12 STREET,2019,144,1-00558-0018
0099-R1,810 EAST 152 STREET,2019,61,2-02697-0010
0831-R1,529 WEST 111 STREET,2019,137,1-01884-0015
0100-R1,2704 UNIVERSITY AVENUE,2019,40,2-05703-0183
2757-R1,365 WEST END AVENUE,2019,24,1-01165-0056
2668-R1,115 EAST 116 STREET,2019,12,1-01660-0038
2197-R1,920 PARK AVENUE,2019,83,
0674-R1,56 WEST 105 STREET,2019,20,1-01843-0005
0420-R1,20 BEEKMAN PLACE,2019,145,1-01369-0037
2596-R1,260 WEST 52 STREET,2019,57,1-01041-0019
0040-R1,5400 FIELDSTON ROAD,2019,78,2-05793-0467
1319-R1,6 EAST 13 STREET,2019,10,1-00543-0048
2605-R1,352 WEST 46 STREET,2019,109,1-01379-0066
0638-R1,337 WEST 11 STREET,2019,8,1-00635-0042
0600-R1,2527 BROADWAY,2019,354,
2929-R1,320 EAST 65 STREET,2019,151,
2395-R1,153 EAST 32 STREET,2019,8,1-00754-0019
0123-R1,30 CHARLTON STREET,2019,15,1-00462-0035
0660-R1,453 WEST 48 STREET,2019,16,
0295-R1,6 EAST 13 STREET,2019,273,1-00543-0048
2078-R2,2130 ADAM C POWELL BOULEVARD,2019,119,1-01726-0069
0107-R1,9 WEST 73 STREET,2019,11,1-01124-0013
2347-R1,335 WEST 14 STREET,2019,37,1-00716-0055
0273-R1,217 EAST 33 STREET,2019,78,1-00893-0015
0597-R1,155 EAST 29 STREET,2019,232,1-00865-0040
0794-R1,224 WEST 16 STREET,2019,34,1-00766-0050
1121-R1,51 MONROE STREET,2019,270,1-00279-0023
2432-R1,205 2 AVENUE,2019,83,1-00462-0035
0751-R1,2060 5 AVENUE,2019,24,
2737-R1,315 EAST 10 STREET,2019,32,1-00373-0060
1031-R1,12 EAST 22 STREET,2023,38,
0612-R1,56 WEST 65 STREET,2019,423,1-01117-0025
1727-R1,210 WEST 89 STREET,2023,58,
0424-R1,342 EAST 55 STREET,2019,28,1-01343-0005
0308-R1,399 CHAMBERS STREET,2021,239,1-00016-0185
0567-R1,178 THOMPSON STREET,2019,18,1-00552-0014
1445-R1,237 EAST 20 STREET,2019,95,1-00881-0063
1122-R1,258 WEST 22 STREET,2019,22,1-00772-0016
0916-R1,30 CHARLTON STREET,2019,20,1-00470-0005
2657-R1,20 5 AVENUE,2019,24,1-00553-0041
1511-R1,127 WEST 141 STREET,2019,26,1-02050-0113
0081-R1,120 WEST 79 STREET,2019,87,1-01186-0083
2335-R1,42 WEST 83 STREET,2019,11,1-01211-0028
0655-R1,335 WEST 50 STREET,2019,98,1-01045-0012
0132-R1,759 EAGLE AVENUE,2019,124,2-02713-0002
0306-R1,115 EAST 12 STREET,2019,145,1-00558-0018
0856-R1,75 MONROE STREET,2019,32,1-00343-0067
1062-R1,127 JOHN STREET,2019,221,1-00078-0001
0033-R1,425 EAST 80 STREET,2019,164,1-01578-0014
1280-R1,63 WEST 131 STREET,2019,5,1-01728-0053
1479-R1,126 EAST 118 STREET,2019,20,1-01660-0038
0274-R1,313 WEST 30 STREET,2019,29,
2071-R1,215 8 AVENUE,2023,14,
2492-R1,107 EAST 130 STREET,2019,115,1-01949-0001
0106-R1,337 WEST 11 STREET,2019,15,1-00624-0031
2100-R1,144 HAMILTON PLACE,2019,36,1-02080-0011
1926-R1,2060 5 AVENUE,2019,10,1-02010-0011
0656-R1,247 WEST 21 STREET,2019,22,
1614-R1,320 EAST 50 STREET,2019,18,1-01343-0005
1003-R1,100 SULLIVAN STREET,2019,16,1-00470-0005
2630-R1,215 WEST 121 STREET,2019,12,1-01927-0022
0937-R1,304 EAST 20 STREET,2019,15,1-00934-0020
2005-R1,123 BANK STREET,2019,9,1-00633-0013
0017-R1,2440 OLINVILLE AVENUE,2019,122,2-04340-0018
0007-R2,318 WEST 56 STREET,2019,183,1-01416-0012
0791-R1,,2012,83,
0158-R1,123 BANK STREET,2019,24,1-00642-0004
0061-R1,235 EAST 46 STREET,2019,85,1-01343-0005
2790-R1,155 ATTORNEY STREET,2019,94,1-00344-0044
2181-R1,3 WEST 108 STREET,2019,132,1-01876-0060
0347-R1,352 WEST 46 STREET,2019,445,1-01036-0010
1792-R1,320 EAST 52 STREET,2019,81,1-01319-0029
0587-R1,249 EAST 30 STREET,2019,71,1-00889-0055
