bottom_total_phosphorus_mg_l,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,lat,top_sample_temperature_c,enterococcus_top_sample_less_than_or_greater_than_result,sampling_location,bottom_ph,sampling_comment,long,top_dissolved_organic_carbon_ysi_mg_l,bottom_sigma_t_kg_m3,site_actual_depth_ft,top_dissolved_organic_carbon_mg_l,top_total_kjeldhal_nitrogen_mg_l,bottom_turbidity_ysi_nephelometric_turbidity_units,secchi_depth_ft
,2.42,-73.821,25.72,,J7,7.53,,40.64517,,17.3,22,5.4,1.9,,5.5
,3.55,-73.88333,22.63,,J3,7.52,,40.627,,18.9,35,4.08,1.49,,6
,,,,E,AC1,,,,6.13,,5.4,2.66,1.031,,
,7.45,-73.85,13.77,,J8,6.92,,40.64283,,19.3,19,3.1,1.63,,5
,,40.76317,,E,AC1,,,-73.75175,2.3,,7,2.95,1.092,,
,,40.76317,,E,AC1,,,-73.75175,3.57,,3,3.25,1.51,,
,,,,E,AC1,,,,7.42,,3,2.98,0.88,,
0.162,,,,,GC5,*,,,,,11,,2.29,0.3,7
,,,,,AC1,,,,8.0,,0.51,2.7,0.472,,
0.226,-0.18,-73.90733,23.28,,MB3,7.42,,40.60417,,19.11,53,3.39,1.29,,6
,,,,E,AC1,,,,14.12,,5.5,3.61,0.474,,
,0.92,-73.935,21.46,,NC2,7.1,,40.729,,14.51,16,4.32,1.26,,6
,,40.76317,,,AC1,,,-73.75175,6.74,,5.56,2.04,0.462,,
0.13,1.72,-73.9475,22.63,,SHB1,7.63,,40.58267,,20.12,39,4.36,0.83,,3
,,,,,AC1,,,,7.95,,0.6,3.1,0.934,,
,4.49,-73.8735,21.84,,J9A,7.71,,40.63367,,17.49,18,3.3,1.59,,4
,,40.7619,,,AC2,,Cancelled no access due to cotruction,-73.75101,,,,,,,
,3.15,-73.9215,23.72,,E4,7.12,,40.783,,14.0,77,3.59,1.67,,4
,5.26,-73.935,18.04,,NC2,8.03,,40.729,,14.59,12,3.41,1.01,,4.5
,,40.763172,,,AC1,,Water is moving in (Flooding),-73.75175,7.49,,1.1,2.14,1.14,,
,5.41,-73.97067,20.67,,E2,7.43,,40.7355,,15.44,52,3.03,1.33,,6
,,40.76317,,E,AC1,,pH reading not reliable,-73.75175,9.08,,6.18,2.84,0.952,,
,,,,,AC1,,,,7.45,,2.06,3.4,0.994,,
,5.86,-73.883,22.16,,J3,7.68,,40.62683,,17.87,28,5.8,1.54,,3
,5.19,-73.88833,19.29,,E5A,7.33,,40.78333,,16.37,41,2.87,1.78,,5
,3.24,-73.8505,26.4,,J8,7.68,,40.64267,,16.39,17,4.73,2.07,,4
,,,,,AC1,,,,6.58,,4.9,2.86,0.89,,
,7.26,-74.25817,14.63,,K5,7.43,,40.51,,17.94,40,3.68,0.95,,5.5
,5.1,-73.9315,21.97,,J11,7.86,,40.58183,,20.96,19,3.5,1.92,,4
,,,,,AC2,,"Cancelled, no access due to construction",,,,,,,,
,4.04,-73.88817,20.14,,E5A,7.24,,40.78333,,13.58,39,,,,4
,,,,E,AC1,,,,3.57,,5.1,4.84,1.403,,
,,40.7619,,E,AC2,,Extremely low water,-73.75101,11.42,,0.93,1.21,0.511,,
,4.78,-74.02317,24.43,,N5,7.46,,40.704,,16.6,45,3.38,0.9,,4.5
,4.82,-73.934,23.65,,H3,7.41,,40.82717,,14.16,23,3.89,0.71,,5
,7.38,-73.885,22.69,,J1,7.98,,40.5735,,19.49,33,3.4,1.65,,5
