program,end02,req7,date10,start02,method,end03,stm,req8,date07,end14,start06,_9app,audgrp05,start07,start03,aud,date06,_9seats,date05,end08,req3,prgdesc,audgrp06
Health Opportunities High School,,,,,Ed. Opt.,,,,,,,1183.0,,,,,,150.0,,,,,
Law and Leadership Institute,,,,,Ed. Opt.,,,,,,,329.0,,,,,,125.0,,,,"Students will study the art of public speaking and persuasion. Students will also take introductory courses in debate, law/ethics, and public policy.",
East Bronx Academy for the Future,,,,,Limited Unscreened,,,,,,,857.0,,,,,,81.0,,,,,
The Eagle Academy for Young Men,,,,,Limited Unscreened,,,,,,,1215.0,,,,,,81.0,,,,,
Academy of Health Sciences,,,,,Ed. Opt.,,,,,,,239.0,,,,,,150.0,,,,"A variety of methods are used to assist students in identifying and investigating career options. This includes field trips, guest speakers, job shadowing, the use of informational technology, and volunteer/internship in the health care field.",
International Community High School,,,,,Screened: Language,,,,,,,340.0,,,,,,81.0,,,,,
University Scholars,,,,,Screened,,4-Mar,,,,,2471.0,,,,,,75.0,,,,This program provides an honors-level sequence of courses which engages students in a rigorous scholastic experience in the Liberal Arts & Humanities. Each term students are programmed for a second language or an additional English/Humanities course.,
Humanities & Interdisciplinary,,,,,Limited Unscreened,,,,,,,525.0,,,,,,108.0,,,,"Orientation to the teaching profession; determine knowledge and skills needed to become a teacher, and gain knowledge of instruction, planning and assessment as a pre-teacher assigned to assist in classrooms",
High School for Innovation in Advertising and Media,,,,,Limited Unscreened,,,,,,,258.0,,,,,,81.0,,,,,
High School of Language and Innovation,,,,,Screened: Language,,,,,,,361.0,,,,,,108.0,,,,,
Media and Communications Institute,,,,,Ed. Opt.,,,,,,,680.0,,,,,,150.0,,,,"Journalism, creative writing, introduction to media, introduction to film, and website design.",
Westchester Square Academy Honors Program,,,,,Screened,,4-Mar,,,,,228.0,,,,,,27.0,,,,"Program offers accelerated coursework, including AP courses starting in Sophomore year. Students will have the opportunity to take additional science courses including Physics and Environmental Studies.",
Instrumental Music,,,,10:00 AM,Audition,,,,"Saturday, 11/16/2013",,10:00 AM,209.0,Instrumental,10:00 AM,10:00 AM,"Instrumental students will demonstrate the ability to match pitch, tap rhythms and play various scales and/or exercises, as well as play a prepared selection of their choice.","Sunday, 11/17/2013",34.0,"Saturday, 11/16/2013",,,"In addition to studying the required music courses, students will develop their ability to perform on a musical instrument, study music theory and enhance solo and ensemble techniques.",Instrumental
CNA Certified Nursing Assitant Program with Phlebotomy and EKG Techician,,,,,Limited Unscreened,,,,,,,,,,,,,,,,,CTE Curriculum. This program will prepare students to begin working as a Nursing Assistant upon graduation from High School with the ultimate goal of earning a college degree and advancing further in the nursing/medical profession.,
