globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
829AFA5E-278A-496D-83A5-FEFC3C0FA282,,44.0,,,Remove large broken branch down on play eq Tree ID: 5859974,2019-09-18T10:11:12,Brooklyn,17616.0,,
A7780320-251A-4B7B-8AEC-33A71B3AAA6C,,18.0,,,tree down in walk way next to the tennis court Tree ID: 5056943,2022-01-13T14:18:00,Brooklyn,13513.0,,
9CB40BBA-D979-483B-9CF8-042C22245623,,49.0,,,Remove one damaged limb over fence Tree ID: 5019896,2019-09-24T10:57:07,Brooklyn,17213.0,,
CB661085-CC62-40F0-8FAE-6D36A114DCD1,,29.0,,,Tree has dead rot limb Tree ID: 2241190,2023-05-18T10:16:57,Bronx,11272.0,,
FEF3DE21-C8BB-49D9-92BD-8B8D38F0DACB,,20.0,,,,2016-07-20T16:10:00,Queens,14192.0,,
BD50E944-A946-4108-96B2-0A1C62AA0479,,25.0,,,Remove several small dead sidewalk trees,2021-06-25T15:22:49,Brooklyn,17215.0,,
A9E11CA6-4F87-44A6-94FE-6201612BA415,,25.0,,,Remove 3 dead limbs over ps 1st tr outside hbct closest to Excise equip,2022-05-10T12:13:28,Brooklyn,17215.0,,
206F35BA-119C-48DF-BB30-E4F17E985CEA,,34.0,GATES AVENUE,4034980014.0,CM Crowley,2017-12-26T02:49:03,Queens,15310.0,40.707762,587.0
DAC91E45-26ED-4597-8315-EA8D66AC07D0,,17.0,,,"Rem Dead Tree, Damaged Trunk @ Center Lawn behind Monument Tree ID: 5057701",2021-06-14T16:19:00,Brooklyn,13516.0,,
9F04BA23-A275-4FE2-B7D1-4B4CCE47C815,,45.0,,,"Prune DW from 28"" LP on sidewalk by track Tree ID: 277771",2021-06-04T16:19:37,Brooklyn,18183.0,,
F912F04D-74B5-4B45-BA09-3404DD0E6E4F,,48.0,,,,2015-11-12T19:20:00,Brooklyn,13829.0,,
CD67951B-62CA-4731-ADBE-8DFE9CD52989,,40.0,JEROME AVENUE LINE,,Jerome ave & Bainbridge middle greenstreet,,Bronx,11608.0,,
42EE4CB2-D14C-42B6-B8A8-2DD4ACC41105,,14.0,,,Remove dead tree wood rot between 88 & 92 Warwick Ave,2023-01-26T15:25:14,Staten Island,10700.0,,
75D720F4-892A-4B4D-AF41-F8FD514E89C5,Q015-ZN13,34.0,,,IA ID# 99459,2020-03-12T15:21:00,Queens,24017.0,,
B6D405FA-65E7-4C3A-8450-E3B622067FBD,,8.0,,,"DIA#148378, 9/19/2022",2022-09-21T13:17:13,Brooklyn,13825.0,,
00517376-9270-4064-9EE2-F1148F26CAE4,,25.0,BLAKE AVENUE,,,,Brooklyn,17215.0,,
65FB6A9A-DE7C-4BE4-8D54-FAE3DD211BF0,,35.0,,,remove dead limb on Esplanade between 108th and 109 Tree ID: 4729498,2023-02-08T19:13:00,Manhattan,12426.0,40.743204,86.01
A3F5B196-C314-45C9-B71D-EC0468779BE8,,14.0,,,Remove multiple dead wood on London Plane tree corner by Riedel Ave.,2022-06-17T16:10:53,Staten Island,10693.0,,
B96E1F05-31F7-45B3-8B24-0F6AE67811CE,Q024-ZN01,3.0,,,Forestry please prune tree dead limb over plgd 164 St & Metcalf Av Tree ID: 5343700,,Queens,14507.0,,
C20180A7-1AE2-417D-8532-F01615F18729,,27.0,,,Hanging limb Tree ID: 3741609,2022-09-21T15:52:27,Brooklyn,17620.0,,
28372AA7-24D4-4110-989F-36C3642C2163,R065-ZN07,14.0,,,"Remove, 1, cracked, limb, over blue trail.",2019-11-26T14:28:51,Staten Island,10693.0,,
922C9610-C7AF-465F-BAC4-4E8E6D26B750,,24.0,,,Tree removal. Dead tree adjacent to  men's rn side cs8 Tree ID: 5024320,2022-10-13T12:14:11,Queens,24670.0,,
37B0482D-D0CF-4184-B989-385F8E5CF240,B028-ZN01,44.0,,,Remove dead branches bet BF 3/4 on path adj to Pkwy Tree ID: 5306784,,Brooklyn,17216.0,,
EB5A3427-6727-4712-8F01-0130BD3715EA,,14.0,,,Remove large dead limbs on LP'S along Sand Ln,2021-08-16T11:37:00,Staten Island,10692.0,,
C6326635-1A11-44F0-829C-45EBFD9EDC73,,31.0,,,"Dead limbs, over Randall Av SW, close to BF ent Tree ID: 2269633",2022-09-23T14:40:28,Bronx,11611.0,,
15FFE809-D93A-4152-A3A3-2269121A9069,,31.0,A STREET,,,2020-11-21T11:11:11,Bronx,11611.0,40.809935,2.0
A1D2B7D8-B485-4B97-BB0C-8FFC155A3456,,34.0,CYPRESS HILLS STREET,,,,Queens,15310.0,,
DB3DA454-A63E-4F91-B7CD-F335BA38713A,B073-ZN09,27.0,,,Prune tree  Tree ID: 4597578,2020-03-12T19:30:00,Brooklyn,13509.0,,
5AACC862-13CE-4DDB-9AF9-177141DD33C6,,15.0,,,Dead limbs  Tree ID: 2405769,2020-11-23T21:39:00,Brooklyn,13512.0,,
7E44BDDF-9473-499E-81E2-F8F9A5096188,,4.0,20 Av,4008100019.0,IA ID#101488 over sidewalk adj 38 St,2018-09-06T18:33:00,Queens,16862.0,40.776529,123.01
705A137E-2C1B-4AEE-89DF-9090259F5E01,,49.0,WILLOUGHBY AVENUE,,,,Brooklyn,17213.0,,
A467D382-60C0-4708-83C6-6CE52F66F6CF,,29.0,,,Hanging limb,,Bronx,10930.0,,
DA3D94A4-5C59-4E9C-A383-2119892982DD,Q015-ZN06,34.0,,,,2021-01-20T14:36:17,Queens,24017.0,,
B5261522-D242-4080-9686-F5676C057EF9,,7.0,,,Inspect to removed dead limb Tree ID: 4753531,2019-11-26T16:43:00,Brooklyn,,,
559E10EF-AF63-47A0-905F-35CFCFD2C768,,27.0,,,Inspect to remove dead limb  Tree ID: 4993800,2022-04-28T19:38:00,Brooklyn,17620.0,,
F6150604-DDD6-4B05-93DE-D6CF361080A6,,13.0,,,ny,2016-01-07T17:38:00,Staten Island,10700.0,,
70737D11-B1B8-4ACE-B419-1DAE6F192A82,Q353,47.0,,,"1 at MPPA near Briar Pl., 2 at MPPA",,Queens,20529.0,,
CF715FE1-7733-4BF7-A848-06E926F45407,,25.0,,,Remove 1 large limb over sw across from 683 barbey,2021-04-28T16:27:00,Brooklyn,17214.0,,
15C9CA74-6A20-495A-867F-84A59D66DB3C,,9.0,,,,2019-08-20T14:24:19,Staten Island,10699.0,,
DE919029-A9A8-4C65-9923-05D31F7F2B6F,,,,,Remove dead limb over street,,,24900.0,,
1BEA56EC-A097-487B-9B64-12CDAA56468D,,17.0,,,"Van Dyke, dead branch by checkerboard section Tree ID: 5052730",2023-05-23T15:28:21,Brooklyn,17614.0,,
68ECABBC-B5D5-432F-B252-3B448BEA8247,,38.0,,,"DIA #119124, 8/31/2020",,Brooklyn,18182.0,,
77D10DAA-4784-402F-8EB7-0DB806FB3374,R005-ZN01,13.0,,5003190001.0,,2021-04-07T16:31:11,Staten Island,10369.0,40.624551,147.0
686B8974-B3AD-4685-932E-F825D9FA5C19,,28.0,,,Rmv (2) Dead limbs  approx 16'L over LIE s/w opp PE unit Tree ID: 1443981,2020-02-18T20:40:00,Queens,14785.0,,
0509B09B-C817-4197-8A5A-7A6CD124C28A,,13.0,,,"Remove, 1, dead, tree, near Eldridge Ave",2022-07-11T13:29:06,Staten Island,10370.0,,
C39CABF4-5704-4C41-A8E7-708D06C344B5,,29.0,,,Dead tree limbs over active sidewalk  Tree ID: 2240423,2023-03-28T13:28:28,Bronx,11606.0,,
98CA1771-6B83-40C4-A014-7D7BCC4DFE3E,,25.0,,,Remove 1 large limb with branches over ss/ ps tr  o/s swing area on wortman,2022-07-11T14:32:00,Brooklyn,17214.0,,
0BCD82A2-D56E-4DAC-B686-D96DDFF66B01,B247,25.0,,,at park,,Brooklyn,17214.0,,
FB40B52F-D32B-4E61-BF1D-908D12206D8B,,12.0,,,,2017-04-11T13:16:20,Bronx,11273.0,,
9B649E10-393F-411B-9A69-52C71512DC53,,38.0,,,Prune one tree over play area  Tree ID: 3660632,,Brooklyn,17613.0,,
680360A9-99E2-40C9-BAC6-6D3C8E6293C0,X001-ZN01,29.0,,,Dead limb over bench upper path near W184st steps Tree ID: 5586559,2021-04-19T14:53:01,Bronx,11606.0,,
4B7807F6-010F-443F-95DA-3BBE5A662A50,,28.0,,,Dead limb over sidewalk on 62nd Ave-and Yellowstone Blvd  Tree ID: 4946215,,Queens,14786.0,,
094CFC2A-6FB0-4B1D-9A87-5D450CCC8E20,,30.0,ONDERDONK AVENUE,,,2019-04-01T13:12:00,Queens,15310.0,,
5607FE50-8EFE-4287-9F2B-DFA537B8E68F,,46.0,Bedell St,4124950065.0,IA ID#103387 over area adj game time play equipment,2018-10-23T17:34:00,Queens,24669.0,40.6798,334.03
6FD4B2A9-7D74-4AD8-B008-F3665557A695,,38.0,,,Hinging limb over sidewalk  Tree ID: 4994117,2023-03-06T16:00:35,Brooklyn,17213.0,,
0D7C1195-6AD4-4071-B3E9-3A9E1476129B,,30.0,,,Prune one tree over playground Tree ID: 4941391,2021-09-16T14:46:11,Brooklyn,18182.0,,
20BCDF95-36E5-41CC-A12D-041474C9AC40,,40.0,,,Rotten  Tree branch over pedestrian path Tree ID: 5055947,2023-03-14T13:34:30,Bronx,11272.0,,
6E4AF563-5FD4-40F3-9777-1D749497465A,,41.0,,,Replant 1 new tree in playground area  Tree ID: 5023847,,Queens,24012.0,,
913A084A-1A30-4F73-8DEF-629941A5AE0D,,24.0,,,Large hanging limb on tree adjacent 141st between 79th Ave 78th rd. Tree ID: 1411298,,Queens,14509.0,,
83ED63BA-A596-4219-AF3E-0E33542F25FB,X004-03,31.0,,,along Morrison Ave,,Bronx,11610.0,,
E8A6168A-3D86-497E-A061-611E9377B8EF,,34.0,,,Tree branch hanging over entrance to HBCT is dead  Tree ID: 5058579,,Queens,14788.0,,
5A4575C7-0365-4D03-AD81-1A138692BB47,,13.0,,5003910128.0,Tree uprooted and leaning on another tree. Dangerous condition.,2019-05-07T14:05:21,Staten Island,10370.0,40.622818,201.0
53296483-F93E-4863-8052-355F8AF12063,,14.0,FOCH AVENUE,5032560040.0,,2015-10-12T17:53:00,Staten Island,10692.0,40.593034,70.02
31E26B9C-0723-4180-A972-197B43E6D618,,4.0,,,Inspect/remove/prune leaning tree on lawn facing shore  Tree ID: 4896042,,,16859.0,,
DAEDEAB1-AE8C-4F9B-B589-FE637626FD53,,25.0,,,Remove 5  limbs over sw across from 789 linwood,2022-01-06T16:34:30,Brooklyn,17215.0,,
31C63A44-AF98-4CB3-A186-E45412F2671D,X001-ZN01,29.0,,,On Aqueduct Walk between E Fordham and E 184,2017-02-16T13:15:26,Bronx,11606.0,,
6E4395C4-D05D-41CC-8535-65E781B439B9,,30.0,,,Prune hanging limbs over Tennis court Tree ID: 228527,2022-11-02T14:20:00,Brooklyn,17613.0,,
FE1CB321-F6F8-4CB0-B24D-D7E966C446B2,,3.0,,,"Forestry please remove 18"" dbh Linden dead on Mall at 137-07 Northern Blvd Tree ID: 4996062",,Queens,13832.0,,
21C2631A-F221-4181-A1C9-40F18734D40A,,41.0,,,Multiple damaged branches n hangers  Tree ID: 4654677,2022-08-25T15:52:41,Queens,15314.0,,
20ACFE1E-F9A4-4864-AAFC-EB0648F41101,,43.0,,,Remove decaying tree by right of main entrance  Tree ID: 2258573,2020-01-22T18:07:00,Bronx,10937.0,,
93792D2D-6B64-426D-83AA-0C383C6B8552,,27.0,,,Inspect to remove multiple dead limbs in tree Tree ID: 4998656,,Brooklyn,17620.0,,
2F2E561A-7E3C-4934-A598-8D66FA52A74B,,23.0,,,another tree down on sidewalk Tree ID: 5305711,2020-11-21T11:11:00,Manhattan,13090.0,,
AA81BA13-5CCB-4586-AED2-3172BF170CFA,,30.0,MYRTLE AVENUE LINE,4034590031.0,on Woodbine,2019-03-11T15:21:00,Queens,15310.0,40.703046,549.0
