globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
FDAE0251-F556-464B-92A4-26008383111E,,49.0,,,remove damage branch from tree adj to 104 mlk Tree ID: 1770000,2021-06-23T18:54:00,Brooklyn,17213.0,,
02B73482-970C-4E65-9417-348949BA96B2,M081-02,1.0,,,adj kswings,,Manhattan,10099.0,,
3E6DB200-C529-49F9-B2B6-212681E948AD,R031-ZN02,9.0,,,trail behind building near pond. Uprooted tree over trail,2021-05-11T13:46:12,Staten Island,10699.0,,
09466809-5C22-4110-9C78-7CAF6327AFC6,Q024-ZN02,3.0,,,Forestry please pick up down limb west of tennis courts,,Queens,14507.0,,
4A04C6DF-5F3C-42FE-8519-0EE528AD1588,,40.0,,,Falling tree over trail  Tree ID: 2266382,,Bronx,11272.0,,
6B8EB9BE-88C7-4ABB-807E-2F280A5EE781,,12.0,,,prune hanging limb Tree ID: 5444885,2020-11-25T19:09:23,Bronx,11274.0,,
49C43B69-CF1F-44D2-B7A2-24429FB4F153,,42.0,,,DIA#137359 Dead tree limb over swings  Tree ID: 3571687,2022-03-10T15:10:39,Bronx,10930.0,,
D1B38EE3-F8A7-47E7-99B8-EAAFD2780365,,11.0,BEVERLEY ROAD,3051430020.0,,2016-03-25T16:16:00,Brooklyn,17620.0,40.642939,1522.0
D3F793BA-5613-4D66-868A-17C6A73D1A6D,,43.0,,,"Leaning SW tree, Colgate Av adj BF  Tree ID: 2270687",2022-04-12T11:27:10,Bronx,11610.0,,
66B621A9-91D1-4887-A9C8-20AD1E85682D,,40.0,,,dia 94511 - large dead limb exhibiting wood rot over lawn behind PE benches,2017-10-03T12:42:16,Bronx,11609.0,,
301B183C-F39A-4F20-A429-470994EFF1F9,,7.0,,,"DIA #118353, 7/28/2020",2020-11-21T11:11:11,Brooklyn,18180.0,,
56FB1FC9-7582-43F9-923F-73A8305886E4,,24.0,,,Dead limb and please inspect tree Highland entrance adj monument  Tree ID: 5508673,,Queens,24340.0,,
47340C6B-D6E4-4A3A-A461-713718770FC1,,12.0,ALLERTON AVENUE,,T:2545265,2019-09-17T08:04:14,Bronx,11607.0,,
FA7D71C1-AC52-4762-BC1C-DE7CE1FBF06F,,37.0,GROVE STREET,3033170031.0,,,Brooklyn,13828.0,40.698966,433.0
07293B80-7A4B-4499-AFAF-F64E5C0C8D7B,,6.0,,,Dead tree Tree ID: 5309820,2022-05-04T11:48:00,Queens,24669.0,,
DC59F9A1-D232-428F-BBB5-382EC0B60B3F,,15.0,,,Dead lumb near c/S Tree ID: 5307766,2021-06-17T18:52:00,Brooklyn,13826.0,,
D3325A0B-9789-4112-8735-3355F36489AD,,44.0,,,"DIA #111485, 1/15/2020",2020-02-06T20:16:00,Brooklyn,17616.0,,
