parkname,updateddate,complaintdetails,buildingnumber,callerstate,nta,crossstreet1,srcategory
Van Cortlandt Park,2019-12-30T13:47:00,Area flagged caution tape.,/,,,E. 233rd St,Hazard
Pleasant Plains Plaza,2020-08-05T13:39:00,21 slosson,21,,,,Hazard
,,In front of church,10,,MN11 /,CENTRAL PARK NORTH,Plant Tree
Walker Park,2021-07-15T16:11:00,,0,,/,,Hazard
Prospect Park Southwest Upper,2021-09-29T15:46:00,5 dead trees between barrel and 10th ave,0,,/,,Rescue/Preservation
,2016-07-07T12:17:03,,1718,,QN20 /,SENECA AVENUE,Plant Tree
Clove Lakes Park Zone 3,2022-08-02T13:42:45,Wood rot,1050,,/,,Illegal Tree Damage
Cunningham Park Zone 1,2019-10-30T13:59:42,,00,,/,,Hazard
Nathan Weidenbaum Playground,2022-10-04T15:50:06,,0000,,/,,Hazard
,2015-03-25T04:00:00,,460,,,BEND,Remove Tree
157 St Playground,,,,,,,Prune
Hero Park,2018-11-30T17:00:52,AMPS 1818315 Inspect to remove uprooted tree along stairs.,0,,,,Remove Tree
,2015-07-06T15:30:00,,23,,SI01 /,POMPEY AVENUE,Hazard
Tiffany Playground,2016-09-28T13:56:00,,,,/,,Plant Tree
,2023-01-04T17:58:38,,439,,,RICHMOND AVENUE,Prune
Jurassic Playground,,,,,/,,Plant Tree
Fdr Boardwalk & Beach-Midland Beach Zone 4,2023-06-10T14:01:46,,0,,/,,Prune
John Paul Jones Park,2021-12-14T14:32:51,Tree is on sidewalk across the street from 433 101st Street,0,,/,,Hazard
McCarren Park,2023-02-23T19:38:00,"DIA#155272 ""over SW at the corner of Berry St. & Nassau Ave.""",0,,/,,Hazard
McCarren Park Zone 1,2020-09-14T13:04:17,Remove dead limbs from trees on  Manhattan Avenue.,0,,/,,Prune
,2020-08-21T16:22:00,,00,NY,/,SHORE PARKWAY,Hazard
Old Gravesend Cemetery,,,40,,BK26 /,,Plant Tree
,2016-10-12T23:05:54,,282,,,HART STREET,Plant Tree
Lyons Square Playground,2021-12-20T16:03:12,,,,/,,Prune
Roberto Clemente Ballfield,2022-11-15T15:46:35,,0,,/,,Rescue/Preservation
Belmont Playground,2021-10-18T17:38:36,,,,/,,Hazard
Spring Creek Park Zone 1,2020-08-31T12:28:47,,,,/,,Hazard
Rochdale Park,2021-03-02T18:03:32,,00,,/,,Illegal Tree Damage
Bayswater Park,2020-09-14T12:56:00,,00,,/,,Hazard
Manhattan Beach Park,2021-04-07T15:42:00,"DIA #119461 ""over edge of HBCT""",0,,,,Prune
Spector Playground,,,,,,,Plant Tree
Brower Park,2022-04-11T15:44:11,,0,,,,Hazard
Wards Island-Wards Waterfront,2022-10-17T17:15:00,tree dead on waterfront,,,MN99 /,,Remove Tree
Ericsson Playground,2022-10-05T14:17:56,Second request,0,,/,,Prune
D'Onofrio Square,2020-11-21T11:11:11,,/,,,,Prune
De Hostos Playground,2020-07-14T16:01:05,Dead limbs,0,,/,,Prune
,2016-02-27T17:46:00,,0,NY,/,,Hazard
West Playground,2016-09-28T13:10:00,,,,,,Plant Tree
Jerome Playground,2021-06-04T14:26:49,,0,,/,,Prune
Cadman Plaza Park,2020-06-02T13:38:00,Dead limb,0,,/,,Hazard
Stockton Playground,2021-06-23T18:54:00,,0,,/,,Illegal Tree Damage
Catbird Playground,,,,,/,,Plant Tree
