dbn,fax_number,nta,zip,:@computed_region_efsh_h5xi,program_highlights,advancedplacement_courses,priority08,priority02,overview_paragraph,:@computed_region_yeji_bk3q
30Q301,718-609-3339,Hunters Point-Sunnyside-West Maspeth                                       ,11101,16858.0,"Students may receive CTE endorsement in: Film/Video, Introductory Production Classes; Specialized Courses in Production Crafts, Screenwriting and Directing, Post Production, The Business of Production; Mentors, Advisory, Work-based Learning Program, Internships","Calculus AB, English Literature and Composition, Psychology, United States History",,Then to New York City residents,"Our school prepares students for careers in movie and television production. As a small school, we provide individualized academic support and extensive career mentoring. Students learn by working alongside industry professionals with state-of-the-art equipment. Our career programs are complemented by academic classes which prepare students for competitive colleges and careers. Teachers use films in classes to enhance lessons, and our school is a leader in using technology in innovative ways to support learning.",3
12X372,718-991-2980,East Tremont                                                               ,10460,11269.0,We offer an accelerated program. Students can graduate with an Advanced Regents Diploma. Qualifying students participate in College Now courses at local colleges earning college credit within The City University of New York (CUNY) system. Advanced Placement courses are planned for the 11th and 12th grades.,"Calculus AB, English Literature and Composition, Environmental Science, Studio Art: Drawing",,Then to Bronx students or residents who attend an information session,"Our mission is to engage students in a challenging academic program centered on wildlife conservation, to expose them to the wonders of the natural sciences, and to help them to cultivate their life skills so that they are ready to succeed in college and become independent adults who act respectfully within their communities. We are committed to closing the achievement gap in order to prepare students for a challenging curriculum and an Advanced Regents Diploma. Through the development of habits of mind and heart our students make significant academic gains, are ready for college success, and develop a clear sense of personal purpose to affect positive change in the world.",5
11X418,718-319-5165,Pelham Parkway                                                             ,10462,11271.0,"Studio Art, Portfolio, Digital Media, Photography, Museum Apprenticeships and Internships, College Now, Career and Technical Education Program in Graphic Design, Career Visions Institute, Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP)","English Literature and Composition, Environmental Science, United States History",,Then to New York City residents who attend an information session,"We offer a challenging, sequential, four-year pre-professional art program and an interdisciplinary academic curriculum within a close-knit school community. We offer two visual arts programs: one focuses on developing general knowledge of the visual arts, while the other prepares students to become professional graphic designers. Both programs emphasize skill-building, student creativity, interests and community contributions. Our cultural partners provide learning experiences and additional resources for students and their families. Our small class size and project-based, student-centered curriculum provide individualized attention and prepare students for college and careers in the arts.",5
12X684,718-931-8366,East Tremont                                                               ,10460,,"Double periods (90 minutes), Library, Art Studio, Dance Studio, Classes with our Partners, Senior Thesis, College Now, Jose Serrano Leadership Institute, Upward Bound","Biology, Calculus AB, English Language and Composition, United States History",,Then to New York City residents,"In September 1994, the New York City Department of Education, the Center for Collaborative Education and the Coalition of Essential Schools sponsored the first systemic effort to redesign a large high school in the Bronx. Wings Academy was one of five pioneering small schools resulting from that effort, founded on the premise of helping young people use their minds well. Our primary goal is to develop students’ “habits of mind,” which will encourage respect for lifelong learning, purposefulness and success.",5
07X551,718-401-6626,Mott Haven-Port Morris                                                     ,10451,10929.0,"Advanced Placement and honors classes, interdisciplinary courses, college-level research projects with formal presentations in English, Math, Science, History; Arts courses in Dance and Theater; Advanced and introductory foreign language courses; Annual student exhibitions, writing workshops, writing seminar electives, technology access, externships, Moot Court, theater productions; Four-year Advisory system, including college exposure and college counseling system","English Language and Composition, English Literature and Composition, Environmental Science, Spanish Language and Culture, United States Government and Politics, United States History",,Then to Bronx students or residents who attend an information session,"The Urban Assembly Bronx Academy of Letters was founded on a single idea: students who can express themselves clearly in writing can do better in any path they choose in life. In addition to the challenging academic work offered, we are also committed to providing learning opportunities outside of the classroom. Throughout the year, our students participate in regular field trips to arts institutions, colleges and universities. During the summer, our student services team connects students to jobs, internships and programs that allow them to travel all over the world – from Tokyo to Mexico. At Letters, we celebrate hard work, curiosity, self-expression and service. Our graduates are articulate, critical readers and writers, fully prepared to maximize their learning and growth – not only during their high school and college years, but throughout their lives.",5
22K555,718-853-6356,Windsor Terrace                                                            ,11218,17620.0,"Early College students in grades 10 through 12 are actively enrolled in college credit-bearing classes offered through Brooklyn College which include Psychology, Philosophy, Sociology, Theater, Chemistry, Precalculus, Calculus, Spanish and Speech; Pre-college course for all ninth graders in preparation for college work in tenth grade; Art, Music, Band, World Ensemble, Stained Glass are also offered; We are a member of the Middle College National Consortium, a national organization of early college high schools housed on college campuses; We are a member of the National Network for Educational Renewal, which supports the collaboration of high schools and institutions of higher education; We received Early College High School status in 2007",,,Then to Brooklyn students or residents,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from 9th to 12th grade within a challenging academic atmosphere and provides opportunities to earn college credits. We encourage students to function independently in educational settings outside the school building and in an unrestricted college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.",2
02M580,646-826-8175,Battery Park City-Lower Manhattan                                          ,10004,11725.0,"The Teaching Academy offers Teaching Internships & Seminar; The Liberal Arts Program offers mentoring, internships, afterschool workshops & a career fair; Advisory/ DEAR program for all grades; Advancement Via Individual Determination (AVID) is a 4-year college readiness program that accelerates student learning; College for Every Student (CFES) is a 4-year program for underserved youth preparing them to gain access to and succeed in college; College Now provides free courses at Hunter College; The Future Project brings together students and coaches who design and build individual future projects around their personal aspirations; After-school tutoring offers additional academic supports for students; The Paraprofessional Training Program certifies students with disabilities as substitute paraprofessionals","English Language and Composition, English Literature and Composition, United States Government and Politics, United States History",,,"Richard R. Green High School is located in a historic building overlooking Bowling Green, Battery Park and New York Harbor. Students have a choice to enroll in either the Teaching Academy or the Liberal Arts Academy. Our Teaching Academy is designed to develop a lasting commitment to education and students have the opportunity to participate in off-site internships. The Liberal Arts Academy provides students with opportunities to develop as mentors and offers a range of engaging electives that build transferrable skills. The school has a rich array of college preparatory programs.",4
05M499,212-491-4414,Central Harlem North-Polo Grounds                                          ,10039,13097.0,"College Now, Gilder Lehman Institute of American History, Science Research, Mentoring in Medicine (MIM), FIRST Robotics, Chess, SAT Preparation, College Visitation Tours, Community service, International Travel, Achieve Now, Naviance (online college search, application & tracking); Jupiter Grade (online progress report); Mentoring, Tutoring & Mediation; After-school, weekend and holiday academic enrichment programs","Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, European History, French Language and Culture, Latin: Vergil, Physics B, Spanish Language and Culture, Statistics, United States Government and Politics, United States History",,"Then to Districts 3, 4, and 5 students or residents",Our goal is to provide a curriculum that enables our students to enter a selective college or university of their choice. All students must abide by our 12 Non-Negotiable Rules and Student Creed.,4
09X263,718-466-4001,Claremont-Bathgate                                                         ,10457,10935.0,"Outward Bound Challenge Course, Health Electives and Internships, Crew Advisory, Reading Excellence and Discovery (READ) Program, College Now, Rock the Boat",,,Then to New York City residents who attend an information session,"Validus Preparatory Academy is a high school with an emphasis on health issues, daily physical exercise and hands-on, real-world learning. Through Outward Bound Expeditionary Learning, students experience a 5-day Challenge Course and ongoing Learning Expeditions that require the use of classroom skills and knowledge to solve real problems in the community. Each student maintains a portfolio of his/her work and presents it to an independent panel.",5
25Q263,718-463-3514,Murray Hill                                                                ,11355,14190.0,"Collaborative group work and interdisciplinary study, small group advisories, elective courses in academic subjects, arts and technology; internships in technology, arts and community-based organizations, as well as at local businesses; College Now",,,,We serve recent immigrants who are both new to the United States and new learners of English. Teachers and students work in teams and teachers know their students well. Teams of teachers integrate interdisciplinary curriculum in which students work on projects that connect ideas from different classes. Both native language and English language development are supported across content areas. Our program is designed to help immigrant students succeed in college and the world of work.,3
02M543,212-674-2128,Chinatown                                                                  ,10002,11723.0,"NDHS uses design as a basis for learning; Students are exposed to the fields of fine art fundamentals of design, fashion and merchandising, product design, invention and entrepreneurship; Teaching artists, through Urban Arts Partnership, the school's main cultural partner, augment the existing curriculum through the fields of media and communications, graphic design, sound design and film & motion graphics; College Now courses are offered","English Literature and Composition, United States History",,Then to New York City residents,"New Design High School (NDHS) is a small academic high school with a focus on design, located on the Lower East Side of Manhattan. NDHS uses the concept of design to help meet the academic, intellectual, social, emotional and artistic needs of adolescents. Our school integrates the idea, concept and process of design into a progressive, academic high school curriculum, thereby offering an innovative education in a nurturing environment. The school community believes that the design process allows students to participate in a more experiential form of inquiry-based education that is focused on understanding real-world contexts, self-expression and problem solving.",4
19K639,718-235-4028,park-cemetery-etc-Brooklyn                                                 ,11208,17215.0,"iLearn, Blended Learning Model, Technology (SMART Boards, iPads, Mac Pros, Computer Labs), Presentations of Learning, Performance Tasks, Individualized Learning Goals, Single Sex College Readiness Courses, College Mentors for all students, College Now at Medgar Evers College","Biology, English Literature and Composition, Spanish Literature and Culture, Statistics, United States History",,Then to New York City residents,"We are a small learning community that believes all students can learn to design their lives, build the dreams that are within them, be passionate lifelong learners and more positively affect the world around them. We are committed to designing and building meaningful, challenging classes and projects that are framed by small class size, close relationships and high expectations. Our students will be well-known throughout their time in our school and supported by our Advisory program. We believe that with the right supports, expectations and culture, all students can succeed.",2
13K412,718-230-3050,Clinton Hill                                                               ,11205,17212.0,"Advisory-Family Program, Media Arts Specialization, College Now","English Literature and Composition, Statistics, United States History",,Then to New York City residents,"Our motto is 'academic, creative and professional preparation for the 21st Century.' We provide our students and families with a small, personalized high school experience. Student learning is applied to the real world through research, experimentation and project-oriented work. Their learning is then displayed in written, visual and oral exhibitions. Every student is also part of our Advisory-Family program, which investigates critical issues in teen lives and creates a strong peer community. In addition, our students receive intensive career and college preparation with an arts/media specialization via electives, trips and internships. Students are required to complete an individualized graduation portfolio. Our goal is to help our students reach their potential and nurture their development through student-centered learning approaches, multiple supports and most importantly, strong relationships.",2
24Q299,718-361-6742,Hunters Point-Sunnyside-West Maspeth                                       ,11101,16858.0,"In their first two years at BHSEC Queens, students receive a solid foundation in mathematics, science, history, English, a foreign language and the arts. In the final two years, the college program balances core requirements in critical reading and analysis, mathematics, science, language & culture and the arts, with opportunities for students to pursue their individual interests. We offer a variety of college courses and opportunities for students to engage in independent studies of their own design. Students completing 60 college credits receive the Bard College AA degree. Students may then transfer to colleges and universities with up to two years of college credit.",,,,"Bard High School Early College Queens (BHSEC Queens) was founded on the belief that many students are ready to do serious college work at age sixteen. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move, in four years, from 9th grade through the first two years of college, earning a high school diploma, up to 60 college credits and an Associate of Arts (AA) degree upon graduation.",3
08X320,718-904-5099,Schuylerville-Throgs Neck-Edgewater Park                                   ,10461,11270.0,"iLearn Online Blended Learning Opportunities, Advisory, Career and College Counseling, Service Learning",,,Then to New York City residents who attend an information session,"At Pelham Lab High School we encourage you to ask questions such as “what keeps an electron spinning?” and “how do we know the difference between right and wrong?” As a student of Pelham Lab, it is not enough to simply say that electrons travel around an atomic nucleus or that something is correct. Asking the right questions is equally important as knowing the right answers. We believe that by encouraging you to ask deep questions, by engaging you in creative experiences outside of the classroom and by ensuring that your social, academic and emotional needs are met, you will achieve the challenging but worthwhile goals in your future life.",5
