hispanic_num,grade1,sped_percent,grade4,grade2,white_per,prek,dbn,grade10,male_per
111,,16.0,,,7.5,,02M392,99,54.7
260,95,12.6,63,91,15.6,55,02M198,,49.1
78,,13.6,,,13.1,,02M313,94,47.6
159,129,12.4,131,120,45.0,    ,02M116,    ,49.4
97,    ,27.1,    ,    ,4.2,    ,02M432,118,53.7
317,35,23.3,27,39,1.7,16,01M140,    ,53.1
965,    ,14.1,    ,    ,2.3,    ,02M520,569,49.1
78,105,11.8,97,90,1.7,47,02M001,,53.1
96,,0.2,,,36.1,,01M696,129,25.1
272,,8.8,,,1.0,,02M551,120,62.0
88,126,16.9,100,98,57.4,,02M183,,50.4
99,    ,31.2,    ,    ,6.5,    ,01M301,    ,54.7
89,42,19.4,45,39,0.7,36,03M149,,48.7
272,,24.1,,,2.3,,01M292,82,54.6
34,,2.8,31,,16.6,,02M442,2,40.7
184,,2.2,,,6.7,,02M575,399,54.3
255,,23.7,,,2.0,,01M292,85,59.6
146,,13.0,,,14.1,,02M294,83,53.3
51,,2.5,,,23.2,,02M411,104,41.8
356,62,26.6,62,61,13.3,36,02M111,    ,47.3
81,,4.0,,,47.7,,02M408,98,26.5
137,,8.9,,,35.2,,02M418,148,35.4
67,122,11.2,126,130,2.5,35,02M002,    ,51.7
876,,12.7,,,2.9,,02M440,444,49.8
3,,0.0,,,0.0,,02M535,,100.0
162,,18.7,,,15.7,,01M839,,51.9
206,49,23.1,46,47,1.7,26,01M064,,50.5
108,,23.0,,,0.5,,02M500,56,60.1
119,104,8.9,95,120,59.8,36,03M009,    ,46.4
467,,0.2,,,0.0,,02M542,167,50.3
321,63,22.4,67,74,2.8,33,01M142,    ,48.0
194,,14.9,,,10.5,,02M294,93,52.2
62,    ,11.8,    ,    ,33.7,    ,02M312,    ,51.1
192,100,21.2,85,94,38.2,18,02M011,,52.0
187,,24.3,,,0.3,,02M429,107,47.7
108,,25.8,,,6.1,,01M378,,45.4
303,,15.3,,,1.2,,02M615,169,64.9
191,150,12.7,131,132,54.4,18,03M087,,52.3
37,150,6.6,180,171,2.1,36,02M124,,51.1
224,,12.1,,,2.6,,02M296,101,28.5
93,30,13.2,63,53,19.8,26,02M217,,45.5
84,88,15.2,80,89,62.1,33,02M040,,49.2
188,45,20.9,45,39,1.4,31,01M064,,51.4
128,,1.0,,,16.2,,02M459,74,49.2
221,,6.7,,,5.6,,02M544,165,50.7
171,,25.9,,,4.5,,01M378,,46.2
80,,17.3,,,8.0,,02M308,67,45.7
24,,0.7,,,0.4,,01M515,259,57.0
43,29,16.1,21,25,29.9,33,01M315,,52.3
302,42,21.1,46,34,1.1,26,01M188,,49.9
201,145,13.3,154,151,48.9,18,03M087,,51.3
40,98,6.7,65,97,8.4,36,01M184,    ,49.9
185,    ,15.6,    ,    ,16.2,    ,02M104,    ,54.3
193,,16.4,,,33.3,,02M413,109,46.6
56,,18.2,,,4.4,,02M399,88,50.3
1090,,15.5,,,2.2,,02M625,573,52.7
190,53,18.8,54,56,12.3,35,02M051,,52.5
363,,11.4,,,8.5,,02M425,183,41.5
95,50,14.9,53,39,17.3,27,02M217,,47.3
