ceqr_number,actions,project_status,mih_workforce
,,Complete,
,,Complete,
,,Withdrawn-Other,
21DCP195R,ZA; ZA; LD,Complete,False
21DCP105K,ZC; LD,Complete,False
84-161,,Complete,
21DCP180Q,ZM; ZS; ZS; ZR; ZS; ZS; ZS; ZS; ZS; LD,Active,False
,,Complete,
,,Complete,False
,,Complete,
,,Complete,False
,,Complete,False
85-232K,,Complete,
85-247K,,Complete,
,,Complete,
84-018,,Complete,
20DCP006R,,Complete,False
,,Complete,
21DCP104M,ZS; LD,Complete,False
,,Complete,
20DCP104R,,Complete,False
,,Complete,
,,Complete,
21DCP025K,,Terminated-Applicant Unresponsive,False
85-306K,,Complete,
22DCP161R,RC,Complete,False
,,Complete,
21DCP146K,ZM; ZR; ZS,Complete,False
24DCP009R,ZA,Complete,False
85-077K,,Complete,
,,Withdrawn-Other,
19DCP215R,,Complete,False
21DCP031K,ZA; ZA; ZC; LD,Complete,False
,,Complete,
83-351,,Withdrawn-Other,
21DCP047K,ZR,Complete,False
22DCP100M,,Record Closed,False
20DCP045R,,Complete,False
,,Terminated,False
,,Complete,
20DCP049R,,Complete,False
20DCP136R,ZC,Complete,False
,,Complete,False
84-155,,Complete,
19DCP209R,,Complete,False
,,Terminated,False
84-144,,Complete,
21DCP064M,,Complete,False
,,Complete,
20DCP017R,,Complete,False
,,Terminated,False
,,Complete,
,,Complete,False
21DCP098K,ZC,Complete,False
,,Complete,
20DCP141R,,Complete,False
,,Complete,
,,Complete,
20DCP133R,,Complete,False
83-273,,Withdrawn-Other,
,,Complete,
,,Complete,
85-127K,,Complete,
,,Complete,
20DCP150M,ZC,On-Hold,False
,PX,Complete,False
25DCP016M,ZS; ZR,Active,False
22HPD065K,HA; ZM; ZR,Complete,False
,,Complete,
21DCP206M,ZA,Complete,False
,,Complete,
,,Complete,
,,Complete,False
20DCP120R,ZC,Complete,False
21DOH001K,,Withdrawn-Other,False
21DCP030R,,Complete,False
25DCP033M,ZC; LD,Complete,False
21DCP205X,ZC; ZC; ZC; LD; LD; LD,Complete,False
84-090,,Withdrawn-Other,
,,Complete,
,,Complete,
84-199Y,,Complete,
,,Complete,
24DCP069R,ZA,Complete,False
83-204,,Withdrawn-Other,
22DCP042X,ZS; ZC; LD,On-Hold,False
23DCP014K,ZM; ZR,Complete,False
85-031M,,Complete,
21DCP057M,ZS; ZR; ZS; ZS; ZS; PP; ZC; ZC; LD,Active,False
,,Withdrawn-Other,
21DCP061R,ZA; ZA,Complete,False
,,Complete,
22DCP091K,ZM; ZR; ZS,Complete,False
85-281K,,Complete,
82-277M,,Complete,
,,Withdrawn-Other,
,,Complete,
,,Terminated-Applicant Unresponsive,False
21DCP078K,ZM; ZR,Complete,False
,,Complete,
,,Complete,
21DCP023R,,Complete,False
,,Complete,
,,Complete,
21DCP191M,ZC; LD,Complete,False
25DCP087M,CM,Active,False
,,Withdrawn-Other,
,,Complete,
,,Complete,
,,Complete,
83-171K,,Complete,
,HI,Complete,False
,,Complete,
85-338K,,Complete,
,,Terminated,False
,,Complete,
,,Terminated,False
,,Complete,
07HPD021K,HA; HU,Complete,False
,,Complete,
83-259,,Withdrawn-Other,
,,Complete,
83-360,,Withdrawn-Other,
,,Complete,
22DCP130Q,ZM,Complete,False
84-105,,Withdrawn-Other,
,,Complete,False
20DCP157K,,Complete,False
21DCP184R,RC; RC,Complete,False
80-093M,,Complete,
,,Complete,
25DCP043K,ZC,On-Hold,False
,,Complete,
,,Complete,False
,,Complete,
,,Complete,
21DCP021R,,Complete,False
19DCP212R,,Complete,False
,,Complete,
20DCP088R,CM,Complete,False
22DCP065Q,ZM; ZR,Complete,False
21DCP154M,ZC; LD,Complete,False
20DCP068R,,Complete,False
,,Complete,
23DCP126M,ZR; ZM,On-Hold,False
,,Withdrawn-Other,
,,Complete,
,,Complete,
21DCP083K,ZM; ZR; ZS; ZS,Complete,True
85-066K,,Complete,
,,Complete,
,,Complete,
20DCP052R,,Complete,False
,,Complete,False
23DCP145K,ZM; ZR; ZS; ZS; LD,Complete,False
21DCP009M,LD,Complete,False
84-030M,,Complete,
,,Complete,
,,Complete,
07DCP094K,LD; ZS,Complete,False
,,Complete,
83-250,,Withdrawn-Other,
84-128,,Complete,
,,Complete,
22DCP102Q,ZM,Complete,False
21DCP013R,,Complete,False
,,Complete,
,,Complete,
85-229K,,Complete,
,,Complete,
26SBS001K,BD,Complete,False
,,Complete,
,,Complete,
22DCP106R,ZA; ZA; LD,Complete,False
85-218K,,Complete,
,,Complete,
,,Complete,
,,Complete,
,,Complete,
,,Complete,
21DCP012R,,Complete,False
,,Complete,
,,Withdrawn-Other,False
24DCP058R,ZA; ZA; ZA,Complete,False
,,Complete,
,,Complete,
,,Complete,
,,Complete,False
25DCP022X,ZC,Active,False
,,Terminated,False
,,Complete,
21DCP196Q,ZA; ZA; ZS; ZC; LD,Complete,False
83-290,,Withdrawn-Other,
20DCP071R,,Complete,False
20HPD053M,ZR; ZM; PP; PQ; ZS,Complete,False
20DCP031X,ZC; LD,Complete,False
22DCP172M,ZR,Complete,False
84-059,,Withdrawn-Other,
,,Withdrawn-Other,
22DCP009K,ZM; ZR,Complete,False
,,Complete,
24DCP116Q,ZA,Complete,False
22DCP047M,ZC,Complete,False
85-209K,,Complete,
,,Complete,
21DCP010K,ZM; ZR,Complete,False
,,Complete,
20DCP002R,,Complete,False
