ulurp_numbers,current_milestone_date,app_filed_date,flood_zone_shadedx,mih_option2
C850085PPK,,,,
,,,,
,,,,
N210464ZAR; N210465ZAR,2022-04-19T00:00:00.000,2021-06-02T00:00:00.000,False,False
N210210ZCK; N210077LDK,2021-12-01T00:00:00.000,2020-12-08T00:00:00.000,False,False
,,,,
C220364ZMQ; C220365ZSQ; C220366ZSQ; C220368ZSQ; C220369ZSQ; C220371ZSQ; C220373ZSQ; C220374ZSQ; N220375LDQ,2022-11-29T00:00:00.000,2022-03-30T00:00:00.000,False,False
A760037ZLR,,,,
190530HIM,2019-09-30T00:00:00.000,2019-06-20T00:00:00.000,False,False
C770212HDQ; C770213HLQ,,,,
N200268ECM,2020-03-22T00:00:00.000,2020-02-20T00:00:00.000,False,False
N190525HIM,2019-09-30T00:00:00.000,,False,False
,,,,
,,,,
C850293PPK,,,,
,,,,
N200006RCR,2019-08-20T00:00:00.000,2019-07-05T00:00:00.000,False,False
N850011HKM,,,,
M860200EZSM; M210198LDM,2021-04-30T00:00:00.000,2020-12-01T00:00:00.000,False,False
N760030ZSM,,,,
N200241RCR,2020-10-07T00:00:00.000,2020-02-07T00:00:00.000,False,False
C770020HMK,,,,
N770274ZRM,,,,
,2022-01-12T00:00:00.000,2020-07-31T00:00:00.000,False,False
,,,,
N220348RCR,2022-06-29T00:00:00.000,2022-03-24T00:00:00.000,False,False
C770229HDX,,,,
C210335ZMK; N210336ZRK; C210260ZSK,2023-01-12T00:00:00.000,2021-03-26T00:00:00.000,False,False
N240025ZAR,2024-04-10T00:00:00.000,,False,False
,,,,
,,,,
N190516RCR,2019-07-30T00:00:00.000,2019-06-12T00:00:00.000,False,False
N210057ZAK; N210058ZAK; N210059ZCK; N210060LDK,2020-12-01T00:00:00.000,,False,False
C770225HOX,,,,
,,,,
N210061ZRK,2021-06-02T00:00:00.000,2020-08-10T00:00:00.000,False,False
,,,False,False
N200120RCR; N200121RCR,2020-02-25T00:00:00.000,2019-10-07T00:00:00.000,False,False
,2022-10-11T00:00:00.000,2019-12-13T00:00:00.000,False,False
C850115ZSM,,,,
N200132RCR,2020-01-06T00:00:00.000,2019-10-08T00:00:00.000,False,False
N200308ZCR,2020-09-04T00:00:00.000,2020-04-10T00:00:00.000,False,False
,2019-05-31T00:00:00.000,2019-05-31T00:00:00.000,False,False
,,,,
190502RCR; 190503RCR,2019-08-21T00:00:00.000,2019-06-04T00:00:00.000,False,False
,2022-10-11T00:00:00.000,2019-07-16T00:00:00.000,False,False
,,,,
N210116ZCM,2021-01-07T00:00:00.000,2020-10-05T00:00:00.000,False,False
C770189PPK,,,,
N200041RCR,2019-10-01T00:00:00.000,2019-08-06T00:00:00.000,False,False
,2022-03-08T00:00:00.000,2020-02-19T00:00:00.000,False,False
N760084MPR,,,,
,,,,
N210219ZCM; N210220ZCM,2021-11-08T00:00:00.000,2020-12-14T00:00:00.000,False,False
C850570PSK; C850572ZMK,,,,
,,,,
N200089ZCM,2019-11-12T00:00:00.000,2019-09-03T00:00:00.000,False,False
C770368MFK,,,,
N210206ZAR; N210207ZAR; N210208ZCR; N210209ZAR,2021-06-11T00:00:00.000,2020-12-10T00:00:00.000,False,False
N190538HIR,2019-09-30T00:00:00.000,2019-06-28T00:00:00.000,False,False
N760053HRM,,,,
N840428ZRY,,,,
N190535HIM,2019-09-30T00:00:00.000,2019-06-28T00:00:00.000,False,False
N200199HIK,2020-02-17T00:00:00.000,2019-11-08T00:00:00.000,False,False
N200171ZAX; N200172ZAX; N200173ZAX,2021-08-26T00:00:00.000,2019-10-30T00:00:00.000,False,False
C850087PPK,,,,
C850279HDM,,,,
,,,,
,2023-02-09T00:00:00.000,2020-11-23T00:00:00.000,False,True
N230112ZRR,2023-11-20T00:00:00.000,2023-04-07T00:00:00.000,False,False
N210048RCR,2020-12-03T00:00:00.000,2020-08-05T00:00:00.000,False,False
N770446HGK,,,,
N230265ZAR; N230266ZAR,2024-03-20T00:00:00.000,2023-03-10T00:00:00.000,False,False
,,,,
N190507RCR,2019-11-04T00:00:00.000,2019-07-03T00:00:00.000,False,False
210221PCR,2021-06-15T00:00:00.000,2020-12-11T00:00:00.000,False,False
,2022-10-11T00:00:00.000,2019-05-29T00:00:00.000,False,False
,,,,
C851003PPK,,,,
N230017CMX; N230073CMX; N230074CMX; N230075CMX; N230076CMX; N230077CMX,2024-11-14T00:00:00.000,2022-07-27T00:00:00.000,False,False
C770034MMQ,,,,
,,,,
N200245RCR,2020-09-04T00:00:00.000,2020-01-23T00:00:00.000,False,False
C770248ZSK,,,,
N210030ZCM,2020-12-17T00:00:00.000,2020-07-20T00:00:00.000,False,False
N770421ZAK,,,,
N200227HIM,2020-04-27T00:00:00.000,,False,False
C850788HUK; C850789HDK; C850790ZMK,,,,
,,,,
C210164ZMQ; N210165ZRQ,2021-12-21T00:00:00.000,2020-11-19T00:00:00.000,False,True
,,,,
,,,,
N760013PDM,,,,
,,,,
C760215ZMM,,,,
M210012LDM; F210013LDM,2020-09-11T00:00:00.000,2020-07-09T00:00:00.000,False,False
C810308HAM,,,,
C770234HOR,,,,
,,,,
220185ZMQ,2024-08-16T00:00:00.000,,False,False
220453ZMK; N220454ZRK,2023-11-20T00:00:00.000,2022-06-14T00:00:00.000,False,False
N770439HCK,,,,
220356HAX; 220357PQX,2022-10-04T00:00:00.000,2022-03-23T00:00:00.000,False,False
N850013HKM,,,,
N230014RCR; N230015RCR; N230016RCR,2023-02-06T00:00:00.000,,False,False
C770327PPQ,,,,
N210380ZRY,2021-12-21T00:00:00.000,2021-05-13T00:00:00.000,False,False
,2023-05-18T00:00:00.000,,False,False
N210236RCR; N210237RCR,2022-01-07T00:00:00.000,2021-01-13T00:00:00.000,False,False
,2025-10-15T00:00:00.000,2025-10-15T00:00:00.000,False,False
240097MMQ,2025-10-21T00:00:00.000,2023-10-02T00:00:00.000,False,False
N210251ZCM,2022-01-11T00:00:00.000,2021-02-01T00:00:00.000,False,False
,,,,
N210084ZCR,2020-11-19T00:00:00.000,2020-08-25T00:00:00.000,False,False
N760114HCM,,,,
,2024-10-08T00:00:00.000,2024-10-08T00:00:00.000,False,False
C850058GFM; C850059GFM,,,,
N760011RCR,,,,
N200195HIK,2020-02-17T00:00:00.000,2019-11-08T00:00:00.000,False,False
N850280ZRY; C850281ZSM,,,,
N200075ZCM,2019-10-19T00:00:00.000,2019-08-26T00:00:00.000,False,False
N760203ZAX,,,,
,,,,
,,,,
C210027ZMX; N210028ZRX,2021-06-02T00:00:00.000,2020-07-20T00:00:00.000,False,True
,,,,
,2022-05-05T00:00:00.000,,False,True
N200309ZCM,2021-04-20T00:00:00.000,2020-04-13T00:00:00.000,False,False
,,,,
C770078ZPM,,,,
C770210MMQ,,,,
N200038RCR,2019-12-05T00:00:00.000,2019-07-29T00:00:00.000,False,False
C210128ZMQ; N210129ZRQ,2022-07-22T00:00:00.000,2020-10-16T00:00:00.000,False,True
C850571MMK,,,,
,,,,
N210020HIM,2020-10-20T00:00:00.000,,False,False
N240002PXM,2023-10-05T00:00:00.000,2023-08-17T00:00:00.000,False,False
N770019ZAR,,,,
C770231HDX,,,,
C210213ZMQ; N210214ZRQ,2022-08-02T00:00:00.000,2020-12-10T00:00:00.000,False,False
,,,,
N190533HIM,2019-09-30T00:00:00.000,2019-06-28T00:00:00.000,False,False
,2024-07-24T00:00:00.000,,False,True
,,,,
C850314PPM,,,,
N760100RCR,,,,
N770043HSK,,,,
N200202RCR,2020-02-18T00:00:00.000,2019-11-14T00:00:00.000,False,False
N200209RCR,2020-02-25T00:00:00.000,2019-12-10T00:00:00.000,False,False
C770062TCM,,,,
,,,,
210338PSX,2021-09-28T00:00:00.000,2021-03-22T00:00:00.000,False,False
N760101RCR,,,,
,2023-09-07T00:00:00.000,,False,False
I850691HDK,,,,
A770553MLK,,,,
190529HIM,2019-09-30T00:00:00.000,,False,False
,,,,
C850986HAK,,,,
N250088ZCM; N250181LDM,2025-07-24T00:00:00.000,2024-10-28T00:00:00.000,False,False
N840345ZRY,,,,
C770208TCM,,,,
,,,,
N770129MDM,,,,
C210285ZMK; N210286ZRK,2022-03-18T00:00:00.000,2021-02-16T00:00:00.000,False,True
N210016RCR,2020-09-17T00:00:00.000,2020-07-14T00:00:00.000,False,False
N770135MFY; N770642MFY,,,,
C850561PPK,,,,
,,,,
C210276ZMK; N210277ZRK,2021-12-01T00:00:00.000,2021-02-10T00:00:00.000,False,True
N210072RCR,2020-12-18T00:00:00.000,2020-08-18T00:00:00.000,False,False
N230385HIX,2023-10-26T00:00:00.000,2023-06-27T00:00:00.000,False,False
C760083MFK,,,,
N200234RCR,2020-02-06T00:00:00.000,2019-12-31T00:00:00.000,False,False
C210351ZMM; N210352ZRM; C210353ZSM,2022-01-14T00:00:00.000,2021-04-01T00:00:00.000,False,True
,2022-10-11T00:00:00.000,2019-05-29T00:00:00.000,False,False
N760170ZAR,,,,
C850436PPK,,,,
,2022-10-11T00:00:00.000,2019-05-21T00:00:00.000,False,False
N220309ZCR,2022-05-26T00:00:00.000,,False,False
210386ZMK; N210387ZRK; 210379ZSK,2023-01-12T00:00:00.000,2021-05-11T00:00:00.000,False,False
C220250ZMQ,2023-01-24T00:00:00.000,,False,False
C770321PPQ,,,,
N210029RCR,2020-08-28T00:00:00.000,2020-07-20T00:00:00.000,False,False
C770319PPQ,,,,
N760103ZCM,,,,
N200193RCR,2019-12-20T00:00:00.000,2019-11-06T00:00:00.000,False,False
C760206ZSK,,,,
,,,,
210076(A)LDM,2022-11-18T00:00:00.000,2022-11-17T00:00:00.000,False,False
N770021ZRM; S770025ZMM,,,,
N200322RCR; N200302RCR,2020-10-22T00:00:00.000,2020-04-23T00:00:00.000,False,False
,2022-10-11T00:00:00.000,2019-11-01T00:00:00.000,False,False
N210330ZCR; N210500LDR,2021-09-10T00:00:00.000,2021-03-17T00:00:00.000,False,False
,2025-10-11T00:00:00.000,2025-08-22T00:00:00.000,False,False
N760159PDQ,,,,
210317ZMQ; N210318ZRQ; 210319ZSQ,,2021-03-15T00:00:00.000,False,False
C770084MFM,,,,
,,,,
250279ZAR,2025-09-29T00:00:00.000,2025-04-30T00:00:00.000,False,False
C850426PPK,,,,
C220171ZMX,2022-09-20T00:00:00.000,,False,False
,2022-10-11T00:00:00.000,,False,False
,,,,
N850732ZRK,,,,
N210004ZCM,2020-09-18T00:00:00.000,2020-07-15T00:00:00.000,False,False
C760073HDK,,,,
190542HKK,2019-10-29T00:00:00.000,,False,False
N230170CMR; M190106AZAR,2024-12-19T00:00:00.000,2022-12-27T00:00:00.000,False,False
