project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
P1977M0468,EMPIRE_DINER,C760036TCM,"NOTHING HEAVY, INC",,1977-12-01T00:00:00.000,,,,General Public,,,M04
2019K0406,446-448 Park Avenue Rezoning,C210332ZMK; N210333ZRK,Yoel Horowitz,Unlisted,,EAS - Project Completed,,True,General Public,EAS - Review Filed EAS,2022-03-25T00:00:00.000,K03
2020Q0302,26-50 Brooklyn Queens Expressway West Rezoning,210283ZMQ,2650 BQE LOR LLC,Unlisted,,EAS - Project Completed,,False,General Public,EAS - Review Filed EAS,2022-10-28T00:00:00.000,Q01
P1985K0946,DISPOSITION OF CITY-OWNED PROPERTY,C851009PPK,DRP,,1985-10-24T00:00:00.000,,,,General Public,,,K15
P1977R0380,,,NYCTA,,1977-12-19T00:00:00.000,,,,General Public,,,R01
P1984Y1163,,,Unknown,,,,,,General Public,,,
P1985M0048,530 E76TH ST,,GLICK CONST/MCGEE & MORSELLINO,,1984-10-23T00:00:00.000,,,,General Public,,,M08
P1984Y1109,,,Unknown,,,,,,General Public,,,
2019K0416,180-186 Throop Ave FRESH Certification,N200113ZCK; N200213LDK,Judy Gallent,Type II,2020-02-03T00:00:00.000,ZC - Project Completed,,False,General Public,,,K03
P1977X0442,,C770341PPX,DEPT OF REAL ESTATE,,1978-03-02T00:00:00.000,,,,General Public,,,X10
P1978Q0220,,C770628PPQ,DEPT OF REAL ESTATE,,1978-06-29T00:00:00.000,,,,General Public,,,Q04
P1985K0411,DISPOSITION OF CITY-OWNED PROPERTY,C850434PPK,DRP,,1985-05-23T00:00:00.000,,,,General Public,,,K01
P1984Y0986,,,Unknown,,,,,,General Public,,,
P1985K1118,SCATTARO'S SPMKT,,SCATURRO\MORSELLINO,,,,,,General Public,,,
P1985K0639,264 ST JAMES PL,C850666PPK,DRP,,1985-10-10T00:00:00.000,,,,General Public,,,K02
P1984Y1004,,,Unknown,,,,,,General Public,,,
P1977M0011,E139TH ST BET 5TH AVE & HARLEM RIVER DR,,RIVERBEND HOUSING CO,,1976-09-13T00:00:00.000,,,,General Public,,,M11
P1977M0158,,,"LINDENBAUM, S",,1978-09-07T00:00:00.000,,,,General Public,,,M08
P1977K0296,MENORAH HOME & HOSPITAL,C770158ZSK,MENORAH HOME & HOSP FOR AGED & INFIRM,,1977-08-25T00:00:00.000,,,,General Public,,,K15
P1985K0585,GARIBALDI SQUARE,,"PROFETTA, ALLAN/ROTHKRUG",,1989-11-20T00:00:00.000,,,,General Public,,,K15
2025K0237,Constellation CB16,250314HAK,HPD - NYC Dept of Housing Preservation & Development,Unlisted,,HA - Borough President Referral,,False,General Public,,2025-05-30T00:00:00.000,K16
P1985K1145,1615 59 ST,,AUGUSTA,,,,,,General Public,,,
P1977Q0528,MEGAS ALEXANDROS,C770180TCQ,"MEGA ALEXANDROS, INC",,1978-05-09T00:00:00.000,,,,General Public,,,Q01
P1977K0521,"NATHANS FAMOUS,INC",,NATHANS FAMOUS INC,,1978-04-20T00:00:00.000,,,,General Public,,,K13
P1977M0140,,,TRANSIT,,1980-04-21T00:00:00.000,,,,General Public,,,M01
2020R0176,SS 61 Seguine Avenue,N200079RCR,Melissa Piccininni,Type II,2019-10-01T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1977K0312,SALE OF CITY-OWNED PROPERTY,C770183PPK,DEPT OF REAL ESTATE,,1977-09-16T00:00:00.000,,,,General Public,,,K03
P1977Y0216,,N770022ZRY; N770029ZRY,MOD,,1977-04-22T00:00:00.000,,,,General Public,,,"K00,X00,CY00,M00,Q00,R00"
P1977X0286,CO-OP CITY Easements,,DWR,,1979-03-05T00:00:00.000,,,,General Public,,,X10
P1977Q0013,"FOREST HILLS,DITMARS BLVD",,TRIBORO COACH CORP,,1977-05-02T00:00:00.000,,,,General Public,,,"Q05,Q06"
