project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
2019K0469,376 Flushing Avenue FRESH,N210153ZCK,"Riverside Developers USA, Inc.",Type II,2021-03-30T00:00:00.000,ZC - Final Letter Sent,33.0,False,General Public,,,K03
2024R0343,59 Sherman Avenue,250071ZAR; 250072ZAR; 250073ZAR,Mohammed Alkhilewi,Type II,2025-05-08T00:00:00.000,ZA - Project Completed,,False,General Public,,,R01
P1977K0402,SALE OF CITY-OWNED PROPERTY,C770301PPK,DEPT OF REAL ESTATE,,1978-01-19T00:00:00.000,,,,General Public,,,K17
P1977M0413,,C770312PPM,DEPT OF REAL ESTATE,,1978-03-02T00:00:00.000,,,,General Public,,,M10
P1984Y1030,,,Unknown,,,,,,General Public,,,
P1977K0299,511 LIBERTY AVE,N770204PAK,DSNY,,1978-04-21T00:00:00.000,,,,General Public,,,K05
P1985K0074,DISPOSITION OF CITY-OWNED PROPERTY,C850083PPK,DRP,,1985-03-14T00:00:00.000,,,,General Public,,,K03
2021X0303,625 West 246th St - SNAD Violation,210358ZCX; 210359LDX,Kevin Maher,Type II,2021-06-10T00:00:00.000,ZC - Project Completed,,False,General Public,,,X08
P1985M0150,161-163 E118TH ST,C850165PPM,DRP,,1985-01-24T00:00:00.000,,,,General Public,,,M11
2020R0226,272 & 280 Edinboro Road,N200355ZCR,Jacob Agai,Type II,2020-10-21T00:00:00.000,ZC - Project Completed,,False,General Public,,,R02
P1977Q0424,,C770323PPQ,DEPT OF REAL ESTATE,,1978-02-02T00:00:00.000,,,,General Public,,,Q09
2019K0441,41 Summit Street,200317ZMK,41 Summit Street LLC,Unlisted,2022-07-22T00:00:00.000,EAS - Project Completed,39.0,False,General Public,EAS - Review Filed EAS,2021-12-17T00:00:00.000,K06
2023K0202,GSD Waterfront Certification -155 3rd St,N240050ZCK,Matthew Albert,Type II,2024-07-15T00:00:00.000,ZC - Project Completed,,False,General Public,,,K06
P1985K0250,DISPOSITION OF CITY-OWNED PROPERTY,C850267PPK,DRP,,1985-04-18T00:00:00.000,,,,General Public,,,K04
2020M0168,Cara Jecm LLC,,Cara Jecm LLC,Not Applicable,2022-10-11T00:00:00.000,EC - Project Completed,,False,General Public,,,M02
P1977M0516,RUSTY'S,C770138TCM,"S B J RESTAURANT, INC",,1978-01-19T00:00:00.000,,,,General Public,,,M08
2020Q0278,Reform Temple of Forest Hills Rezoning,C220274ZMQ; N220275ZRQ,Reform Temple of Forest Hills,Unlisted,,EAS - Project Completed,,True,General Public,EAS - Review Filed EAS,2022-03-25T00:00:00.000,Q06
2024M0112,244 East 106th Street- ShareNYC Transit Easement,N 240032 ZCM,Felipe Cortes,Type II,2023-09-22T00:00:00.000,ZC - Project Completed,,False,General Public,,,M11
2020Q0156,133 Beach 116th Street Overlay Rezoning,C210148ZMQ,Seth Caller,Unlisted,2021-10-19T00:00:00.000,EAS - Project Completed,,False,General Public,EAS - Review Filed EAS,2021-01-14T00:00:00.000,Q14
P1977R0021,"500 ST,GEORGE RD",N760020ZAR,LAURIA ASSOC FOR JOE UGGIANO,,1976-12-08T00:00:00.000,,,,General Public,,,R03
2020M0469,Block 4 - Lot 17 Transfer Application,N220013ZCM; N220030LDM,438-444 Eleventh Avenue LLC (Tishman Speyer),Type II,2022-01-12T00:00:00.000,ZC - Project Completed,,False,General Public,,,M04
P1977R0430,,C770329PPR,DEPT OF REAL ESTATE,,1978-01-19T00:00:00.000,,,,General Public,,,R01
P1985K1232,TONY MONACO,,WEINBERG,,,,,,General Public,,,
P1985K0001,NEHEMIAH PLAN PHASE II,C850108HDK,HPD,,1984-12-06T00:00:00.000,,,,General Public,,,K16
P1977Y0332,,C770195MFY,CLUB TRANSPORTATION CORP,,1978-09-14T00:00:00.000,,,,General Public,,,"X01,X04,X05,X07,X08,X12,M05,M06,M08,M11"
P1984Y1241,,,Unknown,,,,,,General Public,,,
2020Q0500,St. Michael's Park Elimination Modification,M180175AMMQ,DPR - Department of Parks & Recreation NYC,Not Applicable,2021-03-01T00:00:00.000,MM - Project Completed,,False,General Public,,,Q01
2020R0371,SD 7 Ballard Avenue,N200240RCR,Carol Perrotto,Type II,2023-05-24T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
2019M0484,James Baldwin Residence,N190537HIM,NYC LPC,,2019-09-30T00:00:00.000,HI - Project Completed,,False,General Public,,,M07
2019M0399,Dorrian's Red Hand,,Dorrian's Red Hand,Not Applicable,2022-10-11T00:00:00.000,EC - Project Completed,,False,General Public,,,M08
P1984Y1237,,,Unknown,,,,,,General Public,,,
P1985M0053,TIME & LIFE BLDG,C850064GFM,"ROCK-TIME, INC",,1985-04-18T00:00:00.000,,,,General Public,,,M05
P1977M0482,LA FIGARO CAFE,C770024TCM,LA FIGARO CAFE INC,,1977-08-18T00:00:00.000,,,,General Public,,,M02
