manhattan_cooperatives_comparable_properties_boro_block_lot,longitude,comparable_rental_1_gross_sqft,bin,comparable_rental_1_building_classification,comparable_rental_2_estimated_gross_income,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_1_full_market_value,comparable_rental_2_address,comparable_rental_3_address,comparable_rental_2_full_market_value,borough,nta,comparable_rental_2_building_classification,comparable_rental_1_total_units,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_2_total_units,comparable_rental_2_boro_block_lot,manhattan_cooperatives_comparable_properties_market_value_per_sqft
1-01493-0033,-73.95985,12648,1046669.0,D7-ELEVATOR,3348491.0,0.1,2251000,"{'latitude': '40.775731914748', 'longitude': '-73.960245477978', 'human_address': '{""address"": ""903 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,14572000.0,1,Upper East Side-Carnegie Hill                                              ,D3-ELEVATOR,18, , ,70.0,1-01508-0001,149.19
1-00892-0080,,14577,,D9-ELEVATOR,1157993.0,0.09,3734000,"{'latitude': '40.748670387095', 'longitude': '-73.978047734773', 'human_address': '{""address"": ""305 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",142 EAST 33 STREET,5126000.0,1,,D3-ELEVATOR,23,35.27,1927,50.0,1-00893-0066,174.96
1-01432-0005,,75854,,D3-ELEVATOR,2287554.0,0.43,12641000,"{'latitude': '40.639012777796', 'longitude': '-74.023091666562', 'human_address': '{""address"": ""320 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",420 EAST 79 STREET,14061000.0,1,,D3-ELEVATOR,87,30.36,1959,71.0,1-01439-0042,181.46
1-01349-0009,,30225,,D1-ELEVATOR,657115.0,0.06,3130000,"{'latitude': '40.642633517775', 'longitude': '-74.01835711284', 'human_address': '{""address"": ""340 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",422 EAST 58 STREET,3215000.0,1,,D1-ELEVATOR,34,32.2,1939,38.0,1-01350-0033,122.96
1-02142-0130,-73.938839,70436,1063500.0,D7-ELEVATOR,1116428.0,0.1,2167000,"{'latitude': '40.847595003346', 'longitude': '-73.938080764897', 'human_address': '{""address"": ""701 177 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3531000.0,1,Washington Heights South                                                   ,D7-ELEVATOR,68, , ,45.0,1-02176-0074,37.03
1-01497-0034,-73.95757,113052,1046833.0,D6-ELEVATOR,4750837.0,0.05,25985000,"{'latitude': '40.780344508967', 'longitude': '-73.95493515862', 'human_address': '{""address"": ""1290 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1341 LEXINGTON AVENUE,24543000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,41,30.93,1960,123.0,1-01516-0013,162.33
1-01309-0069,-73.971393,66386,1036494.0,D6-ELEVATOR,2838640.0,0.13,14039000,"{'latitude': '40.644433092786', 'longitude': '-74.021338943003', 'human_address': '{""address"": ""210 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",965 1 AVENUE,13841000.0,1,Turtle Bay-East Midtown                                                    ,D6-ELEVATOR,113,32.61,1934,109.0,1-01331-0039,164.77
1-02238-0011,-73.924432,45962,1064953.0,D1-ELEVATOR,566455.0,0.05,2596000,"{'latitude': '40.868603972922', 'longitude': '-73.925869070633', 'human_address': '{""address"": ""119 PAYSON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1847000.0,1,Marble Hill-Inwood                                                         ,D1-ELEVATOR,48, , ,43.0,1-02248-0012,50.44
1-01379-0051,,174273,,D6-ELEVATOR,6065130.0,0.31,37783000,"{'latitude': '40.762924641259', 'longitude': '-73.962633355191', 'human_address': '{""address"": ""1191 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",43 EAST 60 STREET,27757000.0,1,,D6-ELEVATOR,116,39.79,1910,191.0,1-01417-0028,149.21
1-01380-0035,-73.966943,41692,1041136.0,D9-ELEVATOR,1173708.0,0.05,8600000,"{'latitude': '40.642311269898', 'longitude': '-74.025427870612', 'human_address': '{""address"": ""103 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4 EAST 65 STREET,7087000.0,1,Upper East Side-Carnegie Hill                                              ,D7-ELEVATOR,40,39.1,1915,37.0,1-01398-0006,214.64
1-01030-0048,-73.965126,94166,1000000.0,D6-ELEVATOR,2272731.0,0.05,15962000,"{'latitude': '40.643592681736', 'longitude': '-74.018329671011', 'human_address': '{""address"": ""307 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",134 WEST 58 STREET,11365000.0,1,park-cemetery-etc-Manhattan                                                ,D6-ELEVATOR,66,30.54,1930,125.0,1-01048-0026,161.21
1-01437-0001,-73.962894,67390,1044360.0,D9-ELEVATOR,6618945.0,0.1,12852000,"{'latitude': '40.763113498886', 'longitude': '-73.959422775546', 'human_address': '{""address"": ""1199 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",310 EAST 65 STREET,30952000.0,1,Lenox Hill-Roosevelt Island                                                ,D6-ELEVATOR,90,31.41,1965,166.0,1-01439-0030,162.8
1-01055-0044,,12705,,C4-WALK-UP,286997.0,0.0,2201000,"{'latitude': '40.648050787936', 'longitude': '-74.009210199881', 'human_address': '{""address"": ""444 46 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1485000.0,1,,C4-WALK-UP,22, , ,20.0,1-01055-0055,124.08
1-02099-0036,-73.947087,67350,1062470.0,D1-ELEVATOR,672372.0,0.85,2161000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2400 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1397000.0,1,Hamilton Heights                                                           ,D7-ELEVATOR,70, , ,57.0,1-02026-0029,38.63
1-00518-0032,-74.001808,20901,1008072.0,C7-WALK-UP,332649.0,0.0,5296000,"{'latitude': '40.727131624493', 'longitude': '-74.001807822787', 'human_address': '{""address"": ""148 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1736000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,C7-WALK-UP,34, , ,20.0,1-00518-0034,204.56
1-02176-0044,,20500,,C1-WALK-UP,223880.0,0.0,1278000,"{'latitude': '40.847655731444', 'longitude': '-73.938390098649', 'human_address': '{""address"": ""723 177 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,590000.0,1,,C1-WALK-UP,22, , ,19.0,1-02176-0001,47.0
1-00791-0013,,62400,,D9-ELEVATOR,946686.0,0.0,13333000,"{'latitude': '40.666222256088', 'longitude': '-73.992349022585', 'human_address': '{""address"": ""125 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",103 WEST 14 STREET,3355000.0,1,,D6-ELEVATOR,69,31.35,1950,44.0,1-00792-0020,154.21
1-01529-0045,,69001,,D7-ELEVATOR,7345583.0,0.05,11880000,"{'latitude': '40.777331780169', 'longitude': '-73.955061063704', 'human_address': '{""address"": ""1482 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,41329000.0,1,,D6-ELEVATOR,83, , ,185.0,1-01512-0040,182.29
1-01895-0047,,30568,,D3-ELEVATOR,580015.0,0.05,2388000,"{'latitude': '40.805011781589', 'longitude': '-73.96268590192', 'human_address': '{""address"": ""507 113 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2471000.0,1,,D3-ELEVATOR,38, , ,33.0,1-01885-0027,90.75
1-01916-0029,-73.942626,9235,1058102.0,C4-WALK-UP,153453.0,0.15,316000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2275 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,566000.0,1,Central Harlem North-Polo Grounds                                          ,C7-WALK-UP,11, , ,18.0,1-01918-0060,48.63
1-01382-0001,-73.968988,11250,1041199.0,D9-ELEVATOR,495077.0,0.05,2058000,"{'latitude': '40.640591118576', 'longitude': '-74.025600501183', 'human_address': '{""address"": ""19 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2651000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,18, , ,19.0,1-01380-0014,178.51
1-00822-0045,,98690,,D7-ELEVATOR,3088232.0,0.13,21289000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""552 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,17036000.0,1,,D9-ELEVATOR,100, , ,111.0,1-00817-0001,203.64
1-01525-0021,-73.954949,36720,1048515.0,D3-ELEVATOR,,0.1,6037000,, ,,1,Yorkville                                                                  , ,53, , ,,,176.93
1-01120-0029,-73.965126,160049,1000000.0,D6-ELEVATOR,5072576.0,0.34,32218000,"{'latitude': '40.6354694992', 'longitude': '-74.03531367271', 'human_address': '{""address"": ""50 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,24948000.0,1,park-cemetery-etc-Manhattan                                                ,D7-ELEVATOR,233, , ,213.0,1-01124-0059,184.13
1-01206-0029,-73.965126,133915,1000000.0,D3-ELEVATOR,4333969.0,0.21,13094000,"{'latitude': '40.767852935294', 'longitude': '-73.981336598051', 'human_address': '{""address"": ""295 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,20704000.0,1,park-cemetery-etc-Manhattan                                                ,D3-ELEVATOR,92, , ,136.0,1-01203-0033,117.16
1-00921-0019,,65602,,D6-ELEVATOR,2980580.0,0.21,8641000,"{'latitude': '40.602516583915', 'longitude': '-74.006627016324', 'human_address': '{""address"": ""222 19 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,12615000.0,1,,D9-ELEVATOR,69, , ,106.0,1-00899-0040,154.0
1-01204-0001,-73.970189,152765,1031595.0,D3-ELEVATOR,4993673.0,0.1,9660000,"{'latitude': '40.651117794177', 'longitude': '-73.910302056479', 'human_address': '{""address"": ""741 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,15750000.0,1,Upper West Side                                                            ,D7-ELEVATOR,169, , ,221.0,1-01832-0001,73.11
1-00452-0006,-73.986484,9200,1006435.0,C1-WALK-UP,1529405.0,0.0,1552000,"{'latitude': '40.729343956685', 'longitude': '-73.987103907608', 'human_address': '{""address"": ""146 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",198 2 AVENUE,7624000.0,1,East Village                                                               ,C7-WALK-UP,15,28.77,1920,62.0,1-00451-0001,164.24
1-01216-0016,,57799,,D9-ELEVATOR,497150.0,0.0,7630000,"{'latitude': '40.624718283672', 'longitude': '-74.039873204651', 'human_address': '{""address"": ""20 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2874000.0,1,,D1-ELEVATOR,48, , ,16.0,1-01200-0043,146.91
1-00390-0055,,6055,,C4-WALK-UP,98082.0,0.0,807000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""175 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1030000.0,1,,C4-WALK-UP,20, , ,10.0,1-00393-0033,89.89
1-01404-0052,-73.963328,73396,1042508.0,D7-ELEVATOR,2336130.0,0.1,15183000,"{'latitude': '40.771908868332', 'longitude': '-73.961122494181', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,10916000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,39, , ,35.0,1-01409-0021,184.03
1-01368-0036,,140000,,D6-ELEVATOR,3767318.0,0.06,18496000,"{'latitude': '40.75680025824', 'longitude': '-73.964009317895', 'human_address': '{""address"": ""994 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,16165000.0,1,,D6-ELEVATOR,130, , ,132.0,1-01366-0047,138.39
1-01253-0004,-73.976163,22290,1034176.0,D1-ELEVATOR,693201.0,0.0,1991000,"{'latitude': '40.618672735919', 'longitude': '-74.032715071379', 'human_address': '{""address"": ""308 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3342000.0,1,Upper West Side                                                            ,D1-ELEVATOR,24, , ,48.0,1-01252-0024,90.94
1-01367-0031,,108559,,D6-ELEVATOR,657115.0,0.17,17162000,"{'latitude': '40.642633517775', 'longitude': '-74.01835711284', 'human_address': '{""address"": ""340 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3215000.0,1,,D1-ELEVATOR,128, , ,38.0,1-01350-0033,143.37
1-00464-9048,-73.988783,12822,1006754.0,C7-WALK-UP,596027.0,0.0,2160000,"{'latitude': '40.729119126178', 'longitude': '-73.988893558446', 'human_address': '{""address"": ""17 ST MARK\'S PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3171000.0,1,East Village                                                               ,C7-WALK-UP,21, , ,24.0,1-00464-0051,225.2
1-00610-0048,,16800,,C7-WALK-UP,558882.0,0.05,1917000,"{'latitude': '40.735162570215', 'longitude': '-74.001376148213', 'human_address': '{""address"": ""24 CHARLES STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19 GREENWICH AVENUE,3180000.0,1,,C7-WALK-UP,25,58.4,1920,19.0,1-00611-0045,220.08
1-01524-0044,,65692,,D3-ELEVATOR,1628817.0,0.18,12043000,"{'latitude': '40.786837614018', 'longitude': '-73.952515982361', 'human_address': '{""address"": ""1240 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1442 LEXINGTON AVENUE,7849000.0,1,,D7-ELEVATOR,54,35.46,1920,39.0,1-01602-0033,184.3
1-02136-0128,,62736,,D1-ELEVATOR,531266.0,0.04,1606000,"{'latitude': '40.838161494675', 'longitude': '-73.945009450895', 'human_address': '{""address"": ""666 162 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1949000.0,1,,D1-ELEVATOR,48, , ,49.0,1-02136-0175,33.52
1-01581-0039,,8145,,C7-WALK-UP,305527.0,0.0,1776000,"{'latitude': '40.62341151763', 'longitude': '-74.024695669675', 'human_address': '{""address"": ""513 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",538 EAST 85 STREET,1618000.0,1,,C1-WALK-UP,18,38.23,1910,15.0,1-01580-0010,194.23
1-00495-0002,-73.996977,41900,1007521.0,C7-WALK-UP,420894.0,0.29,9005000,"{'latitude': '40.719577319447', 'longitude': '-73.996250012646', 'human_address': '{""address"": ""160 MOTT STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2212000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,D1-ELEVATOR,17, , ,36.0,1-00470-0005,199.81
1-01504-0069,-73.956902,165834,1047093.0,D3-ELEVATOR,1628817.0,0.25,20582000,"{'latitude': '40.786837614018', 'longitude': '-73.952515982361', 'human_address': '{""address"": ""1240 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7849000.0,1,Upper East Side-Carnegie Hill                                              ,D7-ELEVATOR,86, , ,39.0,1-01602-0033,152.53
1-01877-0025,,27465,,C4-WALK-UP,533987.0,0.0,3264000,"{'latitude': '40.800482659193', 'longitude': '-73.96587246094', 'human_address': '{""address"": ""202 106 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2520000.0,1,,D9-ELEVATOR,53, , ,39.0,1-01877-0037,125.99
1-01328-0030,,84000,,D6-ELEVATOR,2235385.0,0.16,13841000,"{'latitude': '40.647506161485', 'longitude': '-74.014230544708', 'human_address': '{""address"": ""307 50 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",320 EAST 52 STREET,11162000.0,1,,D3-ELEVATOR,109,27.28,1960,111.0,1-01343-0005,156.88
1-01183-0042,,50600,,D9-ELEVATOR,1015948.0,0.23,5880000,"{'latitude': '40.63183778985', 'longitude': '-74.029251897674', 'human_address': '{""address"": ""245 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,5062000.0,1,,D1-ELEVATOR,61, , ,48.0,1-01167-0007,159.9
1-01249-0037,,9750,,C7-WALK-UP,,0.21,1864000,, ,,1,, ,13, , ,,,191.15
1-02179-0205,-73.93814,35270,1064354.0,C7-WALK-UP,262410.0,0.18,1798000,"{'latitude': '40.850231339053', 'longitude': '-73.939760653893', 'human_address': '{""address"": ""825 180 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,785000.0,1,Washington Heights North                                                   ,C7-WALK-UP,51, , ,28.0,1-02177-0126,41.02
1-01245-0015,,5280,,C5-WALK-UP,121828.0,0.13,1419000,"{'latitude': '40.626215806773', 'longitude': '-74.03251103189', 'human_address': '{""address"": ""206 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",208 WEST 83 STREET,1371000.0,1,,C7-WALK-UP,10,26.83,1900,9.0,1-01230-0135,141.74
1-00518-0014,-74.002324,11759,1008069.0,C4-WALK-UP,537500.0,0.0,1815000,"{'latitude': '40.726951760087', 'longitude': '-74.001951714312', 'human_address': '{""address"": ""142 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2477000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,C7-WALK-UP,23, , ,28.0,1-00518-0037,156.25
1-01495-0001,-73.961531,472600,1046777.0,D6-ELEVATOR,1057800.0,0.1,76683000,"{'latitude': '40.628493014629', 'longitude': '-74.035530781119', 'human_address': '{""address"": ""104 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,6340000.0,1,Upper East Side-Carnegie Hill                                              ,D1-ELEVATOR,360, , ,48.0,1-01509-0066,150.64
1-01513-0001,-73.958051,19200,1047668.0,D9-ELEVATOR,974827.0,0.05,2178000,"{'latitude': '40.628203340155', 'longitude': '-74.034107908575', 'human_address': '{""address"": ""151 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1328 LEXINGTON AVENUE,5332000.0,1,Upper East Side-Carnegie Hill                                              ,D1-ELEVATOR,20,37.7,1936,42.0,1-01510-0025,197.9
1-00802-0031,,26027,,D5-ELEVATOR,494396.0,0.05,2853000,"{'latitude': '40.661355283167', 'longitude': '-74.002561254876', 'human_address': '{""address"": ""26 27 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",28 WEST 26 STREET,2530000.0,1,,D8-ELEVATOR,13,31.16,1925,27.0,1-00828-0063,177.36
1-01895-0069,,27184,,D3-ELEVATOR,573083.0,0.15,2471000,"{'latitude': '40.805298859861', 'longitude': '-73.963372198414', 'human_address': '{""address"": ""533 113 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2302000.0,1,,D3-ELEVATOR,33, , ,32.0,1-01885-0015,87.28
1-00561-0009,,45496,,D6-ELEVATOR,935230.0,0.04,9620000,"{'latitude': '40.60912058213', 'longitude': '-74.007016644492', 'human_address': '{""address"": ""24 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12 5 AVENUE,4602000.0,1,,D9-ELEVATOR,62,34.81,1910,25.0,1-00570-0017,175.49
1-01993-0096,-73.95983,103528,1059859.0,D1-ELEVATOR,3011949.0,0.63,7500000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2411 FRED"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2450 FRED DOUGLASS BOULEV,9225000.0,1,Morningside Heights                                                        ,D3-ELEVATOR,109,14.24,1972,205.0,1-01955-0026,52.52
1-01881-0013,,17635,,C1-WALK-UP,352948.0,0.05,1829000,"{'latitude': '40.802666488549', 'longitude': '-73.96491505091', 'human_address': '{""address"": ""223 109 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1506000.0,1,,C4-WALK-UP,21, , ,25.0,1-01881-0019,90.17
1-01363-0040,,98808,,D3-ELEVATOR,3767318.0,0.06,11977000,"{'latitude': '40.75680025824', 'longitude': '-73.964009317895', 'human_address': '{""address"": ""994 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,16165000.0,1,,D6-ELEVATOR,78, , ,132.0,1-01366-0047,137.78
1-01568-0015,,23310,,C7-WALK-UP,277749.0,0.14,3721000,"{'latitude': '40.777115942882', 'longitude': '-73.946256701037', 'human_address': '{""address"": ""1671 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",410 EAST 88 STREET,1545000.0,1,,C7-WALK-UP,28,22.88,1920,9.0,1-01567-0028,159.63
1-00740-0019,,28821,,D7-ELEVATOR,1496883.0,0.1,4233000,"{'latitude': '40.666121460444', 'longitude': '-73.988644068794', 'human_address': '{""address"": ""253 14 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7686000.0,1,,D9-ELEVATOR,29, , ,47.0,1-00764-0007,167.74
1-00779-0010,,62824,,D9-ELEVATOR,2673759.0,0.17,6966000,"{'latitude': '40.744164783728', 'longitude': '-73.985566066938', 'human_address': '{""address"": ""80 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,12655000.0,1,,D6-ELEVATOR,68, , ,61.0,1-00858-0014,160.19
1-01491-0012,,8290,,D9-ELEVATOR,2335704.0,0.0,2057000,"{'latitude': '40.629333012145', 'longitude': '-74.035511629588', 'human_address': '{""address"": ""107 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",952 5 AVENUE,12219000.0,1,,D3-ELEVATOR,15,38.89,1923,33.0,1-01509-0006,161.42
1-00531-0001,-73.994667,26382,1008506.0,D5-ELEVATOR,1007446.0,0.08,7106000,"{'latitude': '40.726439146531', 'longitude': '-73.995881290614', 'human_address': '{""address"": ""640 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,4419000.0,1,West Village                                                               ,D5-ELEVATOR,43, , ,31.0,1-00522-0014,180.87
