c_relation,mos,s_add_cat,s_neigh,s_dv,no_s
1,0,999.0,0,0,1
1,0,999.0,0,0,0
1,0,2.0,1,0,0
1,0,7.0,0,1,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,1,7.0,0,0,0
1,0,1.2,0,0,0
1,0,999.0,0,0,1
1,0,2.0,0,0,0
1,0,999.0,1,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,1,0,0
0,0,999.0,0,0,1
1,0,999.0,0,0,0
1,0,7.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,2.0,0,0,0
1,0,999.0,0,0,0
1,0,999.0,0,0,0
1,0,3.0,0,0,0
1,0,999.0,0,0,1
1,0,5.0,0,0,0
1,1,999.0,1,0,0
1,0,999.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,0
1,1,999.0,0,0,1
1,0,999.0,0,0,1
1,1,999.0,0,0,1
0,0,7.0,0,0,0
1,0,999.0,0,0,1
1,0,1.7,0,0,0
1,0,999.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,1,0,0
1,0,999.0,0,0,1
0,0,999.0,0,0,1
1,0,999.0,1,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,1.0,0,0,0
1,0,7.0,0,0,0
1,0,999.0,0,0,0
1,0,1.0,1,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,0,0,0
1,0,999.0,0,0,0
1,0,1.0,0,0,0
1,1,999.0,0,0,1
1,0,999.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,0
1,0,999.0,1,0,0
1,0,999.0,0,0,0
1,0,999.0,0,0,0
1,0,999.0,0,0,0
1,0,1.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,2.0,0,0,0
1,0,999.0,0,0,1
1,0,999.0,0,0,1
1,0,1.4,0,0,0
1,0,999.0,1,0,0
0,0,999.0,0,0,0
0,0,4.0,0,0,0
1,0,4.57,0,0,0
1,0,999.0,0,0,1
1,0,999.0,1,0,0
1,0,7.0,0,1,0
