l_sexual,date,c_broaddv,s_neigh_no,v_race,l_sensation
1,2016-12-03T00:00:00.000,0,999,4,0
0,2016-01-01T00:00:00.000,0,999,3,0
0,2015-12-06T00:00:00.000,0,1,3,0
0,2014-01-19T00:00:00.000,1,999,3,0
0,2014-11-08T00:00:00.000,0,999,3,0
0,2015-10-17T00:00:00.000,0,999,3,0
0,2014-04-19T00:00:00.000,0,999,2,0
0,2013-03-03T00:00:00.000,0,999,4,0
1,2013-08-28T00:00:00.000,0,999,3,0
0,2016-08-01T00:00:00.000,0,999,1,0
0,2016-03-10T00:00:00.000,0,1,3,0
0,2014-09-08T00:00:00.000,0,999,1,0
0,2014-08-09T00:00:00.000,0,999,1,0
1,2016-12-26T00:00:00.000,0,2,3,1
0,2013-12-03T00:00:00.000,0,999,2,0
0,2013-12-22T00:00:00.000,0,999,3,0
0,2015-08-16T00:00:00.000,0,999,2,1
0,2013-03-02T00:00:00.000,0,999,999,0
0,2013-08-04T00:00:00.000,0,999,3,0
0,2014-01-19T00:00:00.000,0,999,3,0
0,2016-08-01T00:00:00.000,0,999,1,0
0,2014-12-17T00:00:00.000,0,999,2,1
0,2013-04-15T00:00:00.000,0,999,2,0
0,2016-02-10T00:00:00.000,0,999,2,0
0,2016-02-10T00:00:00.000,0,999,2,0
1,2014-12-17T00:00:00.000,0,999,2,0
0,2015-12-01T00:00:00.000,0,999,2,0
0,2016-05-11T00:00:00.000,0,999,3,1
0,2014-10-08T00:00:00.000,0,999,4,0
1,2013-06-04T00:00:00.000,0,999,4,0
0,2014-05-01T00:00:00.000,0,2,4,0
0,2015-09-10T00:00:00.000,0,999,3,0
0,2014-01-19T00:00:00.000,0,999,3,1
0,2014-07-06T00:00:00.000,0,999,1,0
0,2016-02-10T00:00:00.000,0,999,2,0
0,2013-01-06T00:00:00.000,0,999,2,1
0,2014-04-19T00:00:00.000,0,2,2,1
1,2015-08-16T00:00:00.000,0,999,2,0
0,2013-04-15T00:00:00.000,0,999,2,0
0,2016-07-16T00:00:00.000,0,999,3,0
0,2013-03-03T00:00:00.000,0,999,4,0
0,2014-08-09T00:00:00.000,0,999,2,0
0,2016-02-10T00:00:00.000,0,999,2,0
0,2014-01-19T00:00:00.000,0,999,3,1
0,2014-11-09T00:00:00.000,0,1,3,0
0,2016-08-19T00:00:00.000,0,999,3,0
0,2016-01-01T00:00:00.000,0,999,3,0
0,2013-04-06T00:00:00.000,0,1,999,0
0,2015-12-05T00:00:00.000,0,999,2,0
0,2016-02-10T00:00:00.000,0,999,2,0
0,2016-02-10T00:00:00.000,0,999,2,0
0,2016-01-01T00:00:00.000,0,2,3,0
0,2016-06-19T00:00:00.000,0,1,3,0
0,2015-12-09T00:00:00.000,0,2,4,0
0,2016-06-15T00:00:00.000,0,999,2,1
0,2016-02-10T00:00:00.000,0,999,2,0
0,2014-11-09T00:00:00.000,0,999,3,0
1,2014-12-17T00:00:00.000,0,999,2,0
0,2014-10-08T00:00:00.000,0,999,4,0
0,2016-05-14T00:00:00.000,0,999,4,0
0,2015-07-05T00:00:00.000,0,999,3,0
0,2013-02-17T00:00:00.000,0,999,2,0
0,2013-05-04T00:00:00.000,0,999,2,0
0,2016-12-26T00:00:00.000,0,999,3,0
0,2016-05-20T00:00:00.000,0,999,2,0
0,2016-05-20T00:00:00.000,0,999,2,0
0,2016-01-01T00:00:00.000,0,999,3,0
0,2013-04-15T00:00:00.000,0,999,2,0
0,2016-03-07T00:00:00.000,0,999,3,0
0,2013-02-18T00:00:00.000,0,999,2,0
0,2016-08-19T00:00:00.000,0,999,3,0
0,2015-09-10T00:00:00.000,0,999,3,0
0,2016-05-20T00:00:00.000,0,999,2,0
0,2014-01-29T00:00:00.000,0,1,3,1
0,2016-02-10T00:00:00.000,0,999,2,0
0,2016-12-05T00:00:00.000,0,999,1,0
0,2013-12-03T00:00:00.000,0,999,2,0
0,2013-01-06T00:00:00.000,0,999,2,0
0,2014-12-01T00:00:00.000,0,1,3,1
0,2015-10-04T00:00:00.000,0,999,3,0
0,2014-12-04T00:00:00.000,0,999,3,0
0,2015-05-26T00:00:00.000,0,999,2,1
