latitude,longitude,prevailing_wage_status,bin,other_income_units,longitude_internal,_6_br_units,street_name,_2_br_units
40.87759,-73.849791,Non Prevailing Wage,2117040.0,,-73.84926,,SEYMOUR AVENUE,8.0
40.754485,-73.93332,Non Prevailing Wage,4000000.0,,-73.932973,,38 AVENUE,10.0
,,Non Prevailing Wage,,,,,----,
40.837981,-73.907118,Non Prevailing Wage,2113137.0,1.0,-73.906677,,CLAY AVENUE,54.0
40.892055,-73.860743,Non Prevailing Wage,2129682.0,,-73.860757,,EAST 230 STREET,13.0
40.877017,-73.850458,Non Prevailing Wage,2117051.0,,-73.850074,,FISH AVENUE,4.0
40.839955,-73.922468,Non Prevailing Wage,2003321.0,,-73.922739,,SHAKESPEARE AVENUE,1.0
40.637972,-74.171219,Non Prevailing Wage,5164318.0,,-74.170235,,HOLLAND AVENUE,
40.673479,-73.896284,Non Prevailing Wage,3000000.0,,-73.896597,,PENNSYLVANIA AVENUE,48.0
40.632723,-73.944733,Non Prevailing Wage,3000000.0,,-73.945046,,NEW YORK AVENUE,3.0
40.746303,-73.942452,Non Prevailing Wage,4000694.0,,-73.942231,,THOMSON AVENUE,3.0
40.877242,-73.850599,Non Prevailing Wage,2117083.0,,-73.851015,,FISH AVENUE,4.0
,,Non Prevailing Wage,,,,,----,1.0
,,Non Prevailing Wage,,,,,----,
40.638032,-74.17122,Non Prevailing Wage,5164316.0,,-74.170235,,HOLLAND AVENUE,
,,Non Prevailing Wage,,,,,----,
40.660666,-73.990557,Non Prevailing Wage,3017164.0,,-73.990755,,6 AVENUE,
40.63958,-74.171256,Non Prevailing Wage,5164278.0,,-74.170235,,HOLLAND AVENUE,
40.667748,-73.899616,Non Prevailing Wage,3084264.0,,-73.899328,,HINSDALE STREET,2.0
40.799661,-73.963849,Non Prevailing Wage,1055959.0,,-73.963787,,WEST 106 STREET,4.0
40.869385,-73.893248,Non Prevailing Wage,2000000.0,,-73.893059,,CRESTON AVENUE,
40.750555,-73.942664,Non Prevailing Wage,4000000.0,,-73.942737,,42 ROAD,13.0
40.846279,-73.903821,Non Prevailing Wage,2009369.0,1.0,-73.903445,,ANTHONY AVENUE,
40.806169,-73.950361,Non Prevailing Wage,1057660.0,,-73.950054,,ADAM C POWELL BOULEVARD,
40.831149,-73.921156,Non Prevailing Wage,2100828.0,,-73.921384,,EAST 165 STREET,8.0
40.638993,-74.171244,Non Prevailing Wage,5112687.0,,-74.170235,,HOLLAND AVENUE,48.0
40.87756,-73.849773,Non Prevailing Wage,2117039.0,,-73.84926,,SEYMOUR AVENUE,4.0
40.829029,-73.887148,Non Prevailing Wage,2010904.0,,-73.887,,FREEMAN STREET,95.0
40.601083,-73.756295,Non Prevailing Wage,4000000.0,,-73.756609,,NEW HAVEN AVENUE,8.0
,,Non Prevailing Wage,,,,,----,
,,Non Prevailing Wage,,,,,----,
40.697663,-73.986191,Non Prevailing Wage,3000000.0,,-73.986231,,CONCORD STREET,11.0
40.838411,-73.899557,Non Prevailing Wage,2009652.0,,-73.899759,,FULTON AVENUE,36.0
40.772138,-73.92563,Non Prevailing Wage,4000000.0,,-73.925388,,ASTORIA BOULEVARD,11.0
40.848049,-73.904328,Non Prevailing Wage,2007563.0,,-73.904166,,MOUNT HOPE PLACE,
40.638932,-74.17124,Non Prevailing Wage,5164290.0,,-74.170235,,HOLLAND AVENUE,
40.877497,-73.84772,Non Prevailing Wage,2117026.0,,-73.848323,,CORSA AVENUE,8.0
40.809134,-73.910554,Non Prevailing Wage,2003865.0,,-73.910302,,JACKSON AVENUE,26.0
40.693046,-73.9275,Non Prevailing Wage,3325605.0,,-73.927244,,KOSSUTH PLACE,1.0
40.658708,-73.9301,Non Prevailing Wage,3099687.0,,-73.929804,,EAST 51 STREET,3.0
40.81164,-73.946369,Non Prevailing Wage,1087836.0,1.0,-73.945899,,ADAM C POWELL JR BOULEVARD,23.0
,,Non Prevailing Wage,,,,,----,
40.648729,-74.01631,Non Prevailing Wage,3012863.0,,-74.016181,,50 STREET,4.0
40.876729,-73.85031,Non Prevailing Wage,2128622.0,,-73.850074,,FISH AVENUE,4.0
40.83134,-73.915244,Non Prevailing Wage,2002575.0,,-73.915522,,MORRIS AVENUE,4.0
40.835303,-73.85697,Non Prevailing Wage,2000000.0,,-73.856403,,MC GRAW AVENUE,
40.716686,-73.980463,Non Prevailing Wage,1082667.0,,-73.980845,,COLUMBIA STREET,139.0
40.639635,-74.171256,Non Prevailing Wage,5164280.0,,-74.170235,,HOLLAND AVENUE,
40.877049,-73.849518,Non Prevailing Wage,2117060.0,,-73.850074,,SEYMOUR AVENUE,
40.68324,-73.909468,Non Prevailing Wage,,,,,CHAUNCEY STREET,2.0
40.87753,-73.849759,Non Prevailing Wage,2117038.0,1.0,-73.84926,,SEYMOUR AVENUE,8.0
,,Non Prevailing Wage,,,,,----,
40.877778,-73.848883,Non Prevailing Wage,2117019.0,,-73.848323,,FENTON AVENUE,5.0
40.877019,-73.8495,Non Prevailing Wage,2117059.0,,-73.850074,,SEYMOUR AVENUE,4.0
40.740065,-73.857864,Non Prevailing Wage,4000000.0,,-73.858062,,102 STREET,1.0
40.876866,-73.850404,Non Prevailing Wage,2117077.0,,-73.851015,,FISH AVENUE,8.0
40.701254,-73.929247,Non Prevailing Wage,3072274.0,,-73.929031,,JEFFERSON STREET,3.0
40.678098,-73.985583,Non Prevailing Wage,3007357.0,,-73.985363,,3 AVENUE,3.0
40.877227,-73.849615,Non Prevailing Wage,2117062.0,,-73.850074,,SEYMOUR AVENUE,3.0
,,Non Prevailing Wage,,,,,----,
40.87734,-73.847637,Non Prevailing Wage,2117023.0,,-73.848323,,CORSA AVENUE,4.0
40.842924,-73.897017,Non Prevailing Wage,2009663.0,,-73.897157,,FULTON AVENUE,5.0
40.816194,-73.945787,Non Prevailing Wage,1058875.0,,-73.945621,,WEST 135 STREET,4.0
,,Non Prevailing Wage,,,,,----,1.0
,,Non Prevailing Wage,,,,,----,1.0
40.852407,-73.893832,Non Prevailing Wage,2000000.0,,-73.89338,,BATHGATE AVENUE,12.0
40.832665,-73.930495,Non Prevailing Wage,2003447.0,,-73.930203,,SUMMIT AVENUE,41.0
,,Non Prevailing Wage,,,,,----,
40.842318,-73.897361,Non Prevailing Wage,2009669.0,,-73.89765,,FULTON AVENUE,18.0
,,Non Prevailing Wage,,,,,----,
40.674509,-73.958387,Non Prevailing Wage,3029269.0,,-73.958401,,PARK PLACE,13.0
40.814878,-73.938639,Non Prevailing Wage,1053902.0,1.0,-73.93914,,WEST 137 STREET,
40.858605,-73.907516,Non Prevailing Wage,2000000.0,,-73.907227,,AQUEDUCT AVENUE EAST,2.0
,,Non Prevailing Wage,,,,,----,1.0
40.671063,-73.866039,Prevailing Wage,3343256.0,1.0,,,LINCOLN AVENUE,97.0
40.808096,-73.938331,Non Prevailing Wage,1054235.0,,-73.937984,,EAST 129 STREET,
40.667904,-73.932841,Non Prevailing Wage,3037761.0,,-73.932916,,UNION STREET,6.0
,,Non Prevailing Wage,,,,,----,
