bronx_condominiums_comparable_properties_address,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_neighborhood,comparable_rental_2_year_built,comparable_rental_1_distance_from_condo_in_miles,bronx_condominiums_comparable_properties_building_classification,comparable_rental_1_expense_per_sqft,bin,bronx_condominiums_comparable_properties_full_market_value,comparable_rental_3_gross_sqft,latitude
1209 NELSON AVENUE,15.57,15.73,HIGHBRIDGE/MORRIS HEIGHTS,1923,0.86,R4-CONDOMINIUM,8.31,2113542.0,1499988,"22,500",40.837764
3816 WALDO AVENUE,16.28, , ,1964,0.07,R4-CONDOMINIUM,5.28,2084024.0,3235992, ,40.887742
890 PROSPECT AVENUE,14.0, , ,1985,0.66,R4-CONDOMINIUM,7.28,2113129.0,4336000, ,40.820819
837 WASHINGTON AVENUE,14.97,12.92,MELROSE/CONCOURSE,2006,0.38,R4-CONDOMINIUM,8.97,2113740.0,5017000,"34,125",40.822433
2135 CROTONA AVENUE,21.98, , ,1963,3.96,R2-CONDOMINIUM,9.8,2115776.0,1012999, ,40.849226
228 NEPTUNE COURT,13.42,12.49,CASTLE HILL/UNIONPORT,1929,1.46,R2-CONDOMINIUM,6.98,2099271.0,2244000,"421,833",40.807654
724 EAST 221 STREET,14.32, , ,1931,4.79,R2-CONDOMINIUM,9.32,2114032.0,1175000, ,40.884683
1600 PARKVIEW AVENUE,9.76,13.22,SCHUYLERVILLE/PELHAM BAY,1931,0.09,R4-CONDOMINIUM,5.07,2046202.0,829001,"112,000",40.84531
4961 HENRY HUDSON PARKWAY,13.39, , ,1959,0.64,R2-CONDOMINIUM,5.85,2096388.0,764509, ,40.897679
1349 FRANKLIN AVENUE,13.03, , ,1911,0.32,R2-CONDOMINIUM,8.25,2009711.0,906000, ,40.832948
460 WEST 236 STREET,21.21,21.26,BELMONT,2003,3.18,R4-CONDOMINIUM,11.78,2083829.0,4792003,"13,295",40.885689
406 EAST 161 STREET,18.72, , ,1941,4.31,R9-CONDOMINIUM,8.76,2113742.0,5304000, ,40.824057
24 PENNYFIELD AVENUE,17.34, , ,1964,6.28,R2-CONDOMINIUM,9.53,2124419.0,598999, ,40.809437
1111 FOREST AVENUE,14.52, , ,1910,0.51,R2-CONDOMINIUM,9.23,2117524.0,324000, ,40.827182
2287 JOHNSON AVENUE,12.5, , ,1954,0.2,R4-CONDOMINIUM,5.18,2083257.0,4487975, ,40.877629
57 WEST BURNSIDE AVENUE,10.75, , ,1951,0.11,RR-CONDOMINIUM,6.32,2114829.0,1272000, ,40.854136
