bronx_condominiums_comparable_properties_neighborhood,community_board,comparable_rental_2_estimated_expense,bbl,comparable_rental_2_gross_sqft,bronx_condominiums_comparable_properties_net_operating_income,comparable_rental_2_total_units,comparable_rental_1_address,bronx_condominiums_comparable_properties_total_units,borough,postcode,comparable_rental_1_neighborhood,comparable_rental_2_expense_per_sqft,bronx_condominiums_comparable_properties_market_value_per_sqft,bronx_condominiums_comparable_properties_year_built
HIGHBRIDGE/MORRIS HEIGHTS,4,193184,2025167501.0,22500,210110,26,1684 NELSON AVENUE,28,2,10452,HIGHBRIDGE/MORRIS HEIGHTS,8.59,61.82,2005
KINGSBRIDGE/JEROME PARK,8,394357,2057777501.0,45375,472493,52,3804 GREYSTONE AVENUE,25,2,10463,RIVERDALE,8.69,58.83,2004
MORRISANIA/LONGWOOD,2,826943,2026907502.0,112536,696204,109,1107 BRYANT AVENUE,124,2,10459,MORRISANIA/LONGWOOD,7.35,34.44,2005
KINGSBRIDGE/JEROME PARK,8,303856,2032497501.0,37000,340003,40,3043 VILLA AVENUE,40,2,10468,BEDFORD PARK/NORWOOD,8.21,48.93,2006
RIVERDALE,8,458925,2059237501.0,59142,2689804,82,2475 PALISADE AVENUE,177,2,10471,RIVERDALE,7.76,66.52,1955
RIVERDALE,8,810013,2057897501.0,152400,283758,135,699 WEST 239 STREET,32,2,10463,RIVERDALE,5.32,54.03,1989
RIVERDALE,8,765281,2057717501.0,106934,959640,77,511 WEST 235 STREET,106,2,10463,RIVERDALE,7.16,48.1,1962
RIVERDALE,8,339705,2059067501.0,38212,290667,73,906 EAST 178 STREET,11,2,10463,EAST TREMONT,8.89,74.79,2004
MOTT HAVEN/PORT MORRIS,1,685907,2023157501.0,97926,120013,96,458 EAST 143 STREET,11,2,10454,MOTT HAVEN/PORT MORRIS,7.0,30.96,1904
RIVERDALE,8,554033,2057800940.0,90025,577971,64,3660 OXFORD AVENUE,78,2,10463,RIVERDALE,6.15,37.14,1928
PARKCHESTER,9,626620,2039377501.0,97000,604799,109,1366 WHITE PLAINS ROAD,128,2,10462,PARKCHESTER,6.46,35.11,1933
SOUNDVIEW,9,500946,2034327501.0,76000,68255,85,2010 POWELL AVENUE,10,2,10473,CASTLE HILL/UNIONPORT,6.59,36.35,1989
MORRIS PARK/VAN NEST,11,397257,2042847501.0,86527,492936,74,2155 PAULDING AVENUE,100,2,10462,PELHAM PARKWAY SOUTH,4.59,26.9,2005
BRONXDALE,12,275088,2045457501.0,53016,423631,63,3225 OLINVILLE AVENUE,74,2,10467,BRONXDALE,5.19,33.03,2007
RIVERDALE,8,78802,2057987501.0,7550,154929,15,906 EAST 178 STREET,15,2,10463,EAST TREMONT,10.44,70.88,2002
RIVERDALE,8,78802,2057917501.0,7550,623904,15,3804 GREYSTONE AVENUE,31,2,10463,RIVERDALE,10.44,80.77,2005
